Stimmbezirk,ParteiKuerzel,Stimmen
Gesamt,CSU,6418
Gesamt,SPD,2215
Gesamt,AfD,609
Gesamt,FDP,1541
Gesamt,GRÜNE,2789
Gesamt,DIE LINKE,282
Gesamt,FW,614
Gesamt,ÖDP,126
Gesamt,Tierschutzpartei,0
Gesamt,BP,107
Gesamt,Die PARTEI,0
Gesamt,PIRATEN,0
Gesamt,NPD,0
Gesamt,V-Partei³,0
Gesamt,Gesundheitsforschung,0
Gesamt,MLPD,0
Gesamt,DKP,0
Gesamt,dieBasis,228
Gesamt,Bündnis C,0
Gesamt,III. Weg,0
Gesamt,du.,0
Gesamt,LKR,0
Gesamt,Die Humanisten,0
Gesamt,Team Todenhöfer,0
Gesamt,UNABHÄNGIGE,0
Gesamt,NA,0
Stimmbezirk 1,CSU,216
Stimmbezirk 1,SPD,74
Stimmbezirk 1,AfD,27
Stimmbezirk 1,FDP,56
Stimmbezirk 1,GRÜNE,60
Stimmbezirk 1,DIE LINKE,15
Stimmbezirk 1,FW,29
Stimmbezirk 1,ÖDP,3
Stimmbezirk 1,Tierschutzpartei,0
Stimmbezirk 1,BP,6
Stimmbezirk 1,Die PARTEI,0
Stimmbezirk 1,PIRATEN,0
Stimmbezirk 1,NPD,0
Stimmbezirk 1,V-Partei³,0
Stimmbezirk 1,Gesundheitsforschung,0
Stimmbezirk 1,MLPD,0
Stimmbezirk 1,DKP,0
Stimmbezirk 1,dieBasis,4
Stimmbezirk 1,Bündnis C,0
Stimmbezirk 1,III. Weg,0
Stimmbezirk 1,du.,0
Stimmbezirk 1,LKR,0
Stimmbezirk 1,Die Humanisten,0
Stimmbezirk 1,Team Todenhöfer,0
Stimmbezirk 1,UNABHÄNGIGE,0
Stimmbezirk 1,NA,0
Stimmbezirk 2,CSU,152
Stimmbezirk 2,SPD,27
Stimmbezirk 2,AfD,13
Stimmbezirk 2,FDP,25
Stimmbezirk 2,GRÜNE,42
Stimmbezirk 2,DIE LINKE,4
Stimmbezirk 2,FW,7
Stimmbezirk 2,ÖDP,2
Stimmbezirk 2,Tierschutzpartei,0
Stimmbezirk 2,BP,4
Stimmbezirk 2,Die PARTEI,0
Stimmbezirk 2,PIRATEN,0
Stimmbezirk 2,NPD,0
Stimmbezirk 2,V-Partei³,0
Stimmbezirk 2,Gesundheitsforschung,0
Stimmbezirk 2,MLPD,0
Stimmbezirk 2,DKP,0
Stimmbezirk 2,dieBasis,6
Stimmbezirk 2,Bündnis C,0
Stimmbezirk 2,III. Weg,0
Stimmbezirk 2,du.,0
Stimmbezirk 2,LKR,0
Stimmbezirk 2,Die Humanisten,0
Stimmbezirk 2,Team Todenhöfer,0
Stimmbezirk 2,UNABHÄNGIGE,0
Stimmbezirk 2,NA,0
Stimmbezirk 3,CSU,132
Stimmbezirk 3,SPD,64
Stimmbezirk 3,AfD,11
Stimmbezirk 3,FDP,47
Stimmbezirk 3,GRÜNE,70
Stimmbezirk 3,DIE LINKE,10
Stimmbezirk 3,FW,15
Stimmbezirk 3,ÖDP,5
Stimmbezirk 3,Tierschutzpartei,0
Stimmbezirk 3,BP,3
Stimmbezirk 3,Die PARTEI,0
Stimmbezirk 3,PIRATEN,0
Stimmbezirk 3,NPD,0
Stimmbezirk 3,V-Partei³,0
Stimmbezirk 3,Gesundheitsforschung,0
Stimmbezirk 3,MLPD,0
Stimmbezirk 3,DKP,0
Stimmbezirk 3,dieBasis,4
Stimmbezirk 3,Bündnis C,0
Stimmbezirk 3,III. Weg,0
Stimmbezirk 3,du.,0
Stimmbezirk 3,LKR,0
Stimmbezirk 3,Die Humanisten,0
Stimmbezirk 3,Team Todenhöfer,0
Stimmbezirk 3,UNABHÄNGIGE,0
Stimmbezirk 3,NA,0
Stimmbezirk 4,CSU,199
Stimmbezirk 4,SPD,92
Stimmbezirk 4,AfD,35
Stimmbezirk 4,FDP,45
Stimmbezirk 4,GRÜNE,123
Stimmbezirk 4,DIE LINKE,14
Stimmbezirk 4,FW,16
Stimmbezirk 4,ÖDP,5
Stimmbezirk 4,Tierschutzpartei,0
Stimmbezirk 4,BP,2
Stimmbezirk 4,Die PARTEI,0
Stimmbezirk 4,PIRATEN,0
Stimmbezirk 4,NPD,0
Stimmbezirk 4,V-Partei³,0
Stimmbezirk 4,Gesundheitsforschung,0
Stimmbezirk 4,MLPD,0
Stimmbezirk 4,DKP,0
Stimmbezirk 4,dieBasis,17
Stimmbezirk 4,Bündnis C,0
Stimmbezirk 4,III. Weg,0
Stimmbezirk 4,du.,0
Stimmbezirk 4,LKR,0
Stimmbezirk 4,Die Humanisten,0
Stimmbezirk 4,Team Todenhöfer,0
Stimmbezirk 4,UNABHÄNGIGE,0
Stimmbezirk 4,NA,0
Stimmbezirk 5,CSU,145
Stimmbezirk 5,SPD,40
Stimmbezirk 5,AfD,32
Stimmbezirk 5,FDP,29
Stimmbezirk 5,GRÜNE,60
Stimmbezirk 5,DIE LINKE,4
Stimmbezirk 5,FW,8
Stimmbezirk 5,ÖDP,4
Stimmbezirk 5,Tierschutzpartei,0
Stimmbezirk 5,BP,2
Stimmbezirk 5,Die PARTEI,0
Stimmbezirk 5,PIRATEN,0
Stimmbezirk 5,NPD,0
Stimmbezirk 5,V-Partei³,0
Stimmbezirk 5,Gesundheitsforschung,0
Stimmbezirk 5,MLPD,0
Stimmbezirk 5,DKP,0
Stimmbezirk 5,dieBasis,10
Stimmbezirk 5,Bündnis C,0
Stimmbezirk 5,III. Weg,0
Stimmbezirk 5,du.,0
Stimmbezirk 5,LKR,0
Stimmbezirk 5,Die Humanisten,0
Stimmbezirk 5,Team Todenhöfer,0
Stimmbezirk 5,UNABHÄNGIGE,0
Stimmbezirk 5,NA,0
Stimmbezirk 6,CSU,162
Stimmbezirk 6,SPD,59
Stimmbezirk 6,AfD,26
Stimmbezirk 6,FDP,35
Stimmbezirk 6,GRÜNE,87
Stimmbezirk 6,DIE LINKE,7
Stimmbezirk 6,FW,20
Stimmbezirk 6,ÖDP,4
Stimmbezirk 6,Tierschutzpartei,0
Stimmbezirk 6,BP,1
Stimmbezirk 6,Die PARTEI,0
Stimmbezirk 6,PIRATEN,0
Stimmbezirk 6,NPD,0
Stimmbezirk 6,V-Partei³,0
Stimmbezirk 6,Gesundheitsforschung,0
Stimmbezirk 6,MLPD,0
Stimmbezirk 6,DKP,0
Stimmbezirk 6,dieBasis,4
Stimmbezirk 6,Bündnis C,0
Stimmbezirk 6,III. Weg,0
Stimmbezirk 6,du.,0
Stimmbezirk 6,LKR,0
Stimmbezirk 6,Die Humanisten,0
Stimmbezirk 6,Team Todenhöfer,0
Stimmbezirk 6,UNABHÄNGIGE,0
Stimmbezirk 6,NA,0
Stimmbezirk 7,CSU,144
Stimmbezirk 7,SPD,49
Stimmbezirk 7,AfD,24
Stimmbezirk 7,FDP,30
Stimmbezirk 7,GRÜNE,84
Stimmbezirk 7,DIE LINKE,10
Stimmbezirk 7,FW,19
Stimmbezirk 7,ÖDP,4
Stimmbezirk 7,Tierschutzpartei,0
Stimmbezirk 7,BP,3
Stimmbezirk 7,Die PARTEI,0
Stimmbezirk 7,PIRATEN,0
Stimmbezirk 7,NPD,0
Stimmbezirk 7,V-Partei³,0
Stimmbezirk 7,Gesundheitsforschung,0
Stimmbezirk 7,MLPD,0
Stimmbezirk 7,DKP,0
Stimmbezirk 7,dieBasis,5
Stimmbezirk 7,Bündnis C,0
Stimmbezirk 7,III. Weg,0
Stimmbezirk 7,du.,0
Stimmbezirk 7,LKR,0
Stimmbezirk 7,Die Humanisten,0
Stimmbezirk 7,Team Todenhöfer,0
Stimmbezirk 7,UNABHÄNGIGE,0
Stimmbezirk 7,NA,0
Stimmbezirk 8,CSU,138
Stimmbezirk 8,SPD,53
Stimmbezirk 8,AfD,10
Stimmbezirk 8,FDP,46
Stimmbezirk 8,GRÜNE,88
Stimmbezirk 8,DIE LINKE,13
Stimmbezirk 8,FW,15
Stimmbezirk 8,ÖDP,2
Stimmbezirk 8,Tierschutzpartei,0
Stimmbezirk 8,BP,1
Stimmbezirk 8,Die PARTEI,0
Stimmbezirk 8,PIRATEN,0
Stimmbezirk 8,NPD,0
Stimmbezirk 8,V-Partei³,0
Stimmbezirk 8,Gesundheitsforschung,0
Stimmbezirk 8,MLPD,0
Stimmbezirk 8,DKP,0
Stimmbezirk 8,dieBasis,5
Stimmbezirk 8,Bündnis C,0
Stimmbezirk 8,III. Weg,0
