datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25;D26;F26
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0001;Stimmbezirk 1;1;1;689;766;0;1455;491;2;1;490;2;489;216;185;74;72;27;31;56;77;60;63;15;15;29;18;3;0;0;4;6;5;0;7;0;2;0;0;0;0;0;0;0;0;0;0;4;8;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0002;Stimmbezirk 2;1;1;354;541;0;895;284;8;2;282;2;282;152;117;27;35;13;14;25;41;42;42;4;1;7;18;2;0;0;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0003;Stimmbezirk 3;1;1;473;619;0;1092;362;1;1;361;1;361;132;106;64;53;11;17;47;72;70;72;10;12;15;11;5;2;0;4;3;1;0;2;0;4;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0004;Stimmbezirk 4;1;1;869;1176;0;2045;551;0;3;548;3;548;199;171;92;93;35;41;45;60;123;121;14;12;16;7;5;3;0;3;2;4;0;1;0;2;0;1;0;0;0;0;0;0;0;0;17;23;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;3
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0005;Stimmbezirk 5;1;1;459;813;0;1272;335;1;1;334;1;334;145;112;40;46;32;30;29;51;60;55;4;5;8;9;4;3;0;9;2;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;10;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0006;Stimmbezirk 6;1;1;526;748;0;1274;407;5;2;405;2;405;162;128;59;63;26;27;35;62;87;82;7;12;20;13;4;5;0;1;1;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0007;Stimmbezirk 7;1;1;538;792;0;1330;379;3;7;372;5;374;144;134;49;62;24;28;30;47;84;63;10;12;19;9;4;4;0;1;3;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0008;Stimmbezirk 8;1;1;478;713;0;1191;378;0;7;371;4;374;138;100;53;63;10;10;46;69;88;80;13;15;15;15;2;0;0;3;1;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;5;7;0;0;0;0;0;0;0;0;0;1;0;3;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0009;Stimmbezirk 9;1;1;393;604;0;997;274;1;0;274;0;274;107;88;51;49;10;14;25;33;49;53;4;6;16;14;3;0;0;2;5;3;0;2;0;2;0;0;0;0;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0010;Stimmbezirk 10;1;1;387;669;0;1056;292;2;0;292;0;292;122;102;38;45;20;26;40;46;48;47;3;6;11;11;0;0;0;1;5;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0011;Stimmbezirk 11;1;1;362;724;0;1086;276;0;1;275;0;276;120;95;44;48;10;9;30;48;56;59;5;4;4;3;0;0;0;1;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;5;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0012;Stimmbezirk 12;1;1;462;720;0;1182;349;0;4;345;1;348;140;117;55;49;10;8;44;70;72;68;4;3;5;11;4;3;0;2;3;2;0;0;0;3;0;0;0;0;0;1;0;0;0;0;8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0013;Stimmbezirk 13;1;1;379;659;0;1038;268;0;0;268;0;268;138;100;23;32;12;14;24;52;49;48;0;1;12;8;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;7;7;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0014;Stimmbezirk 14;1;1;609;779;0;1388;442;6;1;441;0;442;183;150;69;77;27;32;53;75;69;69;13;17;16;7;5;2;0;4;3;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0031;Stimmbezirk 31;1;1;0;0;0;0;1239;1239;10;1229;2;1237;630;492;157;170;63;75;99;172;138;147;16;21;82;101;13;4;0;11;9;5;0;8;0;4;0;1;0;0;0;1;0;0;0;0;22;15;0;1;0;0;0;2;0;0;0;0;0;2;0;3;0;2
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0032;Stimmbezirk 32;1;1;0;0;0;0;594;594;1;593;3;591;251;190;85;95;16;15;57;95;130;135;10;10;25;25;11;6;0;8;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0033;Stimmbezirk 33;1;1;0;0;0;0;1151;1151;3;1148;2;1149;442;350;189;186;41;45;147;220;249;261;17;13;43;27;7;7;0;14;6;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;7;6;0;0;0;1;0;3;0;0;0;2;0;2;0;2;0;4
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0034;Stimmbezirk 34;1;1;0;0;0;0;800;800;19;781;17;783;309;226;114;126;24;23;98;150;166;162;8;9;29;31;8;4;0;17;13;10;0;5;0;1;0;0;0;0;0;1;0;0;0;0;12;13;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0035;Stimmbezirk 35;1;1;0;0;0;0;717;717;6;711;2;715;274;209;109;116;26;29;86;126;127;124;19;25;36;29;9;6;0;7;7;4;0;10;0;3;0;0;0;0;0;0;0;1;0;1;18;15;0;4;0;0;0;0;0;0;0;0;0;4;0;1;0;1
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0036;Stimmbezirk 36;1;1;0;0;0;0;753;753;5;748;2;751;342;271;110;122;19;28;74;121;152;148;15;17;16;15;8;6;0;6;3;2;0;1;0;1;0;0;0;0;0;1;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0037;Stimmbezirk 37;1;1;0;0;0;0;694;694;2;692;1;693;302;236;119;145;18;21;64;93;130;122;17;12;24;25;3;3;0;7;2;4;0;5;0;1;0;0;0;1;0;1;0;0;0;0;13;12;0;0;0;0;0;2;0;0;0;1;0;2;0;0;0;0
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0038;Stimmbezirk 38;1;1;0;0;0;0;568;568;3;565;1;567;240;205;120;112;17;17;53;77;92;98;11;12;21;24;5;4;0;3;3;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;1
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0039;Stimmbezirk 39;1;1;0;0;0;0;639;639;0;639;0;639;281;225;92;120;22;23;59;93;119;106;14;13;34;31;2;1;0;1;4;0;0;3;0;0;0;1;0;0;0;1;0;0;0;0;12;11;0;1;0;0;0;1;0;0;0;0;0;2;0;2;0;4
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0040;Stimmbezirk 40;1;1;0;0;0;0;699;699;1;698;6;693;321;257;96;83;18;22;72;119;152;158;6;4;21;27;1;3;0;2;5;2;0;5;0;0;0;0;0;0;0;1;0;0;0;0;6;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0041;Stimmbezirk 41;1;1;0;0;0;0;697;697;2;695;2;695;311;278;95;100;22;25;75;97;131;136;17;17;25;14;5;3;0;4;4;2;0;3;0;1;0;1;0;0;0;1;0;0;0;0;10;7;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;3
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0042;Stimmbezirk 42;1;1;0;0;0;0;644;644;5;639;1;643;328;280;71;72;30;29;67;104;100;93;9;9;21;19;5;7;0;8;3;2;0;5;0;0;0;0;0;1;0;0;0;0;0;0;5;7;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;2
26.09.2021;Wahl zum Deutschen Bundestag;09175132;0043;Stimmbezirk 43;1;1;0;0;0;0;735;735;2;733;2;733;289;238;120;120;26;27;61;100;146;150;17;16;44;39;6;4;0;12;7;4;0;4;0;1;0;0;0;0;0;1;0;0;0;0;17;15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
