Stimmbezirk,ParteiKuerzel,Stimmen
Gesamt,CSU,5162
Gesamt,SPD,2354
Gesamt,AfD,680
Gesamt,FDP,2370
Gesamt,GRÜNE,2762
Gesamt,DIE LINKE,299
Gesamt,FW,561
Gesamt,ÖDP,82
Gesamt,Tierschutzpartei,138
Gesamt,BP,64
Gesamt,Die PARTEI,79
Gesamt,PIRATEN,34
Gesamt,NPD,6
Gesamt,V-Partei³,2
Gesamt,Gesundheitsforschung,13
Gesamt,MLPD,1
Gesamt,DKP,1
Gesamt,dieBasis,221
Gesamt,Bündnis C,9
Gesamt,III. Weg,3
Gesamt,du.,16
Gesamt,LKR,0
Gesamt,Die Humanisten,7
Gesamt,Team Todenhöfer,41
Gesamt,UNABHÄNGIGE,13
Gesamt,Volt,38
Stimmbezirk 1,CSU,185
Stimmbezirk 1,SPD,72
Stimmbezirk 1,AfD,31
Stimmbezirk 1,FDP,77
Stimmbezirk 1,GRÜNE,63
Stimmbezirk 1,DIE LINKE,15
Stimmbezirk 1,FW,18
Stimmbezirk 1,ÖDP,0
Stimmbezirk 1,Tierschutzpartei,4
Stimmbezirk 1,BP,5
Stimmbezirk 1,Die PARTEI,7
Stimmbezirk 1,PIRATEN,2
Stimmbezirk 1,NPD,0
Stimmbezirk 1,V-Partei³,0
Stimmbezirk 1,Gesundheitsforschung,0
Stimmbezirk 1,MLPD,0
Stimmbezirk 1,DKP,0
Stimmbezirk 1,dieBasis,8
Stimmbezirk 1,Bündnis C,1
Stimmbezirk 1,III. Weg,0
Stimmbezirk 1,du.,0
Stimmbezirk 1,LKR,0
Stimmbezirk 1,Die Humanisten,0
Stimmbezirk 1,Team Todenhöfer,1
Stimmbezirk 1,UNABHÄNGIGE,0
Stimmbezirk 1,Volt,0
Stimmbezirk 2,CSU,117
Stimmbezirk 2,SPD,35
Stimmbezirk 2,AfD,14
Stimmbezirk 2,FDP,41
Stimmbezirk 2,GRÜNE,42
Stimmbezirk 2,DIE LINKE,1
Stimmbezirk 2,FW,18
Stimmbezirk 2,ÖDP,0
Stimmbezirk 2,Tierschutzpartei,3
Stimmbezirk 2,BP,3
Stimmbezirk 2,Die PARTEI,0
Stimmbezirk 2,PIRATEN,0
Stimmbezirk 2,NPD,0
Stimmbezirk 2,V-Partei³,0
Stimmbezirk 2,Gesundheitsforschung,0
Stimmbezirk 2,MLPD,0
Stimmbezirk 2,DKP,0
Stimmbezirk 2,dieBasis,5
Stimmbezirk 2,Bündnis C,0
Stimmbezirk 2,III. Weg,0
Stimmbezirk 2,du.,0
Stimmbezirk 2,LKR,0
Stimmbezirk 2,Die Humanisten,0
Stimmbezirk 2,Team Todenhöfer,0
Stimmbezirk 2,UNABHÄNGIGE,0
Stimmbezirk 2,Volt,3
Stimmbezirk 3,CSU,106
Stimmbezirk 3,SPD,53
Stimmbezirk 3,AfD,17
Stimmbezirk 3,FDP,72
Stimmbezirk 3,GRÜNE,72
Stimmbezirk 3,DIE LINKE,12
Stimmbezirk 3,FW,11
Stimmbezirk 3,ÖDP,2
Stimmbezirk 3,Tierschutzpartei,4
Stimmbezirk 3,BP,1
Stimmbezirk 3,Die PARTEI,2
Stimmbezirk 3,PIRATEN,4
Stimmbezirk 3,NPD,0
Stimmbezirk 3,V-Partei³,0
Stimmbezirk 3,Gesundheitsforschung,0
Stimmbezirk 3,MLPD,0
Stimmbezirk 3,DKP,0
Stimmbezirk 3,dieBasis,3
Stimmbezirk 3,Bündnis C,0
Stimmbezirk 3,III. Weg,0
Stimmbezirk 3,du.,0
Stimmbezirk 3,LKR,0
Stimmbezirk 3,Die Humanisten,0
Stimmbezirk 3,Team Todenhöfer,2
Stimmbezirk 3,UNABHÄNGIGE,0
Stimmbezirk 3,Volt,0
Stimmbezirk 4,CSU,171
Stimmbezirk 4,SPD,93
Stimmbezirk 4,AfD,41
Stimmbezirk 4,FDP,60
Stimmbezirk 4,GRÜNE,121
Stimmbezirk 4,DIE LINKE,12
Stimmbezirk 4,FW,7
Stimmbezirk 4,ÖDP,3
Stimmbezirk 4,Tierschutzpartei,3
Stimmbezirk 4,BP,4
Stimmbezirk 4,Die PARTEI,1
Stimmbezirk 4,PIRATEN,2
Stimmbezirk 4,NPD,1
Stimmbezirk 4,V-Partei³,0
Stimmbezirk 4,Gesundheitsforschung,0
Stimmbezirk 4,MLPD,0
Stimmbezirk 4,DKP,0
Stimmbezirk 4,dieBasis,23
Stimmbezirk 4,Bündnis C,0
Stimmbezirk 4,III. Weg,0
Stimmbezirk 4,du.,0
Stimmbezirk 4,LKR,0
Stimmbezirk 4,Die Humanisten,1
Stimmbezirk 4,Team Todenhöfer,2
Stimmbezirk 4,UNABHÄNGIGE,0
Stimmbezirk 4,Volt,3
Stimmbezirk 5,CSU,112
Stimmbezirk 5,SPD,46
Stimmbezirk 5,AfD,30
Stimmbezirk 5,FDP,51
Stimmbezirk 5,GRÜNE,55
Stimmbezirk 5,DIE LINKE,5
Stimmbezirk 5,FW,9
Stimmbezirk 5,ÖDP,3
Stimmbezirk 5,Tierschutzpartei,9
Stimmbezirk 5,BP,1
Stimmbezirk 5,Die PARTEI,2
Stimmbezirk 5,PIRATEN,1
Stimmbezirk 5,NPD,0
Stimmbezirk 5,V-Partei³,0
Stimmbezirk 5,Gesundheitsforschung,0
Stimmbezirk 5,MLPD,0
