datum,ort,neuPositiv,inzidenz7tage
2020-03-02,Anzing,0,0
2020-03-03,Anzing,0,0
2020-03-04,Anzing,0,0
2020-03-05,Anzing,0,0
2020-03-06,Anzing,0,0
2020-03-07,Anzing,0,0
2020-03-08,Anzing,0,0
2020-03-09,Anzing,0,0
2020-03-10,Anzing,0,0
2020-03-11,Anzing,0,0
2020-03-12,Anzing,0,0
2020-03-13,Anzing,0,0
2020-03-14,Anzing,0,0
2020-03-15,Anzing,0,0
2020-03-16,Anzing,0,0
2020-03-17,Anzing,0,0
2020-03-18,Anzing,0,0
2020-03-19,Anzing,0,0
2020-03-20,Anzing,0,0
2020-03-21,Anzing,0,0
2020-03-22,Anzing,0,0
2020-03-23,Anzing,0,0
2020-03-24,Anzing,0,0
2020-03-25,Anzing,1,22.57
2020-03-26,Anzing,1,45.15
2020-03-27,Anzing,1,67.72
2020-03-28,Anzing,0,67.72
2020-03-29,Anzing,0,67.72
2020-03-30,Anzing,0,67.72
2020-03-31,Anzing,1,90.29
2020-04-01,Anzing,0,67.72
2020-04-02,Anzing,1,67.72
2020-04-03,Anzing,2,90.29
2020-04-04,Anzing,2,135.44
2020-04-05,Anzing,0,135.44
2020-04-06,Anzing,0,135.44
2020-04-07,Anzing,0,112.87
2020-04-08,Anzing,3,180.59
2020-04-09,Anzing,0,158.01
2020-04-10,Anzing,0,112.87
2020-04-11,Anzing,0,67.72
2020-04-12,Anzing,0,67.72
2020-04-13,Anzing,0,67.72
2020-04-14,Anzing,0,67.72
2020-04-15,Anzing,0,0
2020-04-16,Anzing,0,0
2020-04-17,Anzing,0,0
2020-04-18,Anzing,0,0
2020-04-19,Anzing,0,0
2020-04-20,Anzing,0,0
2020-04-21,Anzing,0,0
2020-04-22,Anzing,0,0
2020-04-23,Anzing,0,0
2020-04-24,Anzing,0,0
2020-04-25,Anzing,0,0
2020-04-26,Anzing,0,0
2020-04-27,Anzing,0,0
2020-04-28,Anzing,0,0
2020-04-29,Anzing,0,0
2020-04-30,Anzing,0,0
2020-05-01,Anzing,0,0
2020-05-02,Anzing,0,0
2020-05-03,Anzing,0,0
2020-05-04,Anzing,0,0
2020-05-05,Anzing,0,0
2020-05-06,Anzing,0,0
2020-05-07,Anzing,0,0
2020-05-08,Anzing,0,0
2020-05-09,Anzing,0,0
2020-05-10,Anzing,0,0
2020-05-11,Anzing,0,0
2020-05-12,Anzing,0,0
2020-05-13,Anzing,0,0
2020-05-14,Anzing,0,0
2020-05-15,Anzing,0,0
2020-05-16,Anzing,0,0
2020-05-17,Anzing,0,0
2020-05-18,Anzing,0,0
2020-05-19,Anzing,0,0
2020-05-20,Anzing,0,0
2020-05-21,Anzing,0,0
2020-05-22,Anzing,0,0
2020-05-23,Anzing,0,0
2020-05-24,Anzing,0,0
2020-05-25,Anzing,0,0
2020-05-26,Anzing,0,0
2020-05-27,Anzing,0,0
2020-05-28,Anzing,0,0
2020-05-29,Anzing,0,0
2020-05-30,Anzing,0,0
2020-05-31,Anzing,0,0
2020-06-01,Anzing,0,0
2020-06-02,Anzing,0,0
2020-06-03,Anzing,0,0
2020-06-04,Anzing,0,0
2020-06-05,Anzing,0,0
2020-06-06,Anzing,0,0
2020-06-07,Anzing,0,0
2020-06-08,Anzing,0,0
2020-06-09,Anzing,0,0
2020-06-10,Anzing,0,0
2020-06-11,Anzing,0,0
2020-06-12,Anzing,0,0
2020-06-13,Anzing,0,0
2020-06-14,Anzing,0,0
2020-06-15,Anzing,0,0
2020-06-16,Anzing,0,0
2020-06-17,Anzing,0,0
2020-06-18,Anzing,0,0
2020-06-19,Anzing,0,0
2020-06-20,Anzing,0,0
2020-06-21,Anzing,0,0
2020-06-22,Anzing,0,0
2020-06-23,Anzing,0,0
2020-06-24,Anzing,0,0
2020-06-25,Anzing,0,0
2020-06-26,Anzing,0,0
2020-06-27,Anzing,0,0
2020-06-28,Anzing,0,0
2020-06-29,Anzing,0,0
2020-06-30,Anzing,0,0
2020-07-01,Anzing,0,0
2020-07-02,Anzing,0,0
2020-07-03,Anzing,0,0
2020-07-04,Anzing,0,0
2020-07-05,Anzing,0,0
2020-07-06,Anzing,0,0
2020-07-07,Anzing,0,0
2020-07-08,Anzing,0,0
2020-07-09,Anzing,0,0
2020-07-10,Anzing,0,0
2020-07-11,Anzing,0,0
2020-07-12,Anzing,0,0
2020-07-13,Anzing,0,0
2020-07-14,Anzing,0,0
2020-07-15,Anzing,0,0
2020-07-16,Anzing,0,0
2020-07-17,Anzing,0,0
2020-07-18,Anzing,0,0
2020-07-19,Anzing,0,0
2020-07-20,Anzing,0,0
2020-07-21,Anzing,0,0
2020-07-22,Anzing,0,0
2020-07-23,Anzing,0,0
2020-07-24,Anzing,0,0
2020-07-25,Anzing,0,0
2020-07-26,Anzing,0,0
2020-07-27,Anzing,0,0
2020-07-28,Anzing,0,0
2020-07-29,Anzing,0,0
2020-07-30,Anzing,0,0
2020-07-31,Anzing,0,0
2020-08-01,Anzing,0,0
2020-08-02,Anzing,0,0
2020-08-03,Anzing,0,0
2020-08-04,Anzing,0,0
2020-08-05,Anzing,0,0
2020-08-06,Anzing,0,0
2020-08-07,Anzing,0,0
2020-08-08,Anzing,0,0
2020-08-09,Anzing,0,0
2020-08-10,Anzing,0,0
2020-08-11,Anzing,0,0
2020-08-12,Anzing,0,0
2020-08-13,Anzing,0,0
2020-08-14,Anzing,0,0
2020-08-15,Anzing,0,0
2020-08-16,Anzing,0,0
2020-08-17,Anzing,0,0
2020-08-18,Anzing,0,0
2020-08-19,Anzing,0,0
2020-08-20,Anzing,0,0
2020-08-21,Anzing,0,0
2020-08-22,Anzing,0,0
2020-08-23,Anzing,0,0
2020-08-24,Anzing,0,0
2020-08-25,Anzing,0,0
2020-08-26,Anzing,0,0
2020-08-27,Anzing,0,0
2020-08-28,Anzing,0,0
2020-08-29,Anzing,0,0
2020-08-30,Anzing,0,0
2020-08-31,Anzing,0,0
2020-09-01,Anzing,0,0
2020-09-02,Anzing,0,0
2020-09-03,Anzing,0,0
2020-09-04,Anzing,0,0
2020-09-05,Anzing,0,0
2020-09-06,Anzing,0,0
2020-09-07,Anzing,0,0
2020-09-08,Anzing,0,0
2020-09-09,Anzing,0,0
2020-09-10,Anzing,0,0
2020-09-11,Anzing,0,0
2020-09-12,Anzing,0,0
2020-09-13,Anzing,0,0
2020-09-14,Anzing,1,22.57
2020-09-15,Anzing,0,22.57
2020-09-16,Anzing,0,22.57
2020-09-17,Anzing,1,45.15
2020-09-18,Anzing,0,45.15
2020-09-19,Anzing,0,45.15
2020-09-20,Anzing,0,45.15
2020-09-21,Anzing,0,22.57
2020-09-22,Anzing,0,22.57
2020-09-23,Anzing,0,22.57
2020-09-24,Anzing,0,0
2020-09-25,Anzing,0,0
2020-09-26,Anzing,0,0
2020-09-27,Anzing,0,0
2020-09-28,Anzing,0,0
2020-09-29,Anzing,0,0
2020-09-30,Anzing,0,0
2020-10-01,Anzing,0,0
2020-10-02,Anzing,0,0
2020-10-03,Anzing,0,0
2020-10-04,Anzing,0,0
2020-10-05,Anzing,0,0
