datum,erstimpfungen,zweitimpfungen,impfdosen,impfdosenNeu
2021-04-21,30264,9683,38812,NA
2021-04-22,31283,9686,39834,1022
2021-04-23,31714,9691,40270,436
2021-04-24,31714,9691,40270,0
2021-04-25,31714,9691,40270,0
2021-04-26,32008,9692,40565,295
2021-04-27,34775,9917,43557,2992
2021-04-28,35934,10020,44819,1262
2021-04-29,37066,10121,46052,1233
2021-04-30,38933,10351,48149,2097
2021-05-01,38933,10351,48149,0
2021-05-02,38933,10351,48149,0
2021-05-03,39660,10367,48892,743
2021-05-04,41111,10773,50749,1857
2021-05-05,42204,11085,52154,1405
2021-05-06,43949,11500,54314,2160
2021-05-07,45130,11869,55864,1550
2021-05-08,45130,11869,55864,0
2021-05-09,45130,11869,55864,0
2021-05-10,46961,13256,59082,3218
2021-05-11,47640,13271,59776,694
2021-05-12,49346,14071,62282,2506
2021-05-13,49346,14071,62282,0
2021-05-14,51612,14790,65267,2985
2021-05-15,51612,14790,65267,0
2021-05-16,51612,14790,65267,0
2021-05-17,54983,15525,69373,4106
2021-05-18,56377,15765,71007,1634
2021-05-19,57343,16104,72312,1305
2021-05-20,58623,16919,74407,2095
2021-05-21,59238,17351,75454,1047
2021-05-22,59238,17351,75454,0
2021-05-23,59238,17351,75454,0
2021-05-24,59238,17351,75454,0
2021-05-25,59526,17689,76080,626
2021-05-26,60372,20805,80042,3962
2021-05-27,60792,21468,81125,1083
2021-05-28,61242,22967,83074,1949
2021-05-29,61242,22967,83074,0
2021-05-30,61242,22967,83074,0
2021-05-31,61593,23710,84168,1094
2021-06-01,61976,24625,85466,1298
2021-06-02,62458,25915,87238,1772
2021-06-03,62530,26742,88137,899
2021-06-04,63071,27439,89375,1238
2021-06-05,63071,27439,89375,0
2021-06-06,63071,27439,89375,0
2021-06-07,63642,30293,92800,3425
2021-06-08,64123,31428,94416,1616
2021-06-09,64538,33425,96828,2412
2021-06-10,64858,35023,98746,1918
2021-06-11,64869,35300,99034,288
2021-06-13,65840,36003,100708,1674
2021-06-14,66139,37719,102723,2015
2021-06-15,66432,38648,103945,1222
2021-06-16,66918,40387,106170,2225
2021-06-17,67267,41311,107443,1273
2021-06-20,67500,42014,108379,936
2021-06-21,68222,43480,110567,2188
2021-06-22,68428,43855,111148,581
2021-06-23,69018,45240,113123,1975
2021-06-24,70180,46824,115869,2746
2021-06-25,70646,47066,116577,708
2021-06-27,71242,47664,117771,1194
2021-06-28,72392,49212,120469,2698
2021-06-29,73061,49893,121819,1350
2021-06-30,73730,51068,123663,1844
2021-07-01,74424,52177,125466,1803
2021-07-02,74840,52329,126034,568
2021-07-05,76716,53131,128712,2678
2021-07-06,77349,53595,129809,1097
2021-07-07,77968,54679,131512,1703
2021-07-08,78362,55745,132972,1460
2021-07-09,78492,56081,133438,466
2021-07-11,78991,57673,135529,2091
2021-07-12,79390,59642,137897,2368
2021-07-13,79673,60569,139107,1210
2021-07-14,79885,61466,140216,1109
2021-07-15,80124,62326,141315,1099
2021-07-16,80164,62344,141373,58
2021-07-18,80326,63385,142576,1203
2021-07-19,80381,63808,143054,478
2021-07-20,80871,64640,144376,1322
2021-07-21,81041,65246,145152,776
2021-07-22,81196,65796,145857,705
2021-07-23,81226,65834,145925,68
2021-07-24,81248,65846,145959,34
2021-07-25,81461,66553,146879,920
2021-07-26,81528,66890,147283,404
2021-07-27,81652,67730,148247,964
2021-07-28,81829,68627,149321,1074
2021-07-29,82007,69430,150302,981
2021-07-30,82090,69525,150480,178
2021-07-31,82213,69686,150764,284
2021-08-01,82393,70473,151731,967
2021-08-02,82587,71028,152480,749
2021-08-03,82682,71203,152750,270
2021-08-04,82840,72285,153990,1240
2021-08-05,82929,73003,154797,807
2021-08-06,83027,73599,155491,694
2021-08-07,83117,73795,155777,286
2021-08-08,83227,74521,156613,836
2021-08-09,83304,75150,157319,706
2021-08-10,83397,75797,158059,740
2021-08-11,83530,76451,158846,787
2021-08-12,83654,76961,159480,634
2021-08-13,83733,77251,159849,369
2021-08-14,83818,77750,160433,584
2021-08-15,83924,78344,161133,700
2021-08-16,83971,78574,161410,277
2021-08-17,84077,78959,161901,491
2021-08-18,84209,79368,162442,541
2021-08-19,84299,79560,162724,282
2021-08-20,84377,79684,162926,202
2021-08-22,84625,80134,163624,698
2021-08-24,84815,80605,164285,661
2021-08-25,84982,80914,164761,476
2021-08-26,85085,81081,165031,270
2021-08-27,85190,81204,165259,228
2021-08-28,85344,81425,165634,375
2021-08-29,85418,81599,165882,248
2021-08-30,85551,81775,166191,309
2021-08-31,85672,81914,166451,260
2021-09-01,85813,82154,166832,381
2021-09-02,85908,82291,167064,232
2021-09-03,85955,82378,167198,134
2021-09-04,86027,82502,167394,196
2021-09-05,86120,82609,167594,200
2021-09-06,86201,82692,167758,164
2021-09-07,86314,82855,168034,276
2021-09-08,86405,82993,168263,229
2021-09-09,86564,83127,168556,293
2021-09-10,86625,83239,168729,173
2021-09-11,86743,83454,169062,333
2021-09-12,86841,83609,169315,253
2021-09-13,86901,83772,169538,223
2021-09-14,87084,84026,169975,437
2021-09-15,87178,84157,170200,225
2021-09-16,87281,84288,170434,234
2021-09-17,87345,84376,170586,152
2021-09-18,87529,84645,171318,732
2021-09-19,87623,84758,171546,228
2021-09-20,87797,85024,172292,746
2021-09-21,87832,85063,172389,97
2021-09-22,87958,85182,172711,322
2021-09-23,87995,85254,172833,122
