datum,einrichtung,altersgruppe,erstimpfungen,zweitimpfungen,drittimpfungen,viertimpfungen
2021-04-21,Impfzentrum,0-19,385,81,0,0
2021-04-21,Impfzentrum,20-29,1500,316,0,0
2021-04-21,Impfzentrum,30-39,2181,399,0,0
2021-04-21,Impfzentrum,40-49,2639,535,0,0
2021-04-21,Impfzentrum,50-59,3837,715,0,0
2021-04-21,Impfzentrum,60-69,3064,487,0,0
2021-04-21,Impfzentrum,70-79,5881,668,0,0
2021-04-21,Impfzentrum,80+,7467,5920,0,0
2021-04-22,Impfzentrum,0-19,402,81,0,0
2021-04-22,Impfzentrum,20-29,1554,316,0,0
2021-04-22,Impfzentrum,30-39,2261,399,0,0
2021-04-22,Impfzentrum,40-49,2744,535,0,0
2021-04-22,Impfzentrum,50-59,4018,715,0,0
2021-04-22,Impfzentrum,60-69,3136,487,0,0
2021-04-22,Impfzentrum,70-79,5976,668,0,0
2021-04-22,Impfzentrum,80+,7468,5920,0,0
2021-04-23,Impfzentrum,0-19,402,81,0,0
2021-04-23,Impfzentrum,20-29,1554,316,0,0
2021-04-23,Impfzentrum,30-39,2261,399,0,0
2021-04-23,Impfzentrum,40-49,2744,535,0,0
2021-04-23,Impfzentrum,50-59,4018,715,0,0
2021-04-23,Impfzentrum,60-69,3136,487,0,0
2021-04-23,Impfzentrum,70-79,5976,668,0,0
2021-04-23,Impfzentrum,80+,7468,5920,0,0
2021-04-24,Impfzentrum,0-19,402,81,0,0
2021-04-24,Impfzentrum,20-29,1554,316,0,0
2021-04-24,Impfzentrum,30-39,2261,399,0,0
2021-04-24,Impfzentrum,40-49,2744,535,0,0
2021-04-24,Impfzentrum,50-59,4018,715,0,0
2021-04-24,Impfzentrum,60-69,3136,487,0,0
2021-04-24,Impfzentrum,70-79,5976,668,0,0
2021-04-24,Impfzentrum,80+,7468,5920,0,0
2021-04-25,Impfzentrum,0-19,402,81,0,0
2021-04-25,Impfzentrum,20-29,1554,316,0,0
2021-04-25,Impfzentrum,30-39,2261,399,0,0
2021-04-25,Impfzentrum,40-49,2744,535,0,0
2021-04-25,Impfzentrum,50-59,4018,715,0,0
2021-04-25,Impfzentrum,60-69,3136,487,0,0
2021-04-25,Impfzentrum,70-79,5976,668,0,0
2021-04-25,Impfzentrum,80+,7468,5920,0,0
2021-04-26,Impfzentrum,0-19,402,81,0,0
2021-04-26,Impfzentrum,20-29,1554,316,0,0
2021-04-26,Impfzentrum,30-39,2261,399,0,0
2021-04-26,Impfzentrum,40-49,2744,535,0,0
2021-04-26,Impfzentrum,50-59,4018,715,0,0
2021-04-26,Impfzentrum,60-69,3136,487,0,0
2021-04-26,Impfzentrum,70-79,5976,668,0,0
2021-04-26,Impfzentrum,80+,7468,5920,0,0
2021-04-27,Impfzentrum,0-19,473,87,0,0
2021-04-27,Impfzentrum,20-29,1784,340,0,0
2021-04-27,Impfzentrum,30-39,2545,433,0,0
2021-04-27,Impfzentrum,40-49,3121,576,0,0
2021-04-27,Impfzentrum,50-59,4575,799,0,0
2021-04-27,Impfzentrum,60-69,3693,516,0,0
2021-04-27,Impfzentrum,70-79,6465,673,0,0
2021-04-27,Impfzentrum,80+,7478,5922,0,0
2021-04-28,Impfzentrum,0-19,477,90,0,0
2021-04-28,Impfzentrum,20-29,1810,353,0,0
2021-04-28,Impfzentrum,30-39,2578,453,0,0
2021-04-28,Impfzentrum,40-49,3165,592,0,0
2021-04-28,Impfzentrum,50-59,4669,827,0,0
2021-04-28,Impfzentrum,60-69,3761,530,0,0
2021-04-28,Impfzentrum,70-79,6574,674,0,0
2021-04-28,Impfzentrum,80+,7485,5925,0,0
2021-04-29,Impfzentrum,0-19,477,90,0,0
2021-04-29,Impfzentrum,20-29,1810,353,0,0
2021-04-29,Impfzentrum,30-39,2578,453,0,0
2021-04-29,Impfzentrum,40-49,3165,592,0,0
2021-04-29,Impfzentrum,50-59,4669,827,0,0
2021-04-29,Impfzentrum,60-69,3761,530,0,0
2021-04-29,Impfzentrum,70-79,6574,674,0,0
2021-04-29,Impfzentrum,80+,7485,5925,0,0
2021-04-30,Impfzentrum,0-19,506,95,0,0
2021-04-30,Impfzentrum,20-29,1887,375,0,0
2021-04-30,Impfzentrum,30-39,2710,484,0,0
2021-04-30,Impfzentrum,40-49,3351,653,0,0
2021-04-30,Impfzentrum,50-59,4861,895,0,0
2021-04-30,Impfzentrum,60-69,3915,559,0,0
2021-04-30,Impfzentrum,70-79,6676,678,0,0
2021-04-30,Impfzentrum,80+,7492,5926,0,0
2021-05-01,Impfzentrum,0-19,506,95,0,0
2021-05-01,Impfzentrum,20-29,1887,375,0,0
2021-05-01,Impfzentrum,30-39,2710,484,0,0
2021-05-01,Impfzentrum,40-49,3351,653,0,0
2021-05-01,Impfzentrum,50-59,4861,895,0,0
2021-05-01,Impfzentrum,60-69,3915,559,0,0
2021-05-01,Impfzentrum,70-79,6676,678,0,0
2021-05-01,Impfzentrum,80+,7492,5926,0,0
2021-05-02,Impfzentrum,0-19,506,95,0,0
2021-05-02,Impfzentrum,20-29,1887,375,0,0
2021-05-02,Impfzentrum,30-39,2710,484,0,0
2021-05-02,Impfzentrum,40-49,3351,653,0,0
2021-05-02,Impfzentrum,50-59,4861,895,0,0
2021-05-02,Impfzentrum,60-69,3915,559,0,0
2021-05-02,Impfzentrum,70-79,6676,678,0,0
2021-05-02,Impfzentrum,80+,7492,5926,0,0
2021-05-03,Impfzentrum,0-19,506,95,0,0
2021-05-03,Impfzentrum,20-29,1887,375,0,0
2021-05-03,Impfzentrum,30-39,2710,484,0,0
2021-05-03,Impfzentrum,40-49,3351,653,0,0
2021-05-03,Impfzentrum,50-59,4861,895,0,0
2021-05-03,Impfzentrum,60-69,3915,559,0,0
2021-05-03,Impfzentrum,70-79,6676,678,0,0
2021-05-03,Impfzentrum,80+,7492,5926,0,0
2021-05-04,Impfzentrum,0-19,555,102,0,0
2021-05-04,Impfzentrum,20-29,2064,414,0,0
2021-05-04,Impfzentrum,30-39,2899,549,0,0
2021-05-04,Impfzentrum,40-49,3566,743,0,0
2021-05-04,Impfzentrum,50-59,5184,1029,0,0
2021-05-04,Impfzentrum,60-69,4071,622,0,0
2021-05-04,Impfzentrum,70-79,6728,682,0,0
2021-05-04,Impfzentrum,80+,7501,5926,0,0
2021-05-05,Impfzentrum,0-19,565,105,0,0
2021-05-05,Impfzentrum,20-29,2092,423,0,0
2021-05-05,Impfzentrum,30-39,2931,593,0,0
2021-05-05,Impfzentrum,40-49,3627,781,0,0
2021-05-05,Impfzentrum,50-59,5245,1102,0,0
2021-05-05,Impfzentrum,60-69,4093,654,0,0
2021-05-05,Impfzentrum,70-79,6739,719,0,0
2021-05-05,Impfzentrum,80+,7505,5946,0,0
2021-05-06,Impfzentrum,0-19,573,117,0,0
2021-05-06,Impfzentrum,20-29,2142,455,0,0
2021-05-06,Impfzentrum,30-39,2984,638,0,0
2021-05-06,Impfzentrum,40-49,3687,860,0,0
2021-05-06,Impfzentrum,50-59,5318,1188,0,0
2021-05-06,Impfzentrum,60-69,4108,697,0,0
2021-05-06,Impfzentrum,70-79,6745,750,0,0
2021-05-06,Impfzentrum,80+,7510,5976,0,0
2021-05-07,Impfzentrum,0-19,591,121,0,0
2021-05-07,Impfzentrum,20-29,2205,482,0,0
2021-05-07,Impfzentrum,30-39,3051,688,0,0
2021-05-07,Impfzentrum,40-49,3775,916,0,0
2021-05-07,Impfzentrum,50-59,5430,1317,0,0
2021-05-07,Impfzentrum,60-69,4137,746,0,0
2021-05-07,Impfzentrum,70-79,6754,769,0,0
2021-05-07,Impfzentrum,80+,7516,5991,0,0
2021-05-08,Impfzentrum,0-19,591,121,0,0
2021-05-08,Impfzentrum,20-29,2205,482,0,0
2021-05-08,Impfzentrum,30-39,3051,688,0,0
2021-05-08,Impfzentrum,40-49,3775,916,0,0
2021-05-08,Impfzentrum,50-59,5430,1317,0,0
