datum,einrichtung,erstimpfungen,zweitimpfungen,drittimpfungen,impfdosen
2021-04-21,Impfzentrum,26954,9121,0,36075
2021-04-22,Impfzentrum,27559,9121,0,36680
2021-04-23,Impfzentrum,27559,9121,0,36680
2021-04-24,Impfzentrum,27559,9121,0,36680
2021-04-25,Impfzentrum,27559,9121,0,36680
2021-04-26,Impfzentrum,27559,9121,0,36680
2021-04-27,Impfzentrum,30134,9346,0,39480
2021-04-28,Impfzentrum,30519,9444,0,39963
2021-04-29,Impfzentrum,30519,9444,0,39963
2021-04-30,Impfzentrum,31398,9665,0,41063
2021-05-01,Impfzentrum,31398,9665,0,41063
2021-05-02,Impfzentrum,31398,9665,0,41063
2021-05-03,Impfzentrum,31398,9665,0,41063
2021-05-04,Impfzentrum,32568,10067,0,42635
2021-05-05,Impfzentrum,32797,10323,0,43120
2021-05-06,Impfzentrum,33067,10681,0,43748
2021-05-07,Impfzentrum,33459,11030,0,44489
2021-05-08,Impfzentrum,33459,11030,0,44489
2021-05-09,Impfzentrum,33459,11030,0,44489
2021-05-10,Impfzentrum,33932,12324,0,46256
2021-05-11,Impfzentrum,34237,12324,0,46561
2021-05-12,Impfzentrum,34671,12999,0,47670
2021-05-13,Impfzentrum,34671,12999,0,47670
2021-05-14,Impfzentrum,35495,13530,0,49025
2021-05-15,Impfzentrum,35495,13530,0,49025
2021-05-16,Impfzentrum,35495,13530,0,49025
2021-05-17,Impfzentrum,37532,14207,0,51739
2021-05-18,Impfzentrum,37933,14344,0,52277
2021-05-19,Impfzentrum,38286,14437,0,52723
2021-05-20,Impfzentrum,38675,14744,0,53419
2021-05-21,Impfzentrum,38675,14744,0,53419
2021-05-22,Impfzentrum,38675,14744,0,53419
2021-05-23,Impfzentrum,38675,14744,0,53419
2021-05-24,Impfzentrum,38675,14744,0,53419
2021-05-25,Impfzentrum,38675,14744,0,53419
2021-05-26,Impfzentrum,39373,17762,0,57135
2021-05-27,Impfzentrum,39373,17762,0,57135
2021-05-28,Impfzentrum,39475,18601,0,58076
2021-05-29,Impfzentrum,39475,18601,0,58076
2021-05-30,Impfzentrum,39475,18601,0,58076
2021-05-31,Impfzentrum,39596,19090,0,58686
2021-06-01,Impfzentrum,39695,19932,0,59627
2021-06-02,Impfzentrum,39790,20995,0,60785
2021-06-03,Impfzentrum,39862,21822,0,61684
2021-06-04,Impfzentrum,39862,21822,0,61684
2021-06-05,Impfzentrum,39862,21822,0,61684
2021-06-06,Impfzentrum,39862,21822,0,61684
2021-06-07,Impfzentrum,40006,24356,0,64362
2021-06-08,Impfzentrum,40025,24647,0,64672
2021-06-09,Impfzentrum,40124,25296,0,65420
