datum,einrichtung,geschlecht,erstimpfungen,zweitimpfungen,drittimpfungen
2021-04-21,Impfzentrum,Weiblich,15493,5455,0
2021-04-21,Impfzentrum,Maennlich,11449,3661,0
2021-04-21,Impfzentrum,Divers,12,5,0
2021-04-22,Impfzentrum,Weiblich,15818,5455,0
2021-04-22,Impfzentrum,Maennlich,11729,3661,0
2021-04-22,Impfzentrum,Divers,12,5,0
2021-04-23,Impfzentrum,Weiblich,15818,5455,0
2021-04-23,Impfzentrum,Maennlich,11729,3661,0
2021-04-23,Impfzentrum,Divers,12,5,0
2021-04-24,Impfzentrum,Weiblich,15818,5455,0
2021-04-24,Impfzentrum,Maennlich,11729,3661,0
2021-04-24,Impfzentrum,Divers,12,5,0
2021-04-25,Impfzentrum,Weiblich,15818,5455,0
2021-04-25,Impfzentrum,Maennlich,11729,3661,0
2021-04-25,Impfzentrum,Divers,12,5,0
2021-04-26,Impfzentrum,Weiblich,15818,5455,0
2021-04-26,Impfzentrum,Maennlich,11729,3661,0
2021-04-26,Impfzentrum,Divers,12,5,0
2021-04-27,Impfzentrum,Weiblich,17191,5591,0
2021-04-27,Impfzentrum,Maennlich,12931,3750,0
2021-04-27,Impfzentrum,Divers,12,5,0
2021-04-28,Impfzentrum,Weiblich,17393,5649,0
2021-04-28,Impfzentrum,Maennlich,13113,3790,0
2021-04-28,Impfzentrum,Divers,13,5,0
2021-04-29,Impfzentrum,Weiblich,17393,5649,0
2021-04-29,Impfzentrum,Maennlich,13113,3790,0
2021-04-29,Impfzentrum,Divers,13,5,0
2021-04-30,Impfzentrum,Weiblich,17869,5792,0
2021-04-30,Impfzentrum,Maennlich,13515,3868,0
2021-04-30,Impfzentrum,Divers,14,5,0
2021-05-01,Impfzentrum,Weiblich,17869,5792,0
2021-05-01,Impfzentrum,Maennlich,13515,3868,0
2021-05-01,Impfzentrum,Divers,14,5,0
2021-05-02,Impfzentrum,Weiblich,17869,5792,0
2021-05-02,Impfzentrum,Maennlich,13515,3868,0
2021-05-02,Impfzentrum,Divers,14,5,0
2021-05-03,Impfzentrum,Weiblich,17869,5792,0
2021-05-03,Impfzentrum,Maennlich,13515,3868,0
2021-05-03,Impfzentrum,Divers,14,5,0
2021-05-04,Impfzentrum,Weiblich,18459,6031,0
2021-05-04,Impfzentrum,Maennlich,14094,4031,0
2021-05-04,Impfzentrum,Divers,15,5,0
2021-05-05,Impfzentrum,Weiblich,18588,6181,0
2021-05-05,Impfzentrum,Maennlich,14194,4137,0
2021-05-05,Impfzentrum,Divers,15,5,0
2021-05-06,Impfzentrum,Weiblich,18727,6389,0
2021-05-06,Impfzentrum,Maennlich,14325,4287,0
2021-05-06,Impfzentrum,Divers,15,5,0
2021-05-07,Impfzentrum,Weiblich,18920,6606,0
2021-05-07,Impfzentrum,Maennlich,14524,4419,0
2021-05-07,Impfzentrum,Divers,15,5,0
2021-05-08,Impfzentrum,Weiblich,18920,6606,0
2021-05-08,Impfzentrum,Maennlich,14524,4419,0
2021-05-08,Impfzentrum,Divers,15,5,0
2021-05-09,Impfzentrum,Weiblich,18920,6606,0
2021-05-09,Impfzentrum,Maennlich,14524,4419,0
2021-05-09,Impfzentrum,Divers,15,5,0
2021-05-10,Impfzentrum,Weiblich,19161,7384,0
2021-05-10,Impfzentrum,Maennlich,14756,4934,0
2021-05-10,Impfzentrum,Divers,15,6,0
2021-05-11,Impfzentrum,Weiblich,19306,7384,0
2021-05-11,Impfzentrum,Maennlich,14916,4934,0
2021-05-11,Impfzentrum,Divers,15,6,0
2021-05-12,Impfzentrum,Weiblich,19561,7779,0
2021-05-12,Impfzentrum,Maennlich,15095,5213,0
2021-05-12,Impfzentrum,Divers,15,7,0
2021-05-13,Impfzentrum,Weiblich,19561,7779,0
2021-05-13,Impfzentrum,Maennlich,15095,5213,0
2021-05-13,Impfzentrum,Divers,15,7,0
2021-05-14,Impfzentrum,Weiblich,19997,8120,0
2021-05-14,Impfzentrum,Maennlich,15483,5403,0
2021-05-14,Impfzentrum,Divers,15,7,0
2021-05-15,Impfzentrum,Weiblich,19997,8120,0
2021-05-15,Impfzentrum,Maennlich,15483,5403,0
2021-05-15,Impfzentrum,Divers,15,7,0
2021-05-16,Impfzentrum,Weiblich,19997,8120,0
2021-05-16,Impfzentrum,Maennlich,15483,5403,0
2021-05-16,Impfzentrum,Divers,15,7,0
2021-05-17,Impfzentrum,Weiblich,20751,8531,0
2021-05-17,Impfzentrum,Maennlich,16766,5669,0
2021-05-17,Impfzentrum,Divers,15,7,0
2021-05-18,Impfzentrum,Weiblich,20963,8604,0
2021-05-18,Impfzentrum,Maennlich,16955,5733,0
2021-05-18,Impfzentrum,Divers,15,7,0
2021-05-19,Impfzentrum,Weiblich,21162,8669,0
2021-05-19,Impfzentrum,Maennlich,17109,5761,0
2021-05-19,Impfzentrum,Divers,15,7,0
2021-05-20,Impfzentrum,Weiblich,21376,8883,0
2021-05-20,Impfzentrum,Maennlich,17284,5854,0
2021-05-20,Impfzentrum,Divers,15,7,0
2021-05-21,Impfzentrum,Weiblich,21376,8883,0
2021-05-21,Impfzentrum,Maennlich,17284,5854,0
2021-05-21,Impfzentrum,Divers,15,7,0
2021-05-22,Impfzentrum,Weiblich,21376,8883,0
2021-05-22,Impfzentrum,Maennlich,17284,5854,0
2021-05-22,Impfzentrum,Divers,15,7,0
2021-05-23,Impfzentrum,Weiblich,21376,8883,0
2021-05-23,Impfzentrum,Maennlich,17284,5854,0
2021-05-23,Impfzentrum,Divers,15,7,0
2021-05-24,Impfzentrum,Weiblich,21376,8883,0
2021-05-24,Impfzentrum,Maennlich,17284,5854,0
2021-05-24,Impfzentrum,Divers,15,7,0
2021-05-25,Impfzentrum,Weiblich,21376,8883,0
2021-05-25,Impfzentrum,Maennlich,17284,5854,0
2021-05-25,Impfzentrum,Divers,15,7,0
2021-05-26,Impfzentrum,Weiblich,21748,10555,0
2021-05-26,Impfzentrum,Maennlich,17610,7199,0
2021-05-26,Impfzentrum,Divers,15,8,0
2021-05-27,Impfzentrum,Weiblich,21748,10555,0
2021-05-27,Impfzentrum,Maennlich,17610,7199,0
2021-05-27,Impfzentrum,Divers,15,8,0
2021-05-28,Impfzentrum,Weiblich,21798,10986,0
2021-05-28,Impfzentrum,Maennlich,17662,7607,0
2021-05-28,Impfzentrum,Divers,15,8,0
