stichtag,erhebungsart,bevoelkerung,maennlich,weiblich
1956-12-31,fortschreibung,5606,2620,2986
1957-12-31,fortschreibung,5921,2759,3162
1958-12-31,fortschreibung,6202,2915,3287
1959-12-31,fortschreibung,6437,3017,3420
1960-12-31,fortschreibung,6815,3221,3594
1961-12-31,fortschreibung,6898,3335,3563
1962-12-31,fortschreibung,7301,3481,3820
1963-12-31,fortschreibung,7719,3675,4044
1964-12-31,fortschreibung,8181,3860,4321
1965-12-31,fortschreibung,8854,4184,4670
1966-12-31,fortschreibung,9412,4463,4949
1967-12-31,fortschreibung,9718,4590,5128
1968-12-31,fortschreibung,10380,4906,5474
1969-12-31,fortschreibung,10958,5174,5784
1970-12-31,fortschreibung,11566,5617,5949
1971-12-31,fortschreibung,12493,6191,6302
1972-12-31,fortschreibung,13758,6849,6909
1973-12-31,fortschreibung,15387,7611,7776
1974-12-31,fortschreibung,15686,7697,7989
1975-12-31,fortschreibung,15910,7758,8152
1976-12-31,fortschreibung,16283,7901,8382
1977-12-31,fortschreibung,16830,8183,8647
1978-12-31,fortschreibung,17321,8468,8853
1979-12-31,fortschreibung,17613,8656,8957
1980-12-31,fortschreibung,17979,8812,9167
1981-12-31,fortschreibung,18227,8959,9268
1982-12-31,fortschreibung,18319,8981,9338
1983-12-31,fortschreibung,18395,9029,9366
1984-12-31,fortschreibung,18513,9098,9415
1985-12-31,fortschreibung,18584,9129,9455
1986-12-31,fortschreibung,18846,9298,9548
1987-12-31,fortschreibung,17906,8785,9121
1988-12-31,fortschreibung,18268,8970,9298
1989-12-31,fortschreibung,18599,9171,9428
1990-12-31,fortschreibung,18751,9256,9495
1991-12-31,fortschreibung,18899,9338,9561
1992-12-31,fortschreibung,18972,9336,9636
1993-12-31,fortschreibung,19054,9392,9662
1994-12-31,fortschreibung,19277,9490,9787
1995-12-31,fortschreibung,19649,9697,9952
1996-12-31,fortschreibung,19955,9844,10111
1997-12-31,fortschreibung,20085,9908,10177
1998-12-31,fortschreibung,20394,10010,10384
1999-12-31,fortschreibung,20566,10052,10514
2000-12-31,fortschreibung,20978,10316,10662
2001-12-31,fortschreibung,21221,10430,10791
2002-12-31,fortschreibung,21113,10353,10760
2003-12-31,fortschreibung,21052,10320,10732
2004-12-31,fortschreibung,21097,10306,10791
2005-12-31,fortschreibung,21158,10307,10851
2006-12-31,fortschreibung,21401,10460,10941
2007-12-31,fortschreibung,21600,10527,11073
2008-12-31,fortschreibung,21697,10627,11070
2009-12-31,fortschreibung,21856,10732,11124
2010-12-31,fortschreibung,22070,10857,11213
2011-12-31,fortschreibung,21286,10342,10944
2012-12-31,fortschreibung,21757,10537,11220
2013-12-31,fortschreibung,22087,10718,11369
2014-12-31,fortschreibung,22272,10804,11468
2015-12-31,fortschreibung,22768,11099,11669
2016-12-31,fortschreibung,22936,11180,11756
2017-12-31,fortschreibung,23229,11379,11850
2018-12-31,fortschreibung,23422,11448,11974
2019-12-31,fortschreibung,24404,12010,12394
2020-12-31,fortschreibung,24789,12183,12606
2021-12-31,fortschreibung,25023,12253,12770
2022-12-31,fortschreibung,24261,11843,12418
2023-12-31,fortschreibung,24355,12003,12352
