stichtag,erhebungsart,bevoelkerung,maennlich,weiblich
2019-12-31,vorausberechnung,24400,12010,12390
2020-12-31,vorausberechnung,24790,12180,12610
2021-12-31,vorausberechnung,24910,12220,12690
2022-12-31,vorausberechnung,25050,12280,12770
2023-12-31,vorausberechnung,25190,12340,12850
2024-12-31,vorausberechnung,25330,12400,12930
2025-12-31,vorausberechnung,25470,12450,13010
2026-12-31,vorausberechnung,25600,12510,13090
2027-12-31,vorausberechnung,25720,12570,13160
2028-12-31,vorausberechnung,25850,12620,13220
2029-12-31,vorausberechnung,25960,12670,13290
2030-12-31,vorausberechnung,26070,12720,13350
2031-12-31,vorausberechnung,26170,12770,13400
2032-12-31,vorausberechnung,26280,12820,13450
2033-12-31,vorausberechnung,26370,12870,13500
2034-12-31,vorausberechnung,26470,12920,13550
2035-12-31,vorausberechnung,26570,12960,13600
2036-12-31,vorausberechnung,26660,13010,13650
2037-12-31,vorausberechnung,26750,13050,13700
2038-12-31,vorausberechnung,26840,13100,13740
2039-12-31,vorausberechnung,26930,13140,13790
