MaStRId,MaStRNummer,EEGAnlagenschluessel,status,registrierungMaStR,inbetriebnahme,inbetriebnahmeGeplant,stilllegung,name,betreiber,gebaeudeNutzung,plz,ort,strasse,hausnummer,lat,long,netzbetreiberPruefung,typ,module,ausrichtung,bruttoleistung_kW,nettonennleistung_kW,leistungsBegrenzung,EEGAusschreibung,einspeisung,mieterstrom
3778717,SEE990523262057,E21875011000000000000306631500000,Endgültig stillgelegt,2020-12-02,2000-10-27,,2020-12-31,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,1,Süd,0.2,0.2,ohne,false,Volleinspeisung,false
3684044,SEE947074965098,E21875011000000000000306347700000,Endgültig stillgelegt,2020-11-19,2001-02-01,,2024-10-02,,,haushalt,85598,Baldham,,,,,false,gebaeude,20,Süd,2.9,2.5,ohne,false,Volleinspeisung,false
2631689,SEE921964597187,,Endgültig stillgelegt,2019-12-27,2001-03-31,,2021-12-04,,,haushalt,85598,Baldham,,,,,true,gebaeude,30,Süd,3.3,3.3,ohne,false,Volleinspeisung,false
3287582,SEE915177554532,,In Betrieb,2020-07-27,2001-04-24,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,16,Süd,3.76,3.68,,false,Volleinspeisung,false
3522227,SEE915969066236,,In Betrieb,2020-10-14,2001-04-27,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,10,Süd-Ost,1.1,1.1,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2428059,SEE915814135667,,In Betrieb,2019-10-17,2001-05-27,,,,,GHD,85646,Neufarn,,,,,false,gebaeude,180,Süd,27.0,27.0,ohne,false,Volleinspeisung,false
1991910,SEE918211483102,E21875011000000000000271550100000,In Betrieb,2019-04-14,2001-07-03,,,,,landwirtschaft,85591,Vaterstetten,Johann-Sebastian-Bach-Straße,7,48.11154,11.778989,true,gebaeude,336,Süd,51.0,50.0,ohne,false,Volleinspeisung,false
3716447,SEE959204146321,E21875011000000000000255066200000,In Betrieb,2020-11-24,2001-09-11,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,1,,2.24,2.24,,false,Volleinspeisung,false
3478741,SEE916117810046,E21875011000000000000297547000000,Endgültig stillgelegt,2020-10-02,2001-10-05,,2022-09-20,,,haushalt,85599,Parsdorf,,,,,true,gebaeude,12,Süd,1.8,1.8,ohne,false,Volleinspeisung,false
2050191,SEE911664141407,E21875011000000000000297421600000,In Betrieb,2020-12-02,2001-11-15,,,PV-Rathaus-Vaterstetten-Eingang,Gemeinde Vaterstetten,oeffentlich,85591,Vaterstetten,,,,,false,gebaeude,8,Süd,1.18,1.18,ohne,false,Volleinspeisung,false
3261903,SEE931610749754,E21875011000000000000297686600000,In Betrieb,2020-07-20,2001-12-18,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,14,Süd,1.52,1.52,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
2117036,SEE969536093385,E21875011000000000000297609500000,In Betrieb,2019-05-26,2001-12-19,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,11,Süd,0.45,0.45,ohne,false,Volleinspeisung,false
2636879,SEE993938845068,,In Betrieb,2019-12-29,2001-12-20,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,18,Süd,2.85,2.5,ohne,false,Volleinspeisung,false
1957224,SEE917592133668,E21875011000000000000308476400000,In Betrieb,2019-03-26,2002-04-20,,,Photovoltaikanlage Maria Königin,Katholische Kirchenstiftung Maria Königin Baldham,sonstige,85598,Baldham,,,,,true,gebaeude,36,Süd-West,3.92,1.8,ohne,false,Volleinspeisung,false
4262023,SEE972590930251,,Endgültig stillgelegt,2021-01-28,2002-06-18,,2024-06-29,,,sonstige,85598,Baldham,,,,,false,gebaeude,22,,3.44,3.44,ohne,false,,false
2635261,SEE995068596308,E21875011000000000000301398400000,In Betrieb,2019-12-28,2002-12-19,,,Anlage 1,Großmann Erden GmbH,GHD,85599,Hergolding,,,,,true,gebaeude,110,Süd,14.31,10.0,ohne,false,Volleinspeisung,false
3273159,SEE910081971710,,In Betrieb,2020-08-10,2003-02-19,,,,,landwirtschaft,85599,Hergolding,,,,,false,gebaeude,78,Süd,12.09,10.0,ohne,false,Volleinspeisung,false
2630845,SEE911967740727,E21875011000000000000338861000000,In Betrieb,2019-12-27,2003-03-31,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,12,Süd-West,1.95,1.95,ohne,false,Volleinspeisung,false
2635003,SEE941782930058,E21875011000000000000340272000000,In Betrieb,2019-12-28,2003-05-16,,,,,GHD,85599,Hergolding,,,,,true,gebaeude,72,Süd,9.36,9.0,ohne,false,Volleinspeisung,false
2635054,SEE978374005726,E21875011000000000000340271100000,In Betrieb,2019-12-28,2003-05-16,,,,,GHD,85599,Hergolding,,,,,true,gebaeude,24,Süd,3.12,3.0,ohne,false,Volleinspeisung,false
2636779,SEE982968658960,,In Betrieb,2019-12-29,2003-05-16,,,,,GHD,85599,Hergolding,,,,,true,gebaeude,72,Süd,9.36,9.0,ohne,false,Volleinspeisung,false
2635306,SEE948182354323,E21875011000000000000340164900000,In Betrieb,2019-12-28,2003-07-31,,,Anlage 2,Großmann Erden GmbH,GHD,85599,Hergolding,,,,,true,gebaeude,48,Süd,5.76,5.0,ohne,false,Volleinspeisung,false
4764930,SEE905809653818,E21875011000000000000264640400001,In Betrieb,2021-11-13,2003-08-01,,,,,sonstige,85591,Vaterstetten,,,,,false,gebaeude,10,Süd-Ost,1.32,1.32,ohne,false,Teileinspeisung (einschließlich Eigenverbrauch),false
3897203,SEE932809243299,E21875011000000000000340295700000,In Betrieb,2020-12-16,2003-08-14,,,,,landwirtschaft,85599,Hergolding,,,,,true,gebaeude,72,Süd,10.08,10.0,ohne,false,Volleinspeisung,false
3901651,SEE981969834724,E21875011000000000000340295800000,In Betrieb,2020-12-16,2003-08-14,,,,,landwirtschaft,85599,Hergolding,,,,,true,gebaeude,72,Süd,10.08,10.0,ohne,false,Volleinspeisung,false
4283834,SEE900592475449,,In Betrieb,2021-01-29,2003-08-14,,,,,haushalt,85646,Neufarn,,,,,true,gebaeude,,Süd,11.6,10.0,ohne,false,Volleinspeisung,false
2738996,SEE949436066481,E21875011000000000000341844900000,In Betrieb,2020-01-30,2003-09-11,,,,,GHD,85599,Hergolding,,,,,true,gebaeude,5,Süd,10.08,10.08,ohne,false,Volleinspeisung,false
2740165,SEE973823504577,E21875011000000000000341845000000,In Betrieb,2020-01-30,2003-09-11,,,,,GHD,85599,Hergolding,,,,,true,gebaeude,5,Süd,10.08,10.08,ohne,false,Volleinspeisung,false
3252247,SEE957904128845,E21875011000000000000340634800000,In Betrieb,2020-07-16,2003-10-21,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,1,Süd,2.8,2.8,ohne,false,Volleinspeisung,false
2118250,SEE925317723957,,In Betrieb,2019-05-27,2003-11-24,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,21,Süd,4.62,1.3,ohne,false,Volleinspeisung,false
2549837,SEE973268346633,E21875011000000000000349464100000,In Betrieb,2019-11-29,2004-02-09,,,Gymnasium Vaterstetten,ENTEGA NATURpur AG,oeffentlich,85598,Baldham,,,,,true,gebaeude,24,Süd,3.0,3.0,ohne,false,Volleinspeisung,false
3230646,SEE902548792617,E21875011000000000000342967800000,In Betrieb,2020-07-10,2004-05-12,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,16,Süd-West,1.84,1.84,ohne,false,Volleinspeisung,false
2635082,SEE999073802119,E21875011000000000000343195000000,In Betrieb,2019-12-28,2004-06-07,,,,,GHD,85599,Hergolding,,,,,true,gebaeude,136,Süd,19.04,18.0,ohne,false,Volleinspeisung,false
2635383,SEE986878574136,E21875011000000000000343027700000,In Betrieb,2019-12-28,2004-06-30,,,Anlage 3,Energiehof Stefan Großmann-Neuhäusler,GHD,85599,Hergolding,Parsdorfer Str.,27,48.127254,11.789172,true,gebaeude,424,Süd,59.36,54.0,ohne,false,Volleinspeisung,false
2203594,SEE952463379646,,In Betrieb,2019-07-06,2004-07-29,,,,,sonstige,85591,Vaterstetten,,,,,true,gebaeude,202,Süd,20.2,18.0,ohne,false,Volleinspeisung,false
2851249,SEE930918399296,E21875011000000000000343508600000,In Betrieb,2020-03-02,2004-08-02,,,,,GHD,85599,Parsdorf,Dorfplatz,8,48.141521,11.787846,true,gebaeude,320,Süd,49.29,42.2,ohne,false,Volleinspeisung,false
4283884,SEE904963976146,,In Betrieb,2021-01-29,2004-08-18,,,,,landwirtschaft,85646,Neufarn,,,,,true,gebaeude,,Süd,13.0,10.0,ohne,false,Volleinspeisung,false
3974084,SEE990245167937,E21875011000000000000347731500000,In Betrieb,2020-12-28,2004-08-23,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,14,Süd-West,2.8,2.5,ohne,false,Volleinspeisung,false
3763821,SEE985290245174,E21875011000000000000347712500000,In Betrieb,2020-11-30,2004-09-06,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,27,Süd,4.32,4.32,ohne,false,Volleinspeisung,false
3622733,SEE999517066688,E21875011000000000000350698900000,In Betrieb,2020-11-08,2004-10-26,,,,,haushalt,85598,Baldham,,,,,true,gebaeude,,Süd,3.15,3.15,ohne,false,Volleinspeisung,false
3230507,SEE982507762103,E21875011000000000000351383000000,In Betrieb,2020-07-10,2004-11-09,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,12,Süd,2.4,2.4,ohne,false,Volleinspeisung,false
2451512,SEE975462229200,,In Betrieb,2019-10-26,2004-11-22,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,12,Süd,2.5,2.24,ohne,false,Volleinspeisung,false
3711107,SEE987083330098,E21875011000000000000351857800000,In Betrieb,2020-11-23,2004-12-16,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,25,Süd,3.13,2.75,ohne,false,Volleinspeisung,false
2980647,SEE907402819493,E21875011000000000000352174500000,In Betrieb,2020-04-16,2004-12-29,,,,,haushalt,85591,Vaterstetten,,,,,true,gebaeude,42,Süd-Ost,3.78,3.0,ohne,false,Volleinspeisung,false
