Name,OSMType,OSMID,Latitude,Longitude
Katholisches Kinderhaus St. Josef,node,646580674,48.1042343,11.7700564
AWO Kinderhaus am OHA,node,2520957916,48.1086276,11.7795418
"AWO Kinderhaus Außenstelle ""Rasselbande""",node,4240919792,48.109001,11.7658773
Oktonauten,node,5719852873,48.1057461,11.7942829
Karwendel-Kiste,node,10983853139,48.0921378,11.7921462
Denk mit Kita Vaterstetten,node,11202302545,48.1143548,11.7744067
Denk mit Kita Vaterstetten Weißenfeld,node,12684159904,48.1337859,11.7650898
Little Learners - Big explorers,node,12750526249,48.1113785,11.7781661
Kinderland Gluckstraße,node,12750529420,48.1056173,11.7847632
Kinderland Schulhort Wendelsteinstraße,node,12750589515,48.1053993,11.7690879
Vorschulkindergarten Vaterstetten,node,12750611427,48.0976153,11.7915201
Schulhort Baldham,node,12750611428,48.0971115,11.7877175
,node,12752266072,48.1046405,11.7696898
Naturindianer,way,135435774,48.1016041,11.767022
Katharina von Bora-Haus,way,234024394,48.1052537,11.7868253
Kinderhaus Sankt Nikolaus,way,305036327,48.1421403,11.7946553
Kinderkrippe Luise-Bayerlein-Haus,way,437995863,48.1130836,11.7684963
Kinderland alte Brennerei,way,690861529,48.1143178,11.7990138
Wichtel Akademie Vaterstetten,way,808488447,48.1114679,11.7678382
Kinderhaus Maria Königin,way,819551316,48.0973973,11.7870595
Waldorfkindergarten Neufarn,way,1055878311,48.145309,11.8165653
Kindertagesstätte St. Anna,way,1355368246,48.0953612,11.7757794
AWO Haus für Kinder „Alfred Hermann Haus“,way,1359660054,48.1008126,11.7871832
Kindergarten Bärenhöhle,way,1377059015,48.0999796,11.7956604
