stimmbezirk,stimmbezirkNr,wahlberechtigte,waehler,ungueltigeStimmzettel,gueltigeStimmzettel,gueltigeStimmen,stimmzettelNurListenkreuz,stimmzettelNurEineListe
Gesamt,0,18883,12011,173,11838,339156,4007,6703
Stimmbezirk 01,1,874,255,3,252,7046,95,178
Stimmbezirk 02,2,760,202,1,201,5765,50,139
Stimmbezirk 03,3,1058,302,3,299,8224,73,175
Stimmbezirk 04,4,1100,317,7,310,8784,126,204
Stimmbezirk 05,5,649,204,2,202,5837,91,151
Stimmbezirk 06,6,755,189,3,186,5059,80,120
Stimmbezirk 07,7,850,215,4,211,6062,84,139
Stimmbezirk 08,8,869,225,3,222,6357,98,140
Stimmbezirk 09,9,714,211,1,210,6022,95,140
Stimmbezirk 10,10,889,245,7,238,6752,107,153
Stimmbezirk 11,11,635,169,3,166,4662,65,101
Stimmbezirk 12,12,688,196,5,191,5446,75,122
Stimmbezirk 13,13,795,199,7,192,5430,91,121
Stimmbezirk 14,14,655,201,1,200,5765,88,139
Stimmbezirk 15,15,756,171,5,166,4768,83,117
Stimmbezirk 16,16,808,166,4,162,4544,54,105
Stimmbezirk 17,17,675,214,5,209,5811,69,132
Stimmbezirk 18,18,671,185,3,182,5159,69,116
Stimmbezirk 19,19,743,210,5,205,5809,79,127
Stimmbezirk 20,20,727,200,2,198,5632,104,140
Stimmbezirk 21,21,738,185,2,183,5200,89,131
Stimmbezirk 22,22,700,214,3,211,6011,111,153
Stimmbezirk 23,23,748,206,0,206,5904,95,145
Stimmbezirk 24,24,670,193,4,189,5403,84,126
Stimmbezirk 25,25,356,56,1,55,1428,37,51
Stimmbezirk 31,31,0,491,8,483,13927,139,253
Stimmbezirk 32,32,0,612,8,604,17415,190,290
Stimmbezirk 33,33,0,452,7,445,12924,140,226
Stimmbezirk 34,34,0,491,3,488,14041,146,271
Stimmbezirk 35,35,0,379,3,376,10833,104,190
Stimmbezirk 36,36,0,557,10,547,15942,165,280
Stimmbezirk 37,37,0,567,7,560,16151,157,265
Stimmbezirk 38,38,0,597,8,589,17053,133,249
Stimmbezirk 39,39,0,608,7,601,17386,162,282
Stimmbezirk 40,40,0,383,8,375,10972,124,202
Stimmbezirk 41,41,0,632,7,625,18136,174,310
Stimmbezirk 42,42,0,551,7,544,15591,138,251
Stimmbezirk 43,43,0,561,6,555,15905,143,269
