datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D5;D6
15.03.2020;Wahl des ersten Bürgermeisters;09175132;01;Stimmbezirk 01;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;02;Stimmbezirk 02;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;03;Stimmbezirk 03;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;04;Stimmbezirk 04;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;05;Stimmbezirk 05;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;06;Stimmbezirk 06;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;07;Stimmbezirk 07;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;08;Stimmbezirk 08;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;09;Stimmbezirk 09;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;10;Stimmbezirk 10;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;11;Stimmbezirk 11;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;12;Stimmbezirk 12;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;13;Stimmbezirk 13;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;14;Stimmbezirk 14;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;15;Stimmbezirk 15;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;16;Stimmbezirk 16;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;17;Stimmbezirk 17;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;18;Stimmbezirk 18;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;19;Stimmbezirk 19;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;20;Stimmbezirk 20;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;21;Stimmbezirk 21;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;22;Stimmbezirk 22;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;23;Stimmbezirk 23;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;24;Stimmbezirk 24;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;25;Stimmbezirk 25;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;31;Stimmbezirk 31;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;32;Stimmbezirk 32;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;33;Stimmbezirk 33;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;34;Stimmbezirk 34;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;35;Stimmbezirk 35;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;36;Stimmbezirk 36;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;37;Stimmbezirk 37;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;38;Stimmbezirk 38;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;39;Stimmbezirk 39;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;40;Stimmbezirk 40;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;41;Stimmbezirk 41;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;42;Stimmbezirk 42;1;1;;;;;;;;;;;;;
15.03.2020;Wahl des ersten Bürgermeisters;09175132;43;Stimmbezirk 43;1;1;;;;;;;;;;;;;
