datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B2;C;D;E;D1_unveraendert;D1_veraendert;D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;D1_16;D1_17;D1_18;D1_19;D1_20;D1_21;D1_22;D1_23;D1_24;D1_25;D1_26;D1_27;D1_28;D1_29;D1_30;D2_unveraendert;D2_veraendert;D2;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D2_13;D2_14;D2_15;D2_16;D2_17;D2_18;D2_19;D2_20;D2_21;D2_22;D2_23;D2_24;D2_25;D2_26;D2_27;D2_28;D2_29;D2_30;D3_unveraendert;D3_veraendert;D3;D3_1;D3_2;D3_3;D3_4;D3_5;D3_6;D3_7;D3_8;D3_9;D3_10;D3_11;D3_12;D3_13;D3_14;D3_15;D3_16;D3_17;D3_18;D3_19;D3_20;D3_21;D3_22;D3_23;D3_24;D3_25;D3_26;D3_27;D3_28;D3_29;D3_30;D4_unveraendert;D4_veraendert;D4;D4_1;D4_2;D4_3;D4_4;D4_5;D4_6;D4_7;D4_8;D4_9;D4_10;D4_11;D4_12;D4_13;D4_14;D4_15;D4_16;D4_17;D4_18;D4_19;D4_20;D4_21;D4_22;D4_23;D5_unveraendert;D5_veraendert;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D5_15;D5_16;D5_17;D5_18;D5_19;D5_20;D5_21;D5_22;D5_23;D5_24;D5_25;D5_26;D5_27;D5_28;D5_29;D5_30;D6_unveraendert;D6_veraendert;D6;D6_1;D6_2;D6_3;D6_4;D6_5;D6_6;D6_7;D6_8;D6_9;D6_10;D6_11;D6_12;D6_13;D6_14;D6_15;D6_16;D6_17;D6_18;D6_19;D6_20;D6_21;D6_22;D6_23;D6_24;D6_25;D6_26;D6_27;D6_28;D6_29;D6_30;Summe_unveraendert;Summe_veraendert
15.03.2020;Wahl des Gemeinderats;09175132;01;Stimmbezirk 01;1;1;621;253;0;874;255;0;3;7046;255;51;64;4120;312;149;132;154;227;151;132;108;125;210;107;134;244;117;152;103;106;100;101;86;85;91;135;77;84;92;163;205;171;67;19;5;1175;66;122;49;32;66;47;27;36;56;40;39;33;39;28;36;30;34;27;30;29;30;33;67;25;21;22;25;25;29;32;4;1;301;31;19;14;9;13;13;6;11;9;5;9;5;5;12;12;5;7;5;14;14;12;8;6;11;8;9;8;6;5;10;5;2;206;19;14;16;0;14;14;15;7;8;7;7;8;7;8;7;7;7;7;7;7;7;7;6;12;10;1033;99;94;52;28;32;59;74;28;39;34;22;25;26;28;34;27;27;26;30;25;32;28;32;22;26;16;20;21;12;15;4;1;211;23;10;10;11;4;7;8;7;6;4;4;5;10;10;4;7;4;4;5;4;8;10;7;4;8;4;7;7;4;5;95;83
15.03.2020;Wahl des Gemeinderats;09175132;02;Stimmbezirk 02;1;1;485;275;0;760;202;0;1;5765;202;22;70;3471;272;120;92;114;185;143;125;78;96;147;89;147;208;104;136;64;72;98;95;63;68;107;176;58;64;51;182;169;104;44;12;8;973;57;79;45;41;49;55;32;32;44;40;31;28;37;24;32;22;28;24;24;29;22;23;40;27;18;17;17;16;24;16;3;2;258;26;21;14;8;6;15;11;5;6;6;6;6;4;14;5;5;4;8;15;14;5;7;4;9;5;7;7;4;4;7;2;0;57;4;4;4;0;4;4;4;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;8;7;760;70;67;40;27;23;41;60;22;28;25;19;17;20;19;24;21;16;22;17;24;17;17;17;20;17;15;14;13;14;14;3;2;246;26;15;17;12;14;8;9;9;9;9;9;6;9;12;9;8;5;5;4;4;6;3;6;7;4;6;3;6;3;3;50;89
15.03.2020;Wahl des Gemeinderats;09175132;03;Stimmbezirk 03;1;1;651;407;0;1058;302;0;3;8224;302;19;67;4034;323;136;97;126;391;143;125;97;111;298;108;120;193;109;130;83;102;78;82;69;57;62;95;65;68;66;155;370;139;36;28;13;1663;82;122;73;57;88;67;55;49;75;74;53;44;66;41;54;45;51;42;44;45;38;39;67;40;38;40;40;39;52;43;9;2;613;73;36;25;25;21;27;29;17;19;16;18;16;14;18;25;18;15;11;18;19;10;14;10;18;30;11;13;13;11;23;2;4;210;23;17;14;0;11;13;19;6;6;6;7;7;7;9;6;6;7;7;7;6;9;7;10;12;11;1351;149;225;37;32;31;70;185;37;47;38;32;32;34;30;34;26;32;28;27;21;24;21;22;23;19;23;25;15;18;14;3;5;353;41;14;40;21;10;16;10;13;10;13;7;7;7;13;7;10;7;10;10;6;6;6;9;9;6;18;6;6;6;9;73;102
15.03.2020;Wahl des Gemeinderats;09175132;04;Stimmbezirk 04;1;1;706;394;0;1100;317;1;7;8784;317;52;41;3446;235;137;123;177;117;155;119;126;133;133;108;119;91;112;101;101;102;159;103;120;91;93;78;91;86;93;78;110;80;75;43;23;2919;167;135;177;155;114;148;95;101;130;132;98;76;114;82;102;72;89;82;87;88;87;67;64;65;82;63;57;58;73;59;8;6;836;74;84;42;57;32;32;36;28;29;22;21;34;23;23;21;19;26;18;18;20;17;22;14;14;34;10;19;9;10;28;3;1;132;11;11;11;0;11;8;11;4;4;4;4;5;4;5;4;4;4;4;4;4;7;4;4;16;7;1134;144;56;82;63;40;69;46;35;43;58;23;26;37;28;28;23;22;26;22;23;27;22;25;23;24;20;21;24;21;33;4;0;317;55;25;17;15;14;11;7;15;13;5;5;14;5;10;5;10;9;4;6;4;7;10;11;4;8;4;7;5;5;7;126;78
15.03.2020;Wahl des Gemeinderats;09175132;05;Stimmbezirk 05;1;1;416;233;0;649;204;0;2;5837;204;29;23;1853;114;75;68;94;64;68;58;79;66;80;76;72;64;54;64;68;63;61;45;54;48;48;42;50;57;52;38;55;41;35;33;21;2174;148;91;112;109;90;105;73;73;84;83;61;56;66;76;68;62;74;62;72;61;57;56;57;57;63;47;53;51;51;56;10;6;597;51;41;29;15;21;29;19;16;25;19;18;21;25;18;15;16;19;16;15;21;14;16;12;13;21;13;12;12;13;22;5;4;253;23;20;20;0;20;20;20;13;10;13;7;7;7;7;7;7;7;7;7;7;7;7;10;11;5;756;93;19;53;27;30;41;27;29;28;30;19;21;19;16;18;20;15;31;15;19;23;21;19;20;21;13;22;20;12;15;3;1;204;41;13;11;14;6;12;5;5;11;5;4;4;4;7;4;5;5;4;4;4;4;7;3;3;3;3;3;3;3;4;91;60
15.03.2020;Wahl des Gemeinderats;09175132;06;Stimmbezirk 06;1;1;465;290;0;755;189;0;3;5059;189;25;15;1458;92;70;59;73;53;61;50;45;52;47;48;55;44;52;56;42;35;83;48;39;40;35;31;37;37;33;34;48;33;26;25;6;1506;108;69;80;90;60;84;48;53;61;48;47;43;42;57;52;36;45;35;37;39;40;37;42;38;43;38;36;36;31;31;10;6;783;78;58;30;28;30;30;31;33;27;25;22;22;22;23;17;18;30;16;26;19;18;36;16;19;22;22;16;15;13;21;1;6;105;10;9;14;0;7;7;11;5;2;6;2;2;2;3;2;3;3;3;2;2;2;2;6;14;5;910;103;43;58;34;32;52;22;32;37;33;18;17;24;22;18;29;19;32;20;19;31;21;16;16;18;25;39;22;15;43;5;2;297;30;17;14;21;16;13;8;7;8;7;7;10;7;9;7;7;7;7;15;7;7;8;7;7;7;7;7;7;7;9;80;40
15.03.2020;Wahl des Gemeinderats;09175132;07;Stimmbezirk 07;1;1;515;335;0;850;215;0;4;6062;215;24;24;1968;117;74;78;74;56;77;73;53;113;63;77;91;53;65;57;55;50;101;58;48;72;53;55;55;61;59;47;64;41;28;30;21;2205;119;99;119;99;83;138;72;69;121;103;69;62;78;64;69;67;62;59;65;64;79;47;53;50;50;50;50;48;50;47;12;3;700;63;61;28;19;22;32;46;19;32;21;23;21;17;17;19;18;17;15;24;19;14;26;14;17;24;14;13;13;13;19;4;1;164;10;14;10;0;11;11;14;5;6;6;6;5;5;9;6;6;5;5;5;5;9;5;6;9;6;778;85;52;60;28;24;62;24;32;26;41;20;14;20;17;15;17;16;25;13;14;18;17;17;16;19;25;23;12;9;17;5;0;247;28;11;11;11;7;8;7;7;8;7;7;7;7;8;7;7;11;7;8;7;7;10;7;7;6;6;6;6;5;6;84;55
15.03.2020;Wahl des Gemeinderats;09175132;08;Stimmbezirk 08;1;1;494;375;0;869;225;0;3;6357;225;32;19;2106;129;76;88;102;67;111;77;52;75;90;64;76;52;91;81;56;58;107;65;63;61;50;44;60;53;60;50;54;57;37;28;15;1879;124;82;119;110;82;107;67;80;83;80;59;53;62;51;57;54;48;43;45;40;44;42;45;45;43;48;39;36;44;47;9;1;526;43;46;16;19;15;21;39;16;16;18;18;17;15;10;12;16;11;10;23;10;10;19;10;25;19;9;10;9;9;15;5;1;259;25;22;22;0;25;15;19;8;8;8;7;7;7;11;8;11;7;7;7;7;11;7;10;17;5;1209;129;58;66;54;40;83;46;32;52;42;30;32;33;28;34;41;27;49;24;38;32;30;24;21;31;28;33;26;20;26;7;1;378;33;19;15;16;21;20;14;16;12;10;12;9;8;15;9;11;8;8;14;8;11;15;9;9;7;7;12;7;7;16;98;42
15.03.2020;Wahl des Gemeinderats;09175132;09;Stimmbezirk 09;1;1;400;314;0;714;211;0;1;6022;211;37;24;2468;152;96;105;121;85;99;92;108;95;102;78;84;64;90;71;83;65;90;93;70;64;76;54;72;57;61;68;76;45;52;32;12;1803;99;87;112;77;70;93;59;57;77;82;55;47;60;43;61;45;49;46;51;47;45;59;44;57;48;39;56;39;49;50;7;4;607;66;57;40;23;34;27;35;18;17;21;16;20;12;13;12;19;14;11;14;11;14;14;14;11;21;13;8;11;11;10;3;1;168;21;13;16;0;15;11;14;7;4;7;5;5;5;7;4;4;5;3;3;3;6;3;7;11;4;657;83;30;32;24;18;38;22;14;20;26;14;14;23;17;31;17;15;16;16;21;19;16;16;13;13;19;20;16;12;22;5;0;319;58;11;23;26;8;12;8;20;11;8;8;7;10;7;9;5;5;5;15;8;5;5;5;5;9;5;5;5;5;6;95;45
15.03.2020;Wahl des Gemeinderats;09175132;10;Stimmbezirk 10;1;1;528;361;0;889;245;0;7;6752;245;37;27;2577;154;113;125;130;93;110;86;108;97;96;114;80;80;84;79;86;71;86;73;88;64;70;59;62;74;73;51;66;53;52;34;6;1872;111;72;107;94;75;111;65;75;81;71;57;49;61;59;65;48;58;44;52;44;54;43;41;46;41;50;51;41;62;44;13;4;743;69;63;32;22;37;37;27;25;31;23;24;21;18;17;18;18;23;18;21;22;22;18;16;21;29;15;15;13;15;13;4;2;203;28;23;14;0;19;12;16;6;6;6;6;6;6;6;5;8;5;5;7;4;4;4;7;13;4;948;117;35;65;51;32;61;30;26;32;24;21;26;27;25;26;24;21;29;17;23;30;16;16;19;16;28;42;23;14;32;6;3;409;50;25;19;19;21;17;14;26;16;11;8;11;8;11;8;14;8;11;12;8;8;14;9;11;13;7;6;7;9;8;107;46
15.03.2020;Wahl des Gemeinderats;09175132;11;Stimmbezirk 11;1;1;347;288;0;635;169;0;3;4662;169;22;22;1657;124;63;61;65;52;82;53;77;52;82;42;55;67;59;53;46;56;66;67;43;38;37;33;47;35;46;36;61;31;28;18;5;1198;86;53;65;58;40;70;35;36;44;58;37;37;37;33;43;22;29;28;27;35;24;30;26;35;28;33;36;28;45;40;10;1;667;63;77;24;21;19;52;48;13;25;16;12;21;13;12;12;15;12;12;22;17;11;32;10;22;17;10;10;10;10;29;2;2;139;13;10;11;0;8;10;8;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;9;4;693;92;33;54;33;18;50;18;27;21;21;19;12;20;21;15;16;15;24;15;15;17;14;10;13;16;16;26;18;9;15;4;2;308;32;13;11;20;12;10;8;10;9;13;11;7;13;11;7;8;10;8;8;8;7;13;10;10;7;7;7;6;6;6;65;36
15.03.2020;Wahl des Gemeinderats;09175132;12;Stimmbezirk 12;1;1;402;286;0;688;196;0;5;5446;196;27;17;1835;113;79;95;107;72;70;84;56;65;74;50;67;60;65;58;58;52;63;51;52;43;44;39;45;49;44;39;61;37;43;17;18;1538;112;83;83;66;64;81;51;48;57;54;58;52;57;40;57;44;58;37;37;45;46;39;33;31;39;32;38;28;40;28;11;3;643;51;62;37;14;26;34;30;18;21;18;23;17;19;12;19;17;16;12;25;14;13;22;12;16;20;16;19;13;11;16;4;1;119;8;13;10;0;8;8;8;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;13;3;944;107;55;89;38;36;67;26;29;32;32;24;18;23;21;29;24;17;35;16;27;22;17;15;28;21;16;29;18;14;19;3;5;367;64;17;14;40;22;14;10;11;9;10;6;9;12;13;6;12;7;6;9;6;7;9;6;6;7;6;9;10;5;5;75;47
15.03.2020;Wahl des Gemeinderats;09175132;13;Stimmbezirk 13;1;1;432;363;0;795;199;0;7;5430;199;29;9;1517;90;50;70;72;39;52;65;51;50;57;43;55;45;53;41;41;56;55;64;41;43;42;34;45;52;53;44;40;34;40;27;7;1565;103;67;82;59;52;86;54;50;78;73;40;46;62;49;65;43;48;40;40;52;47;37;32;36;36;39;36;32;46;35;8;0;468;44;40;18;14;19;19;17;13;14;10;16;13;14;11;10;12;10;10;16;12;9;19;10;15;25;10;14;8;9;17;5;3;260;24;24;29;0;24;18;18;12;12;9;6;6;6;10;6;6;6;6;6;6;10;6;10;9;7;918;101;58;81;35;30;57;25;28;22;34;25;22;29;27;28;26;34;25;22;28;28;20;18;17;15;15;25;19;13;11;13;4;702;60;27;30;34;33;29;26;18;21;21;21;21;25;19;18;24;18;20;21;18;21;18;23;18;24;16;20;17;16;25;91;30
15.03.2020;Wahl des Gemeinderats;09175132;14;Stimmbezirk 14;1;1;365;290;0;655;201;0;1;5765;201;25;26;2002;109;81;97;95;69;82;71;76;67;92;68;75;45;69;80;61;59;71;75;56;51;59;43;48;59;50;47;54;47;46;33;11;1723;85;80;89;73;69;84;60;66;69;70;58;57;55;48;50;48;54;43;44;51;43;61;41;44;46;46;49;46;50;44;6;6;556;59;50;19;18;22;24;24;15;16;9;25;18;9;13;12;20;22;12;25;13;9;17;11;11;26;8;8;11;12;18;1;3;210;19;22;16;0;14;12;15;12;6;7;6;6;8;10;8;5;5;5;5;5;9;4;11;20;4;1035;90;68;75;32;33;51;43;34;42;30;26;25;40;26;27;27;29;30;32;23;23;25;27;24;27;21;27;25;33;20;3;1;239;35;13;9;18;10;16;3;7;9;4;6;11;4;9;3;8;3;6;8;3;11;5;6;4;3;3;8;3;3;8;88;51
15.03.2020;Wahl des Gemeinderats;09175132;15;Stimmbezirk 15;1;1;521;235;0;756;171;1;5;4768;171;23;18;1557;108;52;76;75;47;66;55;53;54;66;42;62;41;47;58;43;48;50;61;38;41;41;39;52;44;47;43;51;28;29;27;7;1310;57;55;61;54;46;49;43;42;47;56;51;49;44;37;45;42;43;39;38;35;38;41;37;39;35;38;37;38;38;36;11;3;620;43;39;24;20;25;37;29;20;16;19;22;14;20;17;13;14;17;16;33;18;12;25;13;22;29;14;12;12;11;14;2;1;113;8;8;6;0;6;6;7;10;3;10;3;3;3;4;3;3;4;4;3;3;5;3;8;15;5;906;82;44;58;37;37;45;29;24;40;35;25;23;30;28;28;28;21;26;29;20;23;21;23;24;23;20;22;26;18;17;5;0;262;25;10;13;16;8;6;6;8;8;7;7;7;7;11;7;6;6;5;13;6;7;8;7;13;7;6;9;7;5;11;83;34
