"datum","kumulativ","aktuell"
2020-12-06,472,100
2020-12-07,475,101
2020-12-08,477,93
2020-12-09,484,85
2020-12-10,516,100
2020-12-13,526,96
2020-12-14,531,95
2020-12-15,541,91
2020-12-16,564,92
2020-12-17,569,91
2020-12-20,584,88
2020-12-21,587,77
2020-12-22,589,72
2020-12-27,611,65
2020-12-28,613,62
2020-12-29,615,60
2020-12-30,623,65
2020-12-31,625,65
2021-01-03,631,47
2021-01-04,632,47
2021-01-05,638,47
2021-01-06,644,52
2021-01-07,647,44
2021-01-10,658,48
2021-01-11,663,47
2021-01-12,673,55
2021-01-13,679,59
2021-01-14,682,57
2021-01-17,698,60
2021-01-18,699,59
2021-01-19,712,67
2021-01-20,727,66
2021-01-21,735,68
2021-01-24,745,68
2021-01-25,745,60
2021-01-26,747,54
2021-01-27,748,54
