schule,schuljahresbeginn,schueler,klassen
Dominik-Brunner-Realschule,2010,92,4
Dominik-Brunner-Realschule,2011,211,8
Dominik-Brunner-Realschule,2012,340,10
Dominik-Brunner-Realschule,2013,468,19
Dominik-Brunner-Realschule,2014,587,23
Dominik-Brunner-Realschule,2015,627,24
Dominik-Brunner-Realschule,2016,624,24
Dominik-Brunner-Realschule,2017,626,24
Dominik-Brunner-Realschule,2018,631,24
Dominik-Brunner-Realschule,2019,654,24
Dominik-Brunner-Realschule,2020,684,24
Dominik-Brunner-Realschule,2021,712,26
Dominik-Brunner-Realschule,2022,730,25
Dominik-Brunner-Realschule,2023,719,27
Dominik-Brunner-Realschule,2024,714,
Dr.-Wintrich-Realschule,2003,918,32
Dr.-Wintrich-Realschule,2004,954,33
Dr.-Wintrich-Realschule,2005,988,33
Dr.-Wintrich-Realschule,2006,966,32
Dr.-Wintrich-Realschule,2007,944,33
Dr.-Wintrich-Realschule,2008,949,34
Dr.-Wintrich-Realschule,2009,917,33
Dr.-Wintrich-Realschule,2010,944,34
Dr.-Wintrich-Realschule,2011,932,35
Dr.-Wintrich-Realschule,2012,968,35
Dr.-Wintrich-Realschule,2013,967,37
Dr.-Wintrich-Realschule,2014,986,38
Dr.-Wintrich-Realschule,2015,974,36
Dr.-Wintrich-Realschule,2016,934,34
Dr.-Wintrich-Realschule,2017,874,34
Dr.-Wintrich-Realschule,2018,849,33
Dr.-Wintrich-Realschule,2019,863,33
Dr.-Wintrich-Realschule,2020,865,33
Dr.-Wintrich-Realschule,2021,860,33
Dr.-Wintrich-Realschule,2022,885,34
Dr.-Wintrich-Realschule,2023,916,36
Dr.-Wintrich-Realschule,2024,917,
Franz-Marc-Gymnasium Markt Schwaben,2003,1159,35
Franz-Marc-Gymnasium Markt Schwaben,2004,1138,34
Franz-Marc-Gymnasium Markt Schwaben,2005,1209,36
Franz-Marc-Gymnasium Markt Schwaben,2006,1246,38
Franz-Marc-Gymnasium Markt Schwaben,2007,1273,38
Franz-Marc-Gymnasium Markt Schwaben,2008,1320,40
Franz-Marc-Gymnasium Markt Schwaben,2009,1327,38
Franz-Marc-Gymnasium Markt Schwaben,2010,1341,38
Franz-Marc-Gymnasium Markt Schwaben,2011,1233,35
Franz-Marc-Gymnasium Markt Schwaben,2012,1247,36
Franz-Marc-Gymnasium Markt Schwaben,2013,1235,33
Franz-Marc-Gymnasium Markt Schwaben,2014,1174,32
Franz-Marc-Gymnasium Markt Schwaben,2015,1149,32
Franz-Marc-Gymnasium Markt Schwaben,2016,1190,33
Franz-Marc-Gymnasium Markt Schwaben,2017,1247,35
Franz-Marc-Gymnasium Markt Schwaben,2018,1249,35
Franz-Marc-Gymnasium Markt Schwaben,2019,1245,35
Franz-Marc-Gymnasium Markt Schwaben,2020,1289,38
Franz-Marc-Gymnasium Markt Schwaben,2021,1347,39
Franz-Marc-Gymnasium Markt Schwaben,2022,1332,38
Franz-Marc-Gymnasium Markt Schwaben,2023,1343,44
Franz-Marc-Gymnasium Markt Schwaben,2024,1267,
Gymnasium Kirchseeon,2008,440,14
Gymnasium Kirchseeon,2009,620,21
Gymnasium Kirchseeon,2010,776,27
Gymnasium Kirchseeon,2011,915,32
Gymnasium Kirchseeon,2012,1050,35
Gymnasium Kirchseeon,2013,1150,34
Gymnasium Kirchseeon,2014,1146,32
Gymnasium Kirchseeon,2015,1171,30
Gymnasium Kirchseeon,2016,1123,30
Gymnasium Kirchseeon,2017,1104,30
Gymnasium Kirchseeon,2018,1082,30
Gymnasium Kirchseeon,2019,1055,30
Gymnasium Kirchseeon,2020,998,31
Gymnasium Kirchseeon,2021,1005,31
Gymnasium Kirchseeon,2022,1006,30
Gymnasium Kirchseeon,2023,992,34
Gymnasium Kirchseeon,2024,1034,
Humboldt-Gymnasium Vaterstetten,2003,1124,33
Humboldt-Gymnasium Vaterstetten,2004,1235,39
Humboldt-Gymnasium Vaterstetten,2005,1302,39
Humboldt-Gymnasium Vaterstetten,2006,1465,44
