schule,wohnort,schuljahresbeginn,schueler
Dominik-Brunner-Realschule,Anzing,2019,86
Dominik-Brunner-Realschule,Anzing,2020,101
Dominik-Brunner-Realschule,Anzing,2021,99
Dominik-Brunner-Realschule,Anzing,2022,103
Dominik-Brunner-Realschule,Anzing,2023,105
Dominik-Brunner-Realschule,Aßling,2022,1
Dominik-Brunner-Realschule,Aßling,2023,1
Dominik-Brunner-Realschule,Ebersberg,2022,1
Dominik-Brunner-Realschule,Forstinning,2019,3
Dominik-Brunner-Realschule,Forstinning,2020,1
Dominik-Brunner-Realschule,Forstinning,2022,1
Dominik-Brunner-Realschule,Forstinning,2023,2
Dominik-Brunner-Realschule,Hohenlinden,2023,1
Dominik-Brunner-Realschule,Kirchseeon,2019,2
Dominik-Brunner-Realschule,Kirchseeon,2020,2
Dominik-Brunner-Realschule,Lindau (Bodensee),2022,1
Dominik-Brunner-Realschule,LK Altötting,2020,1
Dominik-Brunner-Realschule,LK Erding,2019,14
Dominik-Brunner-Realschule,LK Erding,2020,10
Dominik-Brunner-Realschule,LK Erding,2021,8
Dominik-Brunner-Realschule,LK Erding,2022,4
Dominik-Brunner-Realschule,LK Erding,2023,5
Dominik-Brunner-Realschule,LK Mühldorf a.Inn,2019,1
Dominik-Brunner-Realschule,LK Mühldorf a.Inn,2020,1
Dominik-Brunner-Realschule,LK München,2019,15
Dominik-Brunner-Realschule,LK München,2020,16
Dominik-Brunner-Realschule,LK München,2021,12
Dominik-Brunner-Realschule,LK München,2022,5
Dominik-Brunner-Realschule,LK München,2023,5
Dominik-Brunner-Realschule,Markt Schwaben,2019,2
Dominik-Brunner-Realschule,Markt Schwaben,2020,4
Dominik-Brunner-Realschule,Markt Schwaben,2021,3
Dominik-Brunner-Realschule,Markt Schwaben,2022,3
Dominik-Brunner-Realschule,Markt Schwaben,2023,3
Dominik-Brunner-Realschule,Pliening,2019,134
Dominik-Brunner-Realschule,Pliening,2020,135
Dominik-Brunner-Realschule,Pliening,2021,142
Dominik-Brunner-Realschule,Pliening,2022,149
Dominik-Brunner-Realschule,Pliening,2023,131
Dominik-Brunner-Realschule,Poing,2019,384
Dominik-Brunner-Realschule,Poing,2020,397
Dominik-Brunner-Realschule,Poing,2021,425
Dominik-Brunner-Realschule,Poing,2022,443
Dominik-Brunner-Realschule,Poing,2023,445
Dominik-Brunner-Realschule,Stadt München,2019,2
