schule,schuljahresbeginn,schueler
Dominik-Brunner-Realschule,2022,725
Dominik-Brunner-Realschule,2023,747
Dominik-Brunner-Realschule,2024,718
Dominik-Brunner-Realschule,2025,722
Dominik-Brunner-Realschule,2026,734
Dominik-Brunner-Realschule,2027,731
Dominik-Brunner-Realschule,2028,750
Dominik-Brunner-Realschule,2029,781
Dominik-Brunner-Realschule,2030,776
Dominik-Brunner-Realschule,2031,779
Dominik-Brunner-Realschule,2032,781
Dominik-Brunner-Realschule,2033,779
Dominik-Brunner-Realschule,2034,785
Dominik-Brunner-Realschule,2035,790
Dr.-Wintrich-Realschule,2022,857
Dr.-Wintrich-Realschule,2023,859
Dr.-Wintrich-Realschule,2024,922
Dr.-Wintrich-Realschule,2025,942
Dr.-Wintrich-Realschule,2026,965
Dr.-Wintrich-Realschule,2027,1000
Dr.-Wintrich-Realschule,2028,1032
Dr.-Wintrich-Realschule,2029,1063
Dr.-Wintrich-Realschule,2030,1075
Dr.-Wintrich-Realschule,2031,1094
Dr.-Wintrich-Realschule,2032,1112
Dr.-Wintrich-Realschule,2033,1113
Dr.-Wintrich-Realschule,2034,1110
Dr.-Wintrich-Realschule,2035,1103
Franz-Marc-Gymnasium Markt Schwaben,2022,1353
Franz-Marc-Gymnasium Markt Schwaben,2023,1385
Franz-Marc-Gymnasium Markt Schwaben,2024,1395
Franz-Marc-Gymnasium Markt Schwaben,2025,1552
Franz-Marc-Gymnasium Markt Schwaben,2026,1525
Franz-Marc-Gymnasium Markt Schwaben,2027,1539
Franz-Marc-Gymnasium Markt Schwaben,2028,1546
Franz-Marc-Gymnasium Markt Schwaben,2029,1534
Franz-Marc-Gymnasium Markt Schwaben,2030,1535
Franz-Marc-Gymnasium Markt Schwaben,2031,1543
Franz-Marc-Gymnasium Markt Schwaben,2032,1558
Franz-Marc-Gymnasium Markt Schwaben,2033,1568
Franz-Marc-Gymnasium Markt Schwaben,2034,1584
Franz-Marc-Gymnasium Markt Schwaben,2035,1606
Gymnasium Kirchseeon,2022,1006
Gymnasium Kirchseeon,2023,1025
Gymnasium Kirchseeon,2024,1052
Gymnasium Kirchseeon,2025,1183
Gymnasium Kirchseeon,2026,1192
Gymnasium Kirchseeon,2027,1202
Gymnasium Kirchseeon,2028,1217
Gymnasium Kirchseeon,2029,1245
Gymnasium Kirchseeon,2030,1268
Gymnasium Kirchseeon,2031,1287
Gymnasium Kirchseeon,2032,1299
Gymnasium Kirchseeon,2033,1307
Gymnasium Kirchseeon,2034,1316
Gymnasium Kirchseeon,2035,1322
Humboldt-Gymnasium Vaterstetten,2022,1637
Humboldt-Gymnasium Vaterstetten,2023,1645
Humboldt-Gymnasium Vaterstetten,2024,1671
Humboldt-Gymnasium Vaterstetten,2025,1883
Humboldt-Gymnasium Vaterstetten,2026,1917
Humboldt-Gymnasium Vaterstetten,2027,1948
Humboldt-Gymnasium Vaterstetten,2028,1950
Humboldt-Gymnasium Vaterstetten,2029,1982
Humboldt-Gymnasium Vaterstetten,2030,2013
Humboldt-Gymnasium Vaterstetten,2031,2043
Humboldt-Gymnasium Vaterstetten,2032,2069
Humboldt-Gymnasium Vaterstetten,2033,2095
Humboldt-Gymnasium Vaterstetten,2034,2122
Humboldt-Gymnasium Vaterstetten,2035,2146
Lena-Christ-Realschule,2022,473
Lena-Christ-Realschule,2023,461
Lena-Christ-Realschule,2024,508
Lena-Christ-Realschule,2025,524
Lena-Christ-Realschule,2026,539
Lena-Christ-Realschule,2027,548
Lena-Christ-Realschule,2028,541
Lena-Christ-Realschule,2029,545
Lena-Christ-Realschule,2030,535
Lena-Christ-Realschule,2031,529
Lena-Christ-Realschule,2032,531
Lena-Christ-Realschule,2033,533
Lena-Christ-Realschule,2034,540
Lena-Christ-Realschule,2035,549
Max-Mannheimer-Gymnasium,2022,1042
Max-Mannheimer-Gymnasium,2023,1070
Max-Mannheimer-Gymnasium,2024,1130
Max-Mannheimer-Gymnasium,2025,1282
Max-Mannheimer-Gymnasium,2026,1322
Max-Mannheimer-Gymnasium,2027,1365
Max-Mannheimer-Gymnasium,2028,1408
Max-Mannheimer-Gymnasium,2029,1432
Max-Mannheimer-Gymnasium,2030,1463
Max-Mannheimer-Gymnasium,2031,1499
Max-Mannheimer-Gymnasium,2032,1532
Max-Mannheimer-Gymnasium,2033,1543
Max-Mannheimer-Gymnasium,2034,1562
Max-Mannheimer-Gymnasium,2035,1579
Staatliche Realschule Vaterstetten,2022,1099
Staatliche Realschule Vaterstetten,2023,1073
Staatliche Realschule Vaterstetten,2024,1027
Staatliche Realschule Vaterstetten,2025,1033
Staatliche Realschule Vaterstetten,2026,1014
Staatliche Realschule Vaterstetten,2027,995
Staatliche Realschule Vaterstetten,2028,1025
Staatliche Realschule Vaterstetten,2029,1023
Staatliche Realschule Vaterstetten,2030,1029
Staatliche Realschule Vaterstetten,2031,1033
Staatliche Realschule Vaterstetten,2032,1036
Staatliche Realschule Vaterstetten,2033,1037
Staatliche Realschule Vaterstetten,2034,1035
Staatliche Realschule Vaterstetten,2035,1028
