schuljahresbeginn,schulleiter,schuelerSchuljahresbeginn,zugaenge,abgaenge,schuelerSchuljahresende,schuelerMaennlich,schuelerWeiblich,klassen,kommentar
1980,Maximilian Schmidt,,,,,,,,
1981,Maximilian Schmidt,,,,,,,,
1982,Maximilian Schmidt,,,,,,,,
1983,Maximilian Schmidt,,,,,,,,
1984,Maximilian Schmidt,,,,,,,,
1985,Maximilian Schmidt,,,,,,,,
1986,Maximilian Schmidt,,,,,,,,
1987,Maximilian Schmidt,,,,,,,,
1988,Maximilian Schmidt,,,,,,,,
1989,Maximilian Schmidt,,,,,,,,
1990,Maximilian Schmidt,,,,,,,,
1991,Maximilian Schmidt,,,,,,,,
1992,Maximilian Schmidt,,,,,,,,
1993,Maximilian Schmidt,,,,,,,,
1994,Maximilian Schmidt,,,,,,,,
1995,Maximilian Schmidt,,,,,,,,
1996,Maximilian Schmidt,,,,,,,,
1997,,,,,,,,,
1998,,,,,,,,,
1999,,,,,,,,,
2000,,,,,,,,,
2001,,,,,,,,,
2002,,,,,,,,,
2003,,,,,,,,,
2004,,,,,,,,,
2005,,,,,,,,,
2006,,,,,,,,,
2007,,,,,,,,,
2008,,,,,,,,,
2009,,,,,,,,,
2010,,,,,,,,,Gründung Realschule Poing
2011,,,,,,,,,
2012,Anita Ruppelt,,,,,,,,
2013,Anita Ruppelt,,,,,,,,
2014,Anita Ruppelt,,,,,,,,
2015,Anita Ruppelt,,,,,,,,
2016,Anita Ruppelt,,,,,,,,
2017,Anita Ruppelt,,,,,,,,
2018,Anita Ruppelt,,,,,,,,
2019,Anita Ruppelt,,,,,,,,
2020,Anita Ruppelt,,,,,,,,
2021,Stefan Gasior,,,,,,,,
2022,Stefan Gasior,,,,,,,,
2023,Stefan Gasior,,,,,,,,
