Name,NamensherkunftWikidata,Postleitzahl,OSMWayIDs,Geometry
Ackerweg,Q188869,85622,22295846/965030351/965030352,"MULTILINESTRING ((11.7682304 48.1328716, 11.7676219 48.133162, 11.7675344 48.1332044, 11.7669981 48.1334653), (11.7685433 48.1327223, 11.7682304 48.1328716), (11.7669981 48.1334653, 11.7667967 48.1336204))"
Adolf-Lehne-Weg,Q115461904,85598,4684824,"MULTILINESTRING ((11.790729 48.0974083, 11.7911322 48.0974093, 11.7914215 48.0974005, 11.7914983 48.097378, 11.7915382 48.097339, 11.7915498 48.0972797, 11.7915337 48.0971556, 11.7915547 48.0970502, 11.7915909 48.0970085, 11.7916377 48.0969797, 11.7925389 48.0969544))"
Ahornweg,Q42292,85591/85598,4642056,"MULTILINESTRING ((11.7790891 48.0997656, 11.7790553 48.0996852, 11.77898 48.0994045, 11.7789602 48.099142, 11.7789682 48.0987382))"
Akazienweg,Q81666,85598,24964581,"MULTILINESTRING ((11.7990554 48.0975003, 11.7992261 48.0982476))"
Allauchplatz,Q269862,85598,233904518,"MULTILINESTRING ((11.7916268 48.0967863, 11.7913275 48.0967731, 11.7912738 48.0967856, 11.7909969 48.0968149, 11.7908709 48.0968227, 11.7907379 48.0968567))"
Alpenrosenstraße,Q102088,85591/85598,174784031/1120714857/1120714858/1120714859,"MULTILINESTRING ((11.7804699 48.0939076, 11.7806283 48.0941151, 11.780737 48.0942349, 11.7807839 48.0942791), (11.7802266 48.0935692, 11.7804699 48.0939076), (11.7799077 48.0931563, 11.779994 48.093268, 11.7802266 48.0935692), (11.7807839 48.0942791, 11.7808548 48.0942954, 11.7809776 48.0942682, 11.7813797 48.094074))"
Alpspitzstraße,,85591,23762873/976554620,"MULTILINESTRING ((11.7674645 48.1041115, 11.7674903 48.104141, 11.7679676 48.1047066, 11.7680452 48.1047985, 11.7682766 48.1050716), (11.7682766 48.1050716, 11.7688016 48.1056914))"
Alte Poststraße,Q35054,85591/85598,144830768/171050644/228949407/228949408,"MULTILINESTRING ((11.7790891 48.0997656, 11.7787203 48.0998612, 11.7786657 48.0998753, 11.778234 48.0999788, 11.7779698 48.1000429, 11.7776883 48.1001112, 11.7773862 48.1001844, 11.7766669 48.1003589, 11.776476 48.1004052, 11.7759171 48.1005292, 11.7752523 48.1006894, 11.7749861 48.1007516, 11.7749148 48.1007683, 11.7744459 48.1008947, 11.7738631 48.1010505), (11.7832947 48.0986436, 11.7831253 48.0986426, 11.7828649 48.0986506, 11.7825222 48.0986952, 11.7820501 48.0987754, 11.7817087 48.0989275, 11.7813998 48.0990651, 11.7811441 48.0991737, 11.7808225 48.099291, 11.7802716 48.0994534, 11.7801922 48.0994737, 11.7798256 48.0995677, 11.7791209 48.0997571, 11.7790891 48.0997656), (11.7859629 48.0978082, 11.7857123 48.0978612, 11.7856239 48.0978837, 11.7855534 48.0979016, 11.7854074 48.0980285, 11.7850627 48.0983449, 11.7849574 48.098419, 11.7848025 48.0985264, 11.784701 48.098571, 11.7845827 48.098605, 11.7844389 48.0986154, 11.7840532 48.0986272, 11.7832947 48.0986436), (11.7863429 48.0977267, 11.7862823 48.0977405, 11.7859629 48.0978082))"
Am Anger,Q57743,85598,4616159/23778226/23778227/24964663,"MULTILINESTRING ((11.794485 48.1129202, 11.7964468 48.1132163), (11.7964468 48.1132163, 11.7966965 48.112687), (11.7966965 48.112687, 11.7972844 48.112855, 11.7973292 48.1128996, 11.7973248 48.1129793, 11.7970897 48.1134903, 11.7969596 48.1137731, 11.7967785 48.1141666, 11.7966457 48.1146213), (11.7962125 48.1137262, 11.7964468 48.1132163))"
Am Anger,Q57743,85646,23778208,"MULTILINESTRING ((11.8321685 48.1282115, 11.8320568 48.128405, 11.832089 48.12849, 11.8320429 48.1285745, 11.8316674 48.1290057))"
Am Brunnen,,85598,171050646/171050648/1065946911/1065946912,"MULTILINESTRING ((11.7928659 48.1022187, 11.7933372 48.1020437), (11.7935061 48.1022253, 11.7931818 48.1023703, 11.7930761 48.1024274), (11.7939768 48.1020148, 11.7935061 48.1022253), (11.7933372 48.1020437, 11.793847 48.1018544))"
Am Gewerbepark,,85599,831337199/831337200/831337204/831337205,"MULTILINESTRING ((11.7847557 48.1580452, 11.7845951 48.158021, 11.7843422 48.1579611, 11.7824779 48.1574536, 11.7790054 48.1565082, 11.7787224 48.1564339, 11.7781868 48.1562877, 11.7773231 48.1560361, 11.7769625 48.1559444, 11.7767087 48.1558717, 11.7764961 48.1558026, 11.7763523 48.1557462, 11.7760879 48.1556008), (11.7741609 48.1538643, 11.7743087 48.1541936, 11.7745436 48.1544661, 11.7752948 48.1550847, 11.7760879 48.1556008), (11.7741609 48.1538643, 11.7740298 48.1537126, 11.7739859 48.153661), (11.7742228 48.1536308, 11.7742019 48.153701, 11.7741609 48.1538643))"
Am Haselweg,Q145889,85599,4046883,"MULTILINESTRING ((11.7922422 48.1423569, 11.7924383 48.1426329, 11.7926097 48.1430097, 11.7926441 48.1432604, 11.7926266 48.143462, 11.7925352 48.1436653, 11.7923886 48.1438314, 11.7922812 48.1439334, 11.7921106 48.1440742, 11.7919514 48.1442302, 11.7919211 48.1442462, 11.7918857 48.1442521))"
Am Hollerbusch,Q22701,85599,22341639,"MULTILINESTRING ((11.7909767 48.1437272, 11.7912595 48.1434997, 11.791374 48.1434233, 11.7914603 48.1433845, 11.7915898 48.1433424, 11.7917409 48.1433114, 11.7918738 48.1432926, 11.7920547 48.1432782, 11.7923137 48.1432682, 11.7926441 48.1432604))"
