Stimmbezirk,StimmbezirkArt,StimmbezirkAggregiert
Gesamt,NA,Gesamt
Stimmbezirk 1,Wahllokal,Stimmbezirke 1/2/31
Stimmbezirk 2,Wahllokal,Stimmbezirke 1/2/31
Stimmbezirk 3,Wahllokal,Stimmbezirke 3/32
Stimmbezirk 4,Wahllokal,Stimmbezirke 4/33
Stimmbezirk 5,Wahllokal,Stimmbezirke 5/34
Stimmbezirk 6,Wahllokal,Stimmbezirke 6/35
Stimmbezirk 7,Wahllokal,Stimmbezirke 7/36
Stimmbezirk 8,Wahllokal,Stimmbezirke 8/37
Stimmbezirk 9,Wahllokal,Stimmbezirke 9/38
Stimmbezirk 10,Wahllokal,Stimmbezirke 10/39
Stimmbezirk 11,Wahllokal,Stimmbezirke 11/40
Stimmbezirk 12,Wahllokal,Stimmbezirke 12/41
Stimmbezirk 13,Wahllokal,Stimmbezirke 13/42
Stimmbezirk 14,Wahllokal,Stimmbezirke 14/43
Stimmbezirk 31,Briefwahl,Stimmbezirke 1/2/31
Stimmbezirk 32,Briefwahl,Stimmbezirke 3/32
Stimmbezirk 33,Briefwahl,Stimmbezirke 4/33
Stimmbezirk 34,Briefwahl,Stimmbezirke 5/34
Stimmbezirk 35,Briefwahl,Stimmbezirke 6/35
Stimmbezirk 36,Briefwahl,Stimmbezirke 7/36
Stimmbezirk 37,Briefwahl,Stimmbezirke 8/37
Stimmbezirk 38,Briefwahl,Stimmbezirke 9/38
Stimmbezirk 39,Briefwahl,Stimmbezirke 10/39
Stimmbezirk 40,Briefwahl,Stimmbezirke 11/40
Stimmbezirk 41,Briefwahl,Stimmbezirke 12/41
Stimmbezirk 42,Briefwahl,Stimmbezirke 13/42
Stimmbezirk 43,Briefwahl,Stimmbezirke 14/43
