ParteiNr,ParteiKuerzel,ParteiName,ParteiFarbe
1,"CSU","Christlich-Soziale Union in Bayern e.V.",#000000
2,"SPD","Sozialdemokratische Partei Deutschlands",#ff0000
3,"Grüne","BÜNDNIS 90/DIE GRÜNEN",#00a13f
4,"FDP","Freie Demokratische Partei",#ffe94c
5,"AfD","Alternative für Deutschland",#1e90ff
6,"FW","FREIE WÄHLER",#f29204
7,"Die Linke","Die Linke",#8b0000
8,"dieBasis","Basisdemokratische Partei Deutschland",#66cdaa
9,"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ",#228b22
10,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",#a91d20
11,"ÖDP","Ökologisch-Demokratische Partei",#ffa338
12,"BP","Bayernpartei",#003399
13,"Volt","Volt Deutschland",#502379
14,"PdH","Partei der Humanisten",#ee30a7
15,"MLPD","Marxistisch-Leninistische Partei Deutschlands",#ff0000
16,"Bündnis Deutschland","Bündnis Deutschland",#e72d71
17,"BSW","Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",#a11e4a
18,"Einzelbewerber","Einzelbewerber",#333333
