Stimmbezirk,Wahlberechtigte,Waehler,UngueltigeStimmen,GueltigeStimmen
Gesamt,17421,15445,26,15419
Stimmbezirk 1,1480,625,3,622
Stimmbezirk 2,938,406,1,405
Stimmbezirk 3,1096,483,0,483
Stimmbezirk 4,1068,428,1,427
Stimmbezirk 5,1116,342,0,342
Stimmbezirk 6,1331,520,2,518
Stimmbezirk 7,1245,504,1,503
Stimmbezirk 8,1336,489,1,488
Stimmbezirk 9,1160,471,0,471
Stimmbezirk 10,957,379,1,378
Stimmbezirk 11,1047,412,2,410
Stimmbezirk 12,1059,404,0,404
Stimmbezirk 13,1191,473,0,473
Stimmbezirk 14,1030,390,3,387
Stimmbezirk 15,1367,603,2,601
Stimmbezirk 31,0,661,0,661
Stimmbezirk 32,0,438,3,435
Stimmbezirk 33,0,517,0,517
Stimmbezirk 34,0,538,0,538
Stimmbezirk 35,0,558,1,557
Stimmbezirk 36,0,653,0,653
Stimmbezirk 37,0,607,0,607
Stimmbezirk 38,0,686,1,685
Stimmbezirk 39,0,592,0,592
Stimmbezirk 40,0,473,0,473
Stimmbezirk 41,0,514,1,513
Stimmbezirk 42,0,556,0,556
Stimmbezirk 43,0,603,1,602
Stimmbezirk 44,0,516,2,514
Stimmbezirk 45,0,604,0,604
