Stimmbezirk,ParteiKuerzel,Stimmen
Gesamt,CSU,6457
Gesamt,SPD,1761
Gesamt,Grüne,2662
Gesamt,FDP,1120
Gesamt,AfD,1689
Gesamt,FW,294
Gesamt,Die Linke,689
Gesamt,dieBasis,49
Gesamt,Tierschutzpartei,122
Gesamt,Die PARTEI,42
Gesamt,ÖDP,62
Gesamt,BP,16
Gesamt,Volt,114
Gesamt,PdH,4
Gesamt,MLPD,0
Gesamt,Bündnis Deutschland,9
Gesamt,BSW,329
Stimmbezirk 1,CSU,275
Stimmbezirk 1,SPD,44
Stimmbezirk 1,Grüne,63
Stimmbezirk 1,FDP,26
Stimmbezirk 1,AfD,129
Stimmbezirk 1,FW,18
Stimmbezirk 1,Die Linke,30
Stimmbezirk 1,dieBasis,3
Stimmbezirk 1,Tierschutzpartei,4
Stimmbezirk 1,Die PARTEI,4
Stimmbezirk 1,ÖDP,8
Stimmbezirk 1,BP,0
Stimmbezirk 1,Volt,3
Stimmbezirk 1,PdH,0
Stimmbezirk 1,MLPD,0
Stimmbezirk 1,Bündnis Deutschland,0
Stimmbezirk 1,BSW,15
Stimmbezirk 2,CSU,177
Stimmbezirk 2,SPD,33
Stimmbezirk 2,Grüne,47
Stimmbezirk 2,FDP,24
Stimmbezirk 2,AfD,81
Stimmbezirk 2,FW,8
Stimmbezirk 2,Die Linke,17
Stimmbezirk 2,dieBasis,3
Stimmbezirk 2,Tierschutzpartei,3
Stimmbezirk 2,Die PARTEI,0
Stimmbezirk 2,ÖDP,1
Stimmbezirk 2,BP,0
Stimmbezirk 2,Volt,1
Stimmbezirk 2,PdH,0
Stimmbezirk 2,MLPD,0
Stimmbezirk 2,Bündnis Deutschland,0
Stimmbezirk 2,BSW,10
Stimmbezirk 3,CSU,166
Stimmbezirk 3,SPD,65
Stimmbezirk 3,Grüne,87
Stimmbezirk 3,FDP,49
Stimmbezirk 3,AfD,52
Stimmbezirk 3,FW,6
Stimmbezirk 3,Die Linke,36
Stimmbezirk 3,dieBasis,0
Stimmbezirk 3,Tierschutzpartei,3
Stimmbezirk 3,Die PARTEI,0
Stimmbezirk 3,ÖDP,4
Stimmbezirk 3,BP,1
Stimmbezirk 3,Volt,2
Stimmbezirk 3,PdH,0
Stimmbezirk 3,MLPD,0
Stimmbezirk 3,Bündnis Deutschland,0
Stimmbezirk 3,BSW,12
Stimmbezirk 4,CSU,138
Stimmbezirk 4,SPD,62
Stimmbezirk 4,Grüne,89
Stimmbezirk 4,FDP,19
Stimmbezirk 4,AfD,68
Stimmbezirk 4,FW,5
Stimmbezirk 4,Die Linke,25
Stimmbezirk 4,dieBasis,4
Stimmbezirk 4,Tierschutzpartei,1
Stimmbezirk 4,Die PARTEI,1
Stimmbezirk 4,ÖDP,1
Stimmbezirk 4,BP,0
Stimmbezirk 4,Volt,1
Stimmbezirk 4,PdH,1
Stimmbezirk 4,MLPD,0
Stimmbezirk 4,Bündnis Deutschland,0
Stimmbezirk 4,BSW,12
Stimmbezirk 5,CSU,123
Stimmbezirk 5,SPD,39
Stimmbezirk 5,Grüne,64
Stimmbezirk 5,FDP,22
Stimmbezirk 5,AfD,60
Stimmbezirk 5,FW,4
Stimmbezirk 5,Die Linke,11
Stimmbezirk 5,dieBasis,0
Stimmbezirk 5,Tierschutzpartei,5
Stimmbezirk 5,Die PARTEI,2
Stimmbezirk 5,ÖDP,1
Stimmbezirk 5,BP,0
Stimmbezirk 5,Volt,2
Stimmbezirk 5,PdH,0
Stimmbezirk 5,MLPD,0
Stimmbezirk 5,Bündnis Deutschland,0
Stimmbezirk 5,BSW,9
Stimmbezirk 6,CSU,216
Stimmbezirk 6,SPD,54
