Stimmbezirk,ParteiKuerzel,Stimmen
Gesamt,CSU,5522
Gesamt,Grüne,2189
Gesamt,SPD,1164
Gesamt,AfD,986
Gesamt,FW,527
Gesamt,FDP,926
Gesamt,ÖDP,249
Gesamt,Die Linke,132
Gesamt,Die PARTEI,183
Gesamt,Tierschutzpartei,159
Gesamt,Volt,412
Gesamt,Piraten,38
Gesamt,Familie,50
Gesamt,MERA25,21
Gesamt,Tierschutz hier!,27
Gesamt,PdH,33
Gesamt,Heimat,7
Gesamt,Bündnis C,11
Gesamt,Verjüngungsforschung,6
Gesamt,BIG,2
Gesamt,Menschliche Welt,14
Gesamt,DKP,1
Gesamt,MLPD,0
Gesamt,SGP,0
Gesamt,ABG,4
Gesamt,dieBasis,41
Gesamt,Bündnis Deutschland,51
Gesamt,BSW,368
Gesamt,DAVA,9
Gesamt,Klimaliste,7
Gesamt,Letzte Generation,24
Gesamt,PDV,6
Gesamt,PdF,86
Gesamt,V-Partei³,15
Stimmbezirk 1,CSU,211
Stimmbezirk 1,Grüne,62
Stimmbezirk 1,SPD,33
Stimmbezirk 1,AfD,69
Stimmbezirk 1,FW,34
Stimmbezirk 1,FDP,21
Stimmbezirk 1,ÖDP,7
Stimmbezirk 1,Die Linke,6
Stimmbezirk 1,Die PARTEI,10
Stimmbezirk 1,Tierschutzpartei,4
Stimmbezirk 1,Volt,5
Stimmbezirk 1,Piraten,0
Stimmbezirk 1,Familie,0
Stimmbezirk 1,MERA25,0
Stimmbezirk 1,Tierschutz hier!,2
Stimmbezirk 1,PdH,2
Stimmbezirk 1,Heimat,0
Stimmbezirk 1,Bündnis C,0
Stimmbezirk 1,Verjüngungsforschung,0
Stimmbezirk 1,BIG,0
Stimmbezirk 1,Menschliche Welt,1
Stimmbezirk 1,DKP,0
Stimmbezirk 1,MLPD,0
Stimmbezirk 1,SGP,0
Stimmbezirk 1,ABG,1
Stimmbezirk 1,dieBasis,3
Stimmbezirk 1,Bündnis Deutschland,8
Stimmbezirk 1,BSW,18
Stimmbezirk 1,DAVA,0
Stimmbezirk 1,Klimaliste,0
Stimmbezirk 1,Letzte Generation,0
Stimmbezirk 1,PDV,0
Stimmbezirk 1,PdF,3
Stimmbezirk 1,V-Partei³,0
Stimmbezirk 2,CSU,162
Stimmbezirk 2,Grüne,36
Stimmbezirk 2,SPD,16
Stimmbezirk 2,AfD,33
Stimmbezirk 2,FW,9
Stimmbezirk 2,FDP,12
Stimmbezirk 2,ÖDP,6
Stimmbezirk 2,Die Linke,0
Stimmbezirk 2,Die PARTEI,2
Stimmbezirk 2,Tierschutzpartei,2
Stimmbezirk 2,Volt,6
Stimmbezirk 2,Piraten,5
Stimmbezirk 2,Familie,4
Stimmbezirk 2,MERA25,3
Stimmbezirk 2,Tierschutz hier!,0
Stimmbezirk 2,PdH,0
Stimmbezirk 2,Heimat,0
Stimmbezirk 2,Bündnis C,0
Stimmbezirk 2,Verjüngungsforschung,0
Stimmbezirk 2,BIG,0
Stimmbezirk 2,Menschliche Welt,0
Stimmbezirk 2,DKP,0
Stimmbezirk 2,MLPD,0
Stimmbezirk 2,SGP,0
Stimmbezirk 2,ABG,0
Stimmbezirk 2,dieBasis,0
Stimmbezirk 2,Bündnis Deutschland,3
Stimmbezirk 2,BSW,12
Stimmbezirk 2,DAVA,0
Stimmbezirk 2,Klimaliste,0
Stimmbezirk 2,Letzte Generation,1
Stimmbezirk 2,PDV,2
Stimmbezirk 2,PdF,3
Stimmbezirk 2,V-Partei³,0
Stimmbezirk 3,CSU,170
Stimmbezirk 3,Grüne,73
Stimmbezirk 3,SPD,44
Stimmbezirk 3,AfD,41
Stimmbezirk 3,FW,12
Stimmbezirk 3,FDP,28
Stimmbezirk 3,ÖDP,4
Stimmbezirk 3,Die Linke,8
Stimmbezirk 3,Die PARTEI,5
Stimmbezirk 3,Tierschutzpartei,3
Stimmbezirk 3,Volt,15
Stimmbezirk 3,Piraten,1
Stimmbezirk 3,Familie,1
Stimmbezirk 3,MERA25,0
Stimmbezirk 3,Tierschutz hier!,1
Stimmbezirk 3,PdH,3
Stimmbezirk 3,Heimat,0
Stimmbezirk 3,Bündnis C,0
Stimmbezirk 3,Verjüngungsforschung,0
Stimmbezirk 3,BIG,0
Stimmbezirk 3,Menschliche Welt,0
Stimmbezirk 3,DKP,0
Stimmbezirk 3,MLPD,0
Stimmbezirk 3,SGP,0
Stimmbezirk 3,ABG,0
Stimmbezirk 3,dieBasis,1
Stimmbezirk 3,Bündnis Deutschland,2
Stimmbezirk 3,BSW,13
Stimmbezirk 3,DAVA,0
Stimmbezirk 3,Klimaliste,1
Stimmbezirk 3,Letzte Generation,3
Stimmbezirk 3,PDV,0
Stimmbezirk 3,PdF,2
Stimmbezirk 3,V-Partei³,0
Stimmbezirk 4,CSU,101
Stimmbezirk 4,Grüne,75
Stimmbezirk 4,SPD,35
Stimmbezirk 4,AfD,32
Stimmbezirk 4,FW,10
Stimmbezirk 4,FDP,29
Stimmbezirk 4,ÖDP,5
Stimmbezirk 4,Die Linke,4
Stimmbezirk 4,Die PARTEI,8
Stimmbezirk 4,Tierschutzpartei,4
Stimmbezirk 4,Volt,20
Stimmbezirk 4,Piraten,2
Stimmbezirk 4,Familie,1
Stimmbezirk 4,MERA25,2
Stimmbezirk 4,Tierschutz hier!,0
Stimmbezirk 4,PdH,1
Stimmbezirk 4,Heimat,0
Stimmbezirk 4,Bündnis C,2
Stimmbezirk 4,Verjüngungsforschung,0
Stimmbezirk 4,BIG,0
Stimmbezirk 4,Menschliche Welt,0
Stimmbezirk 4,DKP,0
Stimmbezirk 4,MLPD,0
Stimmbezirk 4,SGP,0
Stimmbezirk 4,ABG,0
Stimmbezirk 4,dieBasis,1
Stimmbezirk 4,Bündnis Deutschland,0
Stimmbezirk 4,BSW,12
Stimmbezirk 4,DAVA,0
Stimmbezirk 4,Klimaliste,1
Stimmbezirk 4,Letzte Generation,1
Stimmbezirk 4,PDV,0
Stimmbezirk 4,PdF,1
Stimmbezirk 4,V-Partei³,0
Stimmbezirk 5,CSU,101
Stimmbezirk 5,Grüne,52
Stimmbezirk 5,SPD,22
Stimmbezirk 5,AfD,38
Stimmbezirk 5,FW,3
Stimmbezirk 5,FDP,20
Stimmbezirk 5,ÖDP,2
Stimmbezirk 5,Die Linke,3
Stimmbezirk 5,Die PARTEI,11
Stimmbezirk 5,Tierschutzpartei,7
Stimmbezirk 5,Volt,13
Stimmbezirk 5,Piraten,0
Stimmbezirk 5,Familie,3
Stimmbezirk 5,MERA25,0
Stimmbezirk 5,Tierschutz hier!,0
Stimmbezirk 5,PdH,0
Stimmbezirk 5,Heimat,1
Stimmbezirk 5,Bündnis C,1
Stimmbezirk 5,Verjüngungsforschung,1
Stimmbezirk 5,BIG,0
Stimmbezirk 5,Menschliche Welt,0
Stimmbezirk 5,DKP,0
Stimmbezirk 5,MLPD,0
Stimmbezirk 5,SGP,0
Stimmbezirk 5,ABG,0
Stimmbezirk 5,dieBasis,2
Stimmbezirk 5,Bündnis Deutschland,4
Stimmbezirk 5,BSW,16
Stimmbezirk 5,DAVA,0
Stimmbezirk 5,Klimaliste,0
Stimmbezirk 5,Letzte Generation,0
Stimmbezirk 5,PDV,0
