ParteiNr,ParteiKuerzel,ParteiName,ParteiFarbe
1,"CSU","Christlich-Soziale Union in Bayern e.V.",#000000
2,"Grüne","BÜNDNIS 90/DIE GRÜNEN",#00a13f
3,"SPD","Sozialdemokratische Partei Deutschlands",#ff0000
4,"AfD","Alternative für Deutschland",#1e90ff
5,"FW","FREIE WÄHLER",#f29204
6,"FDP","Freie Demokratische Partei",#ffe94c
7,"ÖDP","Ökologisch-Demokratische Partei",#ffa338
8,"Die Linke","Die Linke",#8b0000
9,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",#a91d20
10,"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ",#228b22
11,"Volt","Volt Deutschland",#502379
12,"Piraten","Piratenpartei Deutschland",#ff8800
13,"Familie","Familien-Partei Deutschlands",#00ccff
14,"MERA25","MERA25 – Gemeinsam für Europäische Unabhängigkeit",#e5141e
15,"Tierschutz hier!","Aktion Partei für Tierschutz",#a2cd5a
16,"PdH","Partei der Humanisten",#da2f82
17,"Heimat","Die Heimat",#8b4726
18,"Bündnis C","Bündnis C - Christen für Deutschland",#646464
19,"Verjüngungsforschung","Partei für schulmedizinische Verjüngungsforschung",#83db89
20,"BIG","Bündnis für Innovation & Gerechtigkeit",#cd853f
21,"Menschliche Welt","Menschliche Welt, für das Wohl und Glücklichsein aller",#ffb073
22,"DKP","Deutsche Kommunistische Partei",#ff0000
23,"MLPD","Marxistisch-Leninistische Partei Deutschlands",#ff0000
24,"SGP","Sozialistische Gleichheitspartei, Vierte Internationale",#ee4000
25,"ABG","Aktion Bürger für Gerechtigkeit",#7f34a2
26,"dieBasis","Basisdemokratische Partei Deutschland",#66cdaa
27,"Bündnis Deutschland","Bündnis Deutschland",#e72d71
28,"BSW","Bündnis Sahra Wagenknecht - Vernunft und Gerechtigkeit",#a11e4a
29,"DAVA","Demokratische Allianz für Vielfalt und Aufbruch",#059092
30,"Klimaliste","Klimaliste Deutschland",#bddc0a
31,"Letzte Generation","Parlament aufmischen – Stimme der Letzten Generation",#f5da8e
32,"PDV","Partei der Vernunft",#0346ab
33,"PdF","Partei des Fortschritts",#f5a419
34,"V-Partei³","V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",#9acd32
