stimmbezirk,stimmbezirkNr,partei,stimmen,stimmzettelNurListenkreuz,stimmzettelNurEineListe
Gesamt,NA,CSU,139056,1454,3071
Gesamt,NA,Grüne,82454,1214,1666
Gesamt,NA,FW,37591,436,606
Gesamt,NA,AfD,7692,143,219
Gesamt,NA,SPD,51695,514,804
Gesamt,NA,FDP,20668,246,337
Stimmbezirk 01,1,CSU,4120,51,115
Stimmbezirk 01,1,Grüne,1175,19,24
Stimmbezirk 01,1,FW,301,4,5
Stimmbezirk 01,1,AfD,206,5,7
Stimmbezirk 01,1,SPD,1033,12,22
Stimmbezirk 01,1,FDP,211,4,5
Stimmbezirk 02,2,CSU,3471,22,92
Stimmbezirk 02,2,Grüne,973,12,20
Stimmbezirk 02,2,FW,258,3,5
Stimmbezirk 02,2,AfD,57,2,2
Stimmbezirk 02,2,SPD,760,8,15
Stimmbezirk 02,2,FDP,246,3,5
Stimmbezirk 03,3,CSU,4034,19,86
Stimmbezirk 03,3,Grüne,1663,28,41
Stimmbezirk 03,3,FW,613,9,11
Stimmbezirk 03,3,AfD,210,2,6
Stimmbezirk 03,3,SPD,1351,12,23
Stimmbezirk 03,3,FDP,353,3,8
Stimmbezirk 04,4,CSU,3446,52,93
Stimmbezirk 04,4,Grüne,2919,43,66
Stimmbezirk 04,4,FW,836,8,14
Stimmbezirk 04,4,AfD,132,3,4
Stimmbezirk 04,4,SPD,1134,16,23
Stimmbezirk 04,4,FDP,317,4,4
Stimmbezirk 05,5,CSU,1853,29,52
Stimmbezirk 05,5,Grüne,2174,33,54
Stimmbezirk 05,5,FW,597,10,16
Stimmbezirk 05,5,AfD,253,5,9
Stimmbezirk 05,5,SPD,756,11,16
Stimmbezirk 05,5,FDP,204,3,4
Stimmbezirk 06,6,CSU,1458,25,40
Stimmbezirk 06,6,Grüne,1506,25,31
Stimmbezirk 06,6,FW,783,10,16
Stimmbezirk 06,6,AfD,105,1,7
Stimmbezirk 06,6,SPD,910,14,19
Stimmbezirk 06,6,FDP,297,5,7
Stimmbezirk 07,7,CSU,1968,24,48
Stimmbezirk 07,7,Grüne,2205,30,51
Stimmbezirk 07,7,FW,700,12,15
Stimmbezirk 07,7,AfD,164,4,5
Stimmbezirk 07,7,SPD,778,9,15
Stimmbezirk 07,7,FDP,247,5,5
Stimmbezirk 08,8,CSU,2106,32,51
Stimmbezirk 08,8,Grüne,1879,28,43
Stimmbezirk 08,8,FW,526,9,10
Stimmbezirk 08,8,AfD,259,5,6
Stimmbezirk 08,8,SPD,1209,17,22
Stimmbezirk 08,8,FDP,378,7,8
Stimmbezirk 09,9,CSU,2468,37,61
Stimmbezirk 09,9,Grüne,1803,32,44
Stimmbezirk 09,9,FW,607,7,11
Stimmbezirk 09,9,AfD,168,3,4
Stimmbezirk 09,9,SPD,657,11,15
Stimmbezirk 09,9,FDP,319,5,5
Stimmbezirk 10,10,CSU,2577,37,64
Stimmbezirk 10,10,Grüne,1872,34,40
Stimmbezirk 10,10,FW,743,13,17
Stimmbezirk 10,10,AfD,203,4,6
Stimmbezirk 10,10,SPD,948,13,17
Stimmbezirk 10,10,FDP,409,6,9
Stimmbezirk 11,11,CSU,1657,22,44
Stimmbezirk 11,11,Grüne,1198,18,23
Stimmbezirk 11,11,FW,667,10,11
Stimmbezirk 11,11,AfD,139,2,4
Stimmbezirk 11,11,SPD,693,9,13
Stimmbezirk 11,11,FDP,308,4,6
Stimmbezirk 12,12,CSU,1835,27,44
Stimmbezirk 12,12,Grüne,1538,17,35
Stimmbezirk 12,12,FW,643,11,14
Stimmbezirk 12,12,AfD,119,4,5
Stimmbezirk 12,12,SPD,944,13,16
Stimmbezirk 12,12,FDP,367,3,8
Stimmbezirk 13,13,CSU,1517,29,38
Stimmbezirk 13,13,Grüne,1565,27,34
Stimmbezirk 13,13,FW,468,8,8
Stimmbezirk 13,13,AfD,260,5,8
Stimmbezirk 13,13,SPD,918,9,16
Stimmbezirk 13,13,FDP,702,13,17
Stimmbezirk 14,14,CSU,2002,25,51
Stimmbezirk 14,14,Grüne,1723,33,44
Stimmbezirk 14,14,FW,556,6,12
Stimmbezirk 14,14,AfD,210,1,4
Stimmbezirk 14,14,SPD,1035,20,24
Stimmbezirk 14,14,FDP,239,3,4
Stimmbezirk 15,15,CSU,1557,23,41
Stimmbezirk 15,15,Grüne,1310,27,34
