stimmbezirk,stimmbezirkNr,partei,listenNr,stimmen,erreichterPlatz
Gesamt,NA,CSU,1,9994,1
Gesamt,NA,CSU,2,5724,5
Gesamt,NA,CSU,3,5711,6
Gesamt,NA,CSU,4,6875,2
Gesamt,NA,CSU,5,5677,7
Gesamt,NA,CSU,6,5446,9
Gesamt,NA,CSU,7,5585,8
Gesamt,NA,CSU,8,4315,17
Gesamt,NA,CSU,9,4797,14
Gesamt,NA,CSU,10,6402,3
Gesamt,NA,CSU,11,3861,19
Gesamt,NA,CSU,12,5766,4
Gesamt,NA,CSU,13,4973,11
Gesamt,NA,CSU,14,4401,16
Gesamt,NA,CSU,15,4953,12
Gesamt,NA,CSU,16,3815,21
Gesamt,NA,CSU,17,3852,20
Gesamt,NA,CSU,18,4749,15
Gesamt,NA,CSU,19,4816,13
Gesamt,NA,CSU,20,3114,27
Gesamt,NA,CSU,21,3082,28
Gesamt,NA,CSU,22,3438,22
Gesamt,NA,CSU,23,3145,26
Gesamt,NA,CSU,24,3347,24
Gesamt,NA,CSU,25,3415,23
Gesamt,NA,CSU,26,3335,25
Gesamt,NA,CSU,27,3958,18
Gesamt,NA,CSU,28,5282,10
Gesamt,NA,CSU,29,2931,29
Gesamt,NA,CSU,30,2297,30
Gesamt,NA,Grüne,1,5771,1
Gesamt,NA,Grüne,2,4294,4
Gesamt,NA,Grüne,3,4693,3
Gesamt,NA,Grüne,4,4022,5
Gesamt,NA,Grüne,5,3420,8
Gesamt,NA,Grüne,6,5093,2
Gesamt,NA,Grüne,7,2555,12
Gesamt,NA,Grüne,8,2897,9
Gesamt,NA,Grüne,9,3685,6
Gesamt,NA,Grüne,10,3682,7
Gesamt,NA,Grüne,11,2386,14
Gesamt,NA,Grüne,12,2325,15
Gesamt,NA,Grüne,13,2835,10
Gesamt,NA,Grüne,14,2148,18
Gesamt,NA,Grüne,15,2723,11
Gesamt,NA,Grüne,16,1879,27
Gesamt,NA,Grüne,17,2303,16
Gesamt,NA,Grüne,18,1904,26
Gesamt,NA,Grüne,19,2040,21
Gesamt,NA,Grüne,20,2191,17
Gesamt,NA,Grüne,21,2102,19
Gesamt,NA,Grüne,22,2102,20
Gesamt,NA,Grüne,23,1951,23
Gesamt,NA,Grüne,24,1951,24
Gesamt,NA,Grüne,25,1973,22
Gesamt,NA,Grüne,26,1788,29
Gesamt,NA,Grüne,27,1920,25
Gesamt,NA,Grüne,28,1627,30
Gesamt,NA,Grüne,29,2398,13
Gesamt,NA,Grüne,30,1796,28
Gesamt,NA,FW,1,4377,1
Gesamt,NA,FW,2,3290,2
Gesamt,NA,FW,3,1855,3
Gesamt,NA,FW,4,1247,10
Gesamt,NA,FW,5,1718,6
Gesamt,NA,FW,6,1849,4
Gesamt,NA,FW,7,1838,5
Gesamt,NA,FW,8,986,14
Gesamt,NA,FW,9,1022,13
Gesamt,NA,FW,10,960,16
Gesamt,NA,FW,11,1203,11
Gesamt,NA,FW,12,967,15
Gesamt,NA,FW,13,889,21
Gesamt,NA,FW,14,938,18
Gesamt,NA,FW,15,810,23
Gesamt,NA,FW,16,938,19
Gesamt,NA,FW,17,925,20
Gesamt,NA,FW,18,711,25
Gesamt,NA,FW,19,1473,8
Gesamt,NA,FW,20,1072,12
Gesamt,NA,FW,21,733,24
Gesamt,NA,FW,22,1574,7
Gesamt,NA,FW,23,670,27
Gesamt,NA,FW,24,939,17
Gesamt,NA,FW,25,1289,9
Gesamt,NA,FW,26,647,28
Gesamt,NA,FW,27,678,26
Gesamt,NA,FW,28,545,30
Gesamt,NA,FW,29,561,29
Gesamt,NA,FW,30,887,22
Gesamt,NA,AfD,1,755,1
Gesamt,NA,AfD,2,716,3
Gesamt,NA,AfD,3,722,2
Gesamt,NA,AfD,4,0,23
Gesamt,NA,AfD,5,608,4
Gesamt,NA,AfD,6,506,6
Gesamt,NA,AfD,7,556,5
Gesamt,NA,AfD,8,338,7
Gesamt,NA,AfD,9,257,11
Gesamt,NA,AfD,10,298,9
Gesamt,NA,AfD,11,221,16
Gesamt,NA,AfD,12,222,15
Gesamt,NA,AfD,13,204,17
Gesamt,NA,AfD,14,304,8
Gesamt,NA,AfD,15,227,14
Gesamt,NA,AfD,16,235,13
Gesamt,NA,AfD,17,200,18
Gesamt,NA,AfD,18,195,20
Gesamt,NA,AfD,19,197,19
Gesamt,NA,AfD,20,189,22
Gesamt,NA,AfD,21,292,10
Gesamt,NA,AfD,22,195,21
Gesamt,NA,AfD,23,255,12
Gesamt,NA,SPD,1,7353,1
Gesamt,NA,SPD,2,3312,4
Gesamt,NA,SPD,3,3764,3
Gesamt,NA,SPD,4,2059,7
Gesamt,NA,SPD,5,1716,9
Gesamt,NA,SPD,6,4135,2
Gesamt,NA,SPD,7,2098,6
Gesamt,NA,SPD,8,1628,10
Gesamt,NA,SPD,9,2132,5
Gesamt,NA,SPD,10,1798,8
Gesamt,NA,SPD,11,1108,19
Gesamt,NA,SPD,12,1041,21
Gesamt,NA,SPD,13,1462,12
Gesamt,NA,SPD,14,1124,18
Gesamt,NA,SPD,15,1365,13
Gesamt,NA,SPD,16,1246,15
Gesamt,NA,SPD,17,942,24
Gesamt,NA,SPD,18,1579,11
Gesamt,NA,SPD,19,973,23
Gesamt,NA,SPD,20,1146,17
Gesamt,NA,SPD,21,1166,16
Gesamt,NA,SPD,22,921,26
Gesamt,NA,SPD,23,905,28
Gesamt,NA,SPD,24,877,29
Gesamt,NA,SPD,25,908,27
Gesamt,NA,SPD,26,924,25
Gesamt,NA,SPD,27,1319,14
Gesamt,NA,SPD,28,1052,20
Gesamt,NA,SPD,29,664,30
Gesamt,NA,SPD,30,978,22
Gesamt,NA,FDP,1,3162,1
Gesamt,NA,FDP,2,1053,5
Gesamt,NA,FDP,3,958,6
Gesamt,NA,FDP,4,2095,2
Gesamt,NA,FDP,5,1118,3
Gesamt,NA,FDP,6,1110,4
Gesamt,NA,FDP,7,565,10
Gesamt,NA,FDP,8,698,7
Gesamt,NA,FDP,9,640,8
Gesamt,NA,FDP,10,477,16
Gesamt,NA,FDP,11,494,14
Gesamt,NA,FDP,12,488,15
Gesamt,NA,FDP,13,451,19
Gesamt,NA,FDP,14,556,12
Gesamt,NA,FDP,15,378,27
Gesamt,NA,FDP,16,467,18
Gesamt,NA,FDP,17,418,21
Gesamt,NA,FDP,18,385,24
Gesamt,NA,FDP,19,583,9
Gesamt,NA,FDP,20,376,28
Gesamt,NA,FDP,21,413,22
Gesamt,NA,FDP,22,565,11
Gesamt,NA,FDP,23,420,20
Gesamt,NA,FDP,24,381,26
Gesamt,NA,FDP,25,385,25
Gesamt,NA,FDP,26,347,29
Gesamt,NA,FDP,27,473,17
Gesamt,NA,FDP,28,398,23
Gesamt,NA,FDP,29,294,30
Gesamt,NA,FDP,30,520,13
Stimmbezirk 01,1,CSU,1,312,1
Stimmbezirk 01,1,CSU,2,149,11
Stimmbezirk 01,1,CSU,3,132,14
