datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D5;D7;D9
15.03.2020;Wahl des Landrats;09175132;01;Stimmbezirk 01;1;1;622;252;0;874;255;0;0;255;186;45;15;5;4
15.03.2020;Wahl des Landrats;09175132;02;Stimmbezirk 02;1;1;487;273;0;760;202;0;1;201;146;32;15;2;6
15.03.2020;Wahl des Landrats;09175132;03;Stimmbezirk 03;1;1;654;404;0;1058;302;0;1;301;194;63;17;22;5
15.03.2020;Wahl des Landrats;09175132;04;Stimmbezirk 04;1;1;708;392;0;1100;317;1;2;315;212;81;19;1;2
15.03.2020;Wahl des Landrats;09175132;05;Stimmbezirk 05;1;1;416;233;0;649;204;0;2;202;124;61;9;5;3
15.03.2020;Wahl des Landrats;09175132;06;Stimmbezirk 06;1;1;465;290;0;755;189;0;1;188;116;54;10;7;1
15.03.2020;Wahl des Landrats;09175132;07;Stimmbezirk 07;1;1;515;335;0;850;215;0;1;214;138;51;12;5;8
15.03.2020;Wahl des Landrats;09175132;08;Stimmbezirk 08;1;1;496;374;0;870;225;0;2;223;128;70;15;8;2
15.03.2020;Wahl des Landrats;09175132;09;Stimmbezirk 09;1;1;407;314;0;721;211;0;2;209;141;47;11;10;0
15.03.2020;Wahl des Landrats;09175132;10;Stimmbezirk 10;1;1;528;361;0;889;245;0;5;240;170;51;11;4;4
15.03.2020;Wahl des Landrats;09175132;11;Stimmbezirk 11;1;1;347;288;0;635;169;0;0;169;113;41;10;2;3
15.03.2020;Wahl des Landrats;09175132;12;Stimmbezirk 12;1;1;403;285;0;688;196;0;1;195;129;49;7;5;5
15.03.2020;Wahl des Landrats;09175132;13;Stimmbezirk 13;1;1;432;363;0;795;199;0;1;198;135;42;13;8;0
15.03.2020;Wahl des Landrats;09175132;14;Stimmbezirk 14;1;1;365;290;0;655;201;0;1;200;132;47;12;7;2
15.03.2020;Wahl des Landrats;09175132;15;Stimmbezirk 15;1;1;521;235;0;756;171;1;0;171;109;40;13;6;3
15.03.2020;Wahl des Landrats;09175132;16;Stimmbezirk 16;1;1;483;329;0;812;167;0;0;167;116;32;12;7;0
15.03.2020;Wahl des Landrats;09175132;17;Stimmbezirk 17;1;1;392;283;0;675;214;0;2;212;142;49;12;5;4
15.03.2020;Wahl des Landrats;09175132;18;Stimmbezirk 18;1;1;361;310;0;671;185;0;0;185;131;31;13;8;2
15.03.2020;Wahl des Landrats;09175132;19;Stimmbezirk 19;1;1;438;305;0;743;210;0;2;208;138;46;18;4;2
15.03.2020;Wahl des Landrats;09175132;20;Stimmbezirk 20;1;1;433;294;0;727;200;0;3;197;130;43;13;7;4
15.03.2020;Wahl des Landrats;09175132;21;Stimmbezirk 21;1;1;483;255;0;738;185;0;0;185;119;50;8;6;2
15.03.2020;Wahl des Landrats;09175132;22;Stimmbezirk 22;1;1;495;205;0;700;214;0;2;212;128;53;22;6;3
15.03.2020;Wahl des Landrats;09175132;23;Stimmbezirk 23;1;1;462;286;0;748;206;0;0;206;120;57;19;5;5
15.03.2020;Wahl des Landrats;09175132;24;Stimmbezirk 24;1;1;343;328;0;671;193;2;1;192;137;42;4;9;0
15.03.2020;Wahl des Landrats;09175132;25;Stimmbezirk 25;1;1;;;;;56;0;3;53;35;11;7;0;0
15.03.2020;Wahl des Landrats;09175132;31;Stimmbezirk 31;1;1;0;0;0;0;484;484;4;480;365;85;18;9;3
15.03.2020;Wahl des Landrats;09175132;32;Stimmbezirk 32;1;1;0;0;0;0;612;612;2;610;438;118;19;21;14
15.03.2020;Wahl des Landrats;09175132;33;Stimmbezirk 33;1;1;0;0;0;0;454;454;2;452;295;101;24;20;12
15.03.2020;Wahl des Landrats;09175132;34;Stimmbezirk 34;1;1;0;0;0;0;494;494;4;490;342;93;24;23;8
15.03.2020;Wahl des Landrats;09175132;35;Stimmbezirk 35;1;1;0;0;0;0;380;380;3;377;283;65;15;11;3
15.03.2020;Wahl des Landrats;09175132;36;Stimmbezirk 36;1;1;0;0;0;0;557;557;3;554;393;109;34;10;8
15.03.2020;Wahl des Landrats;09175132;37;Stimmbezirk 37;1;1;0;0;0;0;567;567;3;564;396;121;23;17;7
15.03.2020;Wahl des Landrats;09175132;38;Stimmbezirk 38;1;1;0;0;0;0;604;604;1;603;424;122;25;21;11
15.03.2020;Wahl des Landrats;09175132;39;Stimmbezirk 39;1;1;0;0;0;0;608;608;2;606;441;122;21;19;3
15.03.2020;Wahl des Landrats;09175132;40;Stimmbezirk 40;1;1;0;0;0;0;389;389;6;383;271;77;18;12;5
15.03.2020;Wahl des Landrats;09175132;41;Stimmbezirk 41;1;1;0;0;0;0;631;631;3;628;456;122;30;17;3
15.03.2020;Wahl des Landrats;09175132;42;Stimmbezirk 42;1;1;0;0;0;0;554;554;6;548;388;105;23;23;9
15.03.2020;Wahl des Landrats;09175132;43;Stimmbezirk 43;1;1;0;0;0;0;562;562;1;561;407;107;20;24;3
