datum;ags;Bezirk-Nr;Bezirk-Name;Bezirk-Art;Wahlraum-Bezeichnung;Wahlraum-Adresse;Wahlraum-Barrierefrei;Wahlraum-Barrierefrei-Ergaenzung
15.03.2020;09175132;01;Stimmbezirk 01;W;Aula;Purfinger Straße 20, 85599 Parsdorf;ja;
15.03.2020;09175132;02;Stimmbezirk 02;W;E 14 A;Purfinger Straße 20, 85599 Parsdorf;ja;
15.03.2020;09175132;03;Stimmbezirk 03;W;Aula;Schulstraße 16, 85646 Neufarn;nein;
15.03.2020;09175132;04;Stimmbezirk 04;W;E 1;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;05;Stimmbezirk 05;W;E 2;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;06;Stimmbezirk 06;W;E 5;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;07;Stimmbezirk 07;W;E 6;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;08;Stimmbezirk 08;W;E 7;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;09;Stimmbezirk 09;W;E 8;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;10;Stimmbezirk 10;W;E 9;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;11;Stimmbezirk 11;W;Aula;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;12;Stimmbezirk 12;W;A 003;Gluckstraße 2, 85598 Baldham;ja;
15.03.2020;09175132;13;Stimmbezirk 13;W;A 005;Gluckstraße 2, 85598 Baldham;ja;
15.03.2020;09175132;14;Stimmbezirk 14;W;B Aula;Gluckstraße 2, 85598 Baldham;ja;
15.03.2020;09175132;15;Stimmbezirk 15;W;B 010;Gluckstraße 2, 85598 Baldham;ja;
15.03.2020;09175132;16;Stimmbezirk 16;W;B 019;Gluckstraße 2, 85598 Baldham;ja;
15.03.2020;09175132;17;Stimmbezirk 17;W;C 024;Gluckstraße 2, 85598 Baldham;ja;
15.03.2020;09175132;18;Stimmbezirk 18;W;C Mensa;Gluckstraße 2, 85598 Baldham;ja;
15.03.2020;09175132;19;Stimmbezirk 19;W;E 10;Brunnenstraße 3, 85598 Baldham;ja;
15.03.2020;09175132;20;Stimmbezirk 20;W;E 30;Brunnenstraße 3, 85598 Baldham;ja;
15.03.2020;09175132;21;Stimmbezirk 21;W;E 40;Brunnenstraße 3, 85598 Baldham;ja;
15.03.2020;09175132;22;Stimmbezirk 22;W;E 50;Brunnenstraße 3, 85598 Baldham;ja;
15.03.2020;09175132;23;Stimmbezirk 23;W;O 50;Brunnenstraße 3, 85598 Baldham;nein;
15.03.2020;09175132;24;Stimmbezirk 24;W;O 30;Brunnenstraße 3, 85598 Baldham;nein;
15.03.2020;09175132;25;Stimmbezirk 25;W;"Sonderstimmbezirk 25, Altenheime; Carecon, Haus Maria Linden, St. Korbinian";Wendelsteinstraße 7, 85591 Vaterstetten;ja;
15.03.2020;09175132;31;Stimmbezirk 31;B;O 1, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;32;Stimmbezirk 32;B;O 2, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;33;Stimmbezirk 33;B;O 6, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;34;Stimmbezirk 34;B;O 7, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;35;Stimmbezirk 35;B;O 9, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;36;Stimmbezirk 36;B;O 10, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;37;Stimmbezirk 37;B;O 11, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;ja;
15.03.2020;09175132;38;Stimmbezirk 38;B;O 12, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;39;Stimmbezirk 39;B;O 13, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 8, 85591 Vaterstetten;nein;
15.03.2020;09175132;40;Stimmbezirk 40;B;Turnhalle, Schule Vaterstetten Wendelsteinstraße;Wendelsteinstraße 7, 85591 Vaterstetten;ja;
15.03.2020;09175132;41;Stimmbezirk 41;B;Fraktionszimmer, Rathaus;Wendelsteinstraße 7, 85591 Vaterstetten;nein;
15.03.2020;09175132;42;Stimmbezirk 42;B;Zi. 201, Rathaus;Wendelsteinstraße 7, 85591 Vaterstetten;ja;
15.03.2020;09175132;43;Stimmbezirk 43;B;Standesamt, Rathaus;Wendelsteinstraße 7, 85591 Vaterstetten;ja;
