stimmbezirk,stimmbezirkNr,stimmbezirkArt,wahlberechtigte,waehler,ungueltigeStimmzettel,gueltigeStimmzettel,gueltigeStimmen,stimmzettelNurListenkreuz,stimmzettelNurEineListe
Gesamt,NA,NA,19304,12862,248,12614,358879,4986,7501
Stimmbezirk 01,1,Wahllokal,970,244,9,235,6496,83,160
Stimmbezirk 02,2,Wahllokal,724,149,2,147,4233,59,109
Stimmbezirk 03,3,Wahllokal,1074,317,3,314,8907,109,203
Stimmbezirk 04,4,Wahllokal,783,226,3,223,6382,110,153
Stimmbezirk 05,5,Wahllokal,900,181,3,178,4986,77,123
Stimmbezirk 06,6,Wahllokal,853,240,7,233,6415,118,160
Stimmbezirk 07,7,Wahllokal,954,264,9,255,7104,128,177
Stimmbezirk 08,8,Wahllokal,806,200,8,192,5426,93,133
Stimmbezirk 09,9,Wahllokal,720,218,4,214,6027,101,149
Stimmbezirk 10,10,Wahllokal,868,235,7,228,6098,80,153
Stimmbezirk 11,11,Wahllokal,753,193,7,186,5360,81,118
Stimmbezirk 12,12,Wahllokal,635,148,5,143,4068,70,96
Stimmbezirk 13,13,Wahllokal,717,208,4,204,5703,97,129
Stimmbezirk 14,14,Wahllokal,805,228,5,223,6218,100,144
Stimmbezirk 15,15,Wahllokal,626,183,4,179,5025,102,132
Stimmbezirk 16,16,Wahllokal,702,148,7,141,4025,71,105
Stimmbezirk 17,17,Wahllokal,808,165,10,155,4365,66,100
Stimmbezirk 18,18,Wahllokal,648,189,5,184,5305,78,125
Stimmbezirk 19,19,Wahllokal,662,184,1,183,5330,77,125
Stimmbezirk 20,20,Wahllokal,771,242,6,236,6627,119,165
Stimmbezirk 21,21,Wahllokal,668,172,5,167,4804,69,110
Stimmbezirk 22,22,Wahllokal,705,153,5,148,3974,71,115
Stimmbezirk 23,23,Wahllokal,766,222,9,213,6068,132,165
Stimmbezirk 24,24,Wahllokal,723,194,6,188,5320,91,131
Stimmbezirk 25,25,Wahllokal,663,177,3,174,4871,77,115
Stimmbezirk 31,31,Briefwahl,0,389,3,386,11037,111,198
Stimmbezirk 32,32,Briefwahl,0,381,7,374,10706,142,235
Stimmbezirk 33,33,Briefwahl,0,387,10,377,10904,146,198
Stimmbezirk 34,34,Briefwahl,0,365,1,364,10439,145,210
Stimmbezirk 35,35,Briefwahl,0,401,6,395,11046,144,205
Stimmbezirk 36,36,Briefwahl,0,369,5,364,10492,111,172
Stimmbezirk 37,37,Briefwahl,0,365,7,358,10153,140,208
Stimmbezirk 38,38,Briefwahl,0,383,4,379,10843,133,200
Stimmbezirk 39,39,Briefwahl,0,391,12,379,10899,153,219
Stimmbezirk 40,40,Briefwahl,0,365,7,358,10470,127,179
Stimmbezirk 41,41,Briefwahl,0,397,1,396,11381,145,216
Stimmbezirk 42,42,Briefwahl,0,395,5,390,11249,131,219
Stimmbezirk 43,43,Briefwahl,0,385,4,381,11016,129,199
Stimmbezirk 44,44,Briefwahl,0,363,6,357,10236,114,179
Stimmbezirk 45,45,Briefwahl,0,409,6,403,11614,124,198
Stimmbezirk 46,46,Briefwahl,0,380,7,373,10534,132,194
Stimmbezirk 47,47,Briefwahl,0,372,5,367,10569,139,191
Stimmbezirk 48,48,Briefwahl,0,415,7,408,11417,156,230
Stimmbezirk 49,49,Briefwahl,0,400,2,398,11318,145,227
Stimmbezirk 50,50,Briefwahl,0,470,6,464,13419,160,229
