Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D2;D4;D5;
09175132;Gemeinde Vaterstetten;09175132;GEMEINDE;Gemeinde Vaterstetten;;;;N;19304;10872;8432;0;12884;5071;7813;11;0;102;12782;5583;1379;1285;4535;
09175132;Gemeinde Vaterstetten;091751320001;STIMMBEZIRK;Stimmbezirk 1;0001;;;N;970;622;348;0;244;244;0;0;0;7;237;127;37;24;49;
09175132;Gemeinde Vaterstetten;091751320002;STIMMBEZIRK;Stimmbezirk 2;0002;;;N;724;396;328;0;149;149;0;0;0;0;149;101;10;8;30;
09175132;Gemeinde Vaterstetten;091751320003;STIMMBEZIRK;Stimmbezirk 3;0003;;;N;1074;635;439;0;317;315;2;2;0;7;310;185;34;25;66;
09175132;Gemeinde Vaterstetten;091751320004;STIMMBEZIRK;Stimmbezirk 4;0004;;;N;783;457;326;0;226;226;0;0;0;2;224;76;32;26;90;
09175132;Gemeinde Vaterstetten;091751320005;STIMMBEZIRK;Stimmbezirk 5;0005;;;N;900;585;315;0;181;181;0;0;0;2;179;56;21;32;70;
09175132;Gemeinde Vaterstetten;091751320006;STIMMBEZIRK;Stimmbezirk 6;0006;;;N;853;509;344;0;240;239;1;1;0;4;236;83;27;30;96;
09175132;Gemeinde Vaterstetten;091751320007;STIMMBEZIRK;Stimmbezirk 7;0007;;;N;954;582;372;0;264;264;0;0;0;4;260;101;23;38;98;
09175132;Gemeinde Vaterstetten;091751320008;STIMMBEZIRK;Stimmbezirk 8;0008;;;N;806;436;370;0;200;200;0;0;0;4;196;71;28;24;73;
09175132;Gemeinde Vaterstetten;091751320009;STIMMBEZIRK;Stimmbezirk 9;0009;;;N;720;397;323;0;218;218;0;0;0;2;216;89;25;26;76;
09175132;Gemeinde Vaterstetten;091751320010;STIMMBEZIRK;Stimmbezirk 10;0010;;;N;868;475;393;0;235;235;0;0;0;1;234;86;29;37;82;
09175132;Gemeinde Vaterstetten;091751320011;STIMMBEZIRK;Stimmbezirk 11;0011;;;N;753;427;326;0;193;192;1;1;0;3;190;89;15;19;67;
09175132;Gemeinde Vaterstetten;091751320012;STIMMBEZIRK;Stimmbezirk 12;0012;;;N;635;350;285;0;148;146;2;2;0;4;144;64;20;9;51;
09175132;Gemeinde Vaterstetten;091751320013;STIMMBEZIRK;Stimmbezirk 13;0013;;;N;717;377;340;0;208;208;0;0;0;2;206;82;22;25;77;
09175132;Gemeinde Vaterstetten;091751320014;STIMMBEZIRK;Stimmbezirk 14;0014;;;N;805;446;359;0;228;228;0;0;0;0;228;79;34;24;91;
09175132;Gemeinde Vaterstetten;091751320015;STIMMBEZIRK;Stimmbezirk 15;0015;;;N;626;324;302;0;183;183;0;0;0;4;179;56;32;8;83;
09175132;Gemeinde Vaterstetten;091751320016;STIMMBEZIRK;Stimmbezirk 16;0016;;;N;702;450;252;0;148;148;0;0;0;3;145;42;19;18;66;
09175132;Gemeinde Vaterstetten;091751320017;STIMMBEZIRK;Stimmbezirk 17;0017;;;N;808;403;405;0;165;165;0;0;0;3;162;72;11;17;62;
09175132;Gemeinde Vaterstetten;091751320018;STIMMBEZIRK;Stimmbezirk 18;0018;;;N;648;327;321;0;189;189;0;0;0;0;189;90;27;13;59;
09175132;Gemeinde Vaterstetten;091751320019;STIMMBEZIRK;Stimmbezirk 19;0019;;;N;662;323;339;0;184;184;0;0;0;0;184;96;11;24;53;
09175132;Gemeinde Vaterstetten;091751320020;STIMMBEZIRK;Stimmbezirk 20;0020;;;N;771;410;361;0;242;239;3;3;0;4;238;105;24;25;84;
09175132;Gemeinde Vaterstetten;091751320021;STIMMBEZIRK;Stimmbezirk 21;0021;;;N;668;347;321;0;173;172;1;1;0;3;170;76;15;21;58;
09175132;Gemeinde Vaterstetten;091751320022;STIMMBEZIRK;Stimmbezirk 22;0022;;;N;705;395;310;0;153;153;0;0;0;2;151;50;18;29;54;
09175132;Gemeinde Vaterstetten;091751320023;STIMMBEZIRK;Stimmbezirk 23;0023;;;N;766;484;282;0;223;223;0;0;0;3;220;106;30;26;58;
09175132;Gemeinde Vaterstetten;091751320024;STIMMBEZIRK;Stimmbezirk 24;0024;;;N;723;386;337;0;194;194;0;0;0;1;193;63;29;25;76;
09175132;Gemeinde Vaterstetten;091751320025;STIMMBEZIRK;Stimmbezirk 25;0025;;;N;663;329;334;0;177;176;1;1;0;2;175;86;24;16;49;
09175132;Gemeinde Vaterstetten;091751320031;BRIEFWAHLBEZIRK;Stimmbezirk 31;0031;;;N;0;0;0;0;389;0;389;0;0;1;388;179;35;29;145;
09175132;Gemeinde Vaterstetten;091751320032;BRIEFWAHLBEZIRK;Stimmbezirk 32;0032;;;N;0;0;0;0;381;0;381;0;0;4;377;179;29;27;142;
09175132;Gemeinde Vaterstetten;091751320033;BRIEFWAHLBEZIRK;Stimmbezirk 33;0033;;;N;0;0;0;0;387;0;387;0;0;4;383;167;36;34;146;
09175132;Gemeinde Vaterstetten;091751320034;BRIEFWAHLBEZIRK;Stimmbezirk 34;0034;;;N;0;0;0;0;369;0;369;0;0;1;368;155;33;40;140;
09175132;Gemeinde Vaterstetten;091751320035;BRIEFWAHLBEZIRK;Stimmbezirk 35;0035;;;N;0;0;0;0;401;0;401;0;0;0;401;180;36;28;157;
09175132;Gemeinde Vaterstetten;091751320036;BRIEFWAHLBEZIRK;Stimmbezirk 36;0036;;;N;0;0;0;0;370;0;370;0;0;2;368;160;25;42;141;
09175132;Gemeinde Vaterstetten;091751320037;BRIEFWAHLBEZIRK;Stimmbezirk 37;0037;;;N;0;0;0;0;365;0;365;0;0;2;363;133;48;39;143;
09175132;Gemeinde Vaterstetten;091751320038;BRIEFWAHLBEZIRK;Stimmbezirk 38;0038;;;N;0;0;0;0;383;0;383;0;0;0;383;180;34;37;132;
09175132;Gemeinde Vaterstetten;091751320039;BRIEFWAHLBEZIRK;Stimmbezirk 39;0039;;;N;0;0;0;0;393;0;393;0;0;2;391;192;50;37;112;
09175132;Gemeinde Vaterstetten;091751320040;BRIEFWAHLBEZIRK;Stimmbezirk 40;0040;;;N;0;0;0;0;365;0;365;0;0;3;362;150;41;39;132;
09175132;Gemeinde Vaterstetten;091751320041;BRIEFWAHLBEZIRK;Stimmbezirk 41;0041;;;N;0;0;0;0;401;0;401;0;0;1;400;174;40;51;135;
09175132;Gemeinde Vaterstetten;091751320042;BRIEFWAHLBEZIRK;Stimmbezirk 42;0042;;;N;0;0;0;0;395;0;395;0;0;5;390;186;31;26;147;
09175132;Gemeinde Vaterstetten;091751320043;BRIEFWAHLBEZIRK;Stimmbezirk 43;0043;;;N;0;0;0;0;385;0;385;0;0;1;384;188;39;27;130;
09175132;Gemeinde Vaterstetten;091751320044;BRIEFWAHLBEZIRK;Stimmbezirk 44;0044;;;N;0;0;0;0;364;0;364;0;0;2;362;163;35;35;129;
09175132;Gemeinde Vaterstetten;091751320045;BRIEFWAHLBEZIRK;Stimmbezirk 45;0045;;;N;0;0;0;0;411;0;411;0;0;0;411;170;44;44;153;
09175132;Gemeinde Vaterstetten;091751320046;BRIEFWAHLBEZIRK;Stimmbezirk 46;0046;;;N;0;0;0;0;380;0;380;0;0;1;379;165;48;35;131;
09175132;Gemeinde Vaterstetten;091751320047;BRIEFWAHLBEZIRK;Stimmbezirk 47;0047;;;N;0;0;0;0;374;0;374;0;0;0;374;164;37;18;155;
09175132;Gemeinde Vaterstetten;091751320048;BRIEFWAHLBEZIRK;Stimmbezirk 48;0048;;;N;0;0;0;0;414;0;414;0;0;2;412;196;44;37;135;
09175132;Gemeinde Vaterstetten;091751320049;BRIEFWAHLBEZIRK;Stimmbezirk 49;0049;;;N;0;0;0;0;403;0;403;0;0;2;401;188;47;28;138;
09175132;Gemeinde Vaterstetten;091751320050;BRIEFWAHLBEZIRK;Stimmbezirk 50;0050;;;N;0;0;0;0;472;0;472;0;0;2;470;183;50;63;174;
