Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1_unveraendert;D1_veraendert;D1;D1_1;D1_2;D1_3;D1_4;D1_5;D1_6;D1_7;D1_8;D1_9;D1_10;D1_11;D1_12;D1_13;D1_14;D1_15;D1_16;D1_17;D1_18;D1_19;D1_20;D1_21;D1_22;D1_23;D1_24;D1_25;D1_26;D1_27;D1_28;D1_29;D1_30;D2_unveraendert;D2_veraendert;D2;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_7;D2_8;D2_9;D2_10;D2_11;D2_12;D2_13;D2_14;D2_15;D2_16;D2_17;D2_18;D2_19;D2_20;D2_21;D2_22;D2_23;D2_24;D2_25;D2_26;D2_27;D2_28;D2_29;D2_30;D4_unveraendert;D4_veraendert;D4;D4_1;D4_2;D4_3;D4_4;D4_5;D4_6;D4_7;D4_8;D4_9;D4_10;D4_11;D4_12;D4_13;D4_14;D4_15;D4_16;D4_17;D4_18;D4_19;D4_20;D4_21;D4_22;D4_23;D4_24;D4_25;D4_26;D4_27;D4_28;D4_29;D4_30;D5_unveraendert;D5_veraendert;D5;D5_1;D5_2;D5_3;D5_4;D5_5;D5_6;D5_7;D5_8;D5_9;D5_10;D5_11;D5_12;D5_13;D5_14;D5_15;D5_16;D5_17;D5_18;D5_19;D5_20;D5_21;D5_22;D5_23;D5_24;D5_25;D5_26;D5_27;D5_28;D5_29;D5_30;D6_unveraendert;D6_veraendert;D6;D6_1;D6_2;D6_3;D6_4;D6_5;D6_6;D6_7;D6_8;D6_9;D6_10;D6_11;D6_12;D6_13;D6_14;D6_15;D6_16;D6_17;D6_18;D6_19;D6_20;D6_21;
09175132;Gemeinde Vaterstetten;09175132;GEMEINDE;Gemeinde Vaterstetten;;;;N;19304;10872;8432;0;12862;5069;7793;11;0;248;358879;1954;1513;149484;9804;6193;6646;6967;6205;5153;6097;5725;6550;4446;4417;5734;4601;4137;6392;4440;4378;7433;4263;4196;3463;2916;2962;3202;4871;3924;3116;3438;3493;4322;652;199;47858;3926;2786;3040;1430;4694;1360;1355;1189;1375;1390;1345;1121;900;1193;1330;1492;997;1278;1387;1297;903;880;972;1224;969;973;901;1304;1411;3436;1163;306;70483;4875;3614;4169;3019;2557;3587;3310;3895;2392;1906;2395;1634;1788;1742;1956;1734;1856;2084;2628;2170;1468;1798;1896;1594;1600;2036;1630;1392;2147;1611;944;399;68610;8926;3716;4286;2605;3527;2962;2658;2183;2585;2359;1892;1863;1670;1833;2015;1924;1992;1507;1534;1738;1524;1618;1430;1475;1336;1471;1400;1268;1764;1549;273;98;22444;2478;1876;1902;1518;1288;3382;1186;1277;1318;604;489;449;523;601;518;551;453;486;436;591;518;
09175132;Gemeinde Vaterstetten;091751320001;STIMMBEZIRK;Stimmbezirk 1;0001;;;N;970;622;348;0;244;244;0;0;0;9;6496;30;55;3289;250;123;126;157;121;90;178;107;103;106;77;261;75;70;138;95;78;211;82;115;69;58;61;98;71;71;53;62;48;135;16;5;926;65;45;40;23;49;28;39;27;38;27;29;27;23;24;34;30;23;30;26;34;23;23;23;27;22;21;24;33;25;44;20;7;1016;44;93;43;33;31;37;39;39;36;30;52;30;29;25;47;25;29;25;32;25;25;34;26;25;28;24;30;26;30;24;12;9;914;95;60;30;25;40;32;31;27;27;21;29;90;25;24;27;22;27;22;24;47;22;23;20;18;18;19;16;20;18;15;5;1;351;31;29;29;38;20;19;17;16;24;8;7;7;20;8;8;10;6;11;10;23;10;
09175132;Gemeinde Vaterstetten;091751320002;STIMMBEZIRK;Stimmbezirk 2;0002;;;N;724;396;328;0;149;149;0;0;0;2;4233;28;45;2658;195;114;96;81;119;72;138;89;108;59;64;176;61;62;103;66;62;190;57;130;45;48;47;94;65;48;45;54;47;123;8;1;387;22;22;21;12;31;8;8;8;15;18;9;11;8;8;18;8;12;17;9;8;8;11;8;9;11;9;9;14;11;24;12;2;573;20;36;24;17;22;22;23;18;19;16;22;16;16;17;25;19;16;16;27;16;16;19;18;16;16;20;19;14;14;14;11;2;541;50;27;19;12;23;13;12;12;13;25;24;21;13;13;24;13;21;16;13;21;12;23;18;12;12;16;18;12;14;19;0;0;74;7;7;6;6;2;14;6;5;6;1;1;1;4;4;1;1;1;1;0;0;0;
09175132;Gemeinde Vaterstetten;091751320003;STIMMBEZIRK;Stimmbezirk 3;0003;;;N;1074;635;439;0;317;315;2;2;0;3;8907;38;77;4776;371;183;178;207;194;119;418;160;150;122;102;292;178;113;151;154;109;395;123;150;78;80;73;86;111;98;74;73;68;166;23;5;1201;84;72;46;34;69;36;30;31;38;37;37;30;31;34;38;38;33;42;39;35;29;29;34;40;31;28;27;31;41;77;27;4;1270;59;82;65;51;52;48;57;45;47;36;52;36;37;36;46;37;36;33;41;35;32;34;33;28;36;39;35;28;44;30;17;7;1260;171;139;62;41;59;38;45;37;51;39;33;46;30;25;38;27;38;24;26;34;30;23;29;24;26;26;28;20;26;25;4;1;400;31;29;30;24;29;38;27;69;31;7;14;7;10;7;6;8;8;5;5;9;6;
09175132;Gemeinde Vaterstetten;091751320004;STIMMBEZIRK;Stimmbezirk 4;0004;;;N;783;457;326;0;226;226;0;0;0;3;6382;34;19;2121;120;82;89;86;82;59;75;80;97;69;64;71;62;89;81;71;55;72;75;65;45;46;50;50;83;80;55;60;55;53;17;7;958;66;41;54;33;76;29;24;26;28;27;29;40;24;34;30;28;25;36;27;26;24;26;23;22;25;28;21;21;21;44;27;4;1390;95;70;83;75;59;85;51;64;43;40;48;33;33;31;39;37;39;48;46;37;28;35;31;29;30;40;31;27;49;34;25;7;1365;128;55;75;57;50;56;52;40;59;43;51;37;36;34;44;37;37;40;37;38;44;38;36;32;35;34;31;32;40;37;7;6;548;41;56;47;51;39;55;26;29;29;18;23;25;18;12;15;12;11;8;14;11;8;
09175132;Gemeinde Vaterstetten;091751320005;STIMMBEZIRK;Stimmbezirk 5;0005;;;N;900;585;315;0;181;181;0;0;0;3;4986;21;20;1472;80;62;68;73;65;58;55;56;58;60;44;45;38;40;58;51;40;51;38;46;34;36;30;38;58;54;28;38;33;37;8;4;487;52;24;30;22;38;13;16;15;16;12;13;12;11;11;16;14;11;14;12;14;13;11;14;11;11;10;10;17;11;13;26;10;1458;90;66;72;78;64;63;72;70;48;41;44;37;41;40;45;36;41;40;51;46;35;37;40;41;45;39;36;28;37;35;15;12;1218;118;52;74;50;68;54;40;36;43;33;48;31;37;29;38;31;34;27;35;31;32;33;31;31;31;29;32;28;34;28;7;0;351;38;38;22;27;22;34;19;19;20;12;9;9;9;9;9;10;12;8;10;7;8;
09175132;Gemeinde Vaterstetten;091751320006;STIMMBEZIRK;Stimmbezirk 6;0006;;;N;853;509;344;0;240;239;1;1;0;7;6415;37;26;2195;141;93;97;100;89;71;68;68;82;66;56;79;75;68;95;70;75;88;68;63;58;46;45;47;109;63;51;56;53;55;17;5;979;79;41;56;30;98;27;25;27;27;27;30;27;21;37;20;24;18;31;22;29;18;21;24;37;22;27;22;30;21;61;40;2;1608;82;74;74;79;66;55;66;74;52;53;54;42;52;42;42;41;46;49;55;48;42;43;47;47;46;46;44;44;51;52;15;7;1180;146;60;79;48;66;60;45;49;37;39;47;29;28;31;41;32;26;26;27;26;24;31;22;23;18;24;18;19;25;34;9;2;453;42;33;35;35;29;57;23;22;28;20;15;16;9;16;10;10;11;11;10;11;10;
09175132;Gemeinde Vaterstetten;091751320007;STIMMBEZIRK;Stimmbezirk 7;0007;;;N;954;582;372;0;264;264;0;0;0;9;7104;44;31;2601;179;115;140;116;111;84;82;100;96;85;70;70;68;95;115;79;71;92;85;73;65;61;60;59;97;74;62;64;64;69;14;4;859;57;68;46;30;84;27;24;21;20;21;21;19;21;22;24;27;18;22;23;19;21;17;16;19;21;15;22;24;28;62;38;8;1994;129;94;104;86;72;87;68;111;62;52;63;53;49;55;52;53;55;56;70;53;48;55;74;55;51;56;63;48;61;59;23;5;1233;149;53;83;38;61;51;45;46;37;35;38;32;36;28;41;28;35;31;25;31;27;36;29;29;29;29;26;28;34;43;9;1;417;37;35;34;26;28;46;22;27;39;15;10;9;10;9;9;9;9;10;12;12;9;
09175132;Gemeinde Vaterstetten;091751320008;STIMMBEZIRK;Stimmbezirk 8;0008;;;N;806;436;370;0;200;200;0;0;0;8;5426;26;22;1801;117;65;73;83;87;50;56;59;64;80;51;60;45;63;84;61;57;72;60;54;48;43;43;43;70;50;48;42;35;38;22;4;948;46;41;40;32;68;32;32;30;30;29;33;26;27;26;29;30;26;34;26;29;28;26;26;25;25;30;25;28;24;45;21;8;1275;88;63;87;62;57;55;57;49;50;40;36;36;36;33;41;33;41;40;39;35;28;28;29;28;32;37;31;32;26;26;20;4;1160;122;54;76;54;60;48;50;38;46;37;30;27;36;33;39;34;33;27;29;33;24;26;25;23;23;30;22;21;27;33;4;2;242;21;24;18;17;16;27;18;19;12;6;6;6;5;5;5;8;5;7;6;6;5;
09175132;Gemeinde Vaterstetten;091751320009;STIMMBEZIRK;Stimmbezirk 9;0009;;;N;720;397;323;0;218;218;0;0;0;4;6027;40;32;2580;144;108;112;135;105;91;99;99;105;80;76;63;89;80;79;91;75;98;72;99;66;56;53;70;87;85;64;75;64;60;12;1;783;56;43;52;30;58;18;25;25;23;26;23;22;18;26;20;20;16;31;22;23;20;16;17;21;15;15;13;28;24;37;26;4;1207;64;49;51;40;47;53;50;53;48;36;41;30;41;40;34;36;35;31;45;42;29;34;32;31;32;40;37;28;36;42;17;9;1035;96;37;46;38;54;37;37;35;41;30;28;27;28;33;30;28;34;26;25;26;28;34;27;32;27;29;27;32;30;33;6;2;422;37;42;28;30;33;49;16;22;20;15;9;10;10;11;12;11;13;10;10;14;20;
