Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;801 (Schmid);802 (Böning-Görlach);803 (Boegelein);804 (Koplin);805 (Lügering);806 (Heimisch);807 (Münnich);808 (Bleiel);809 (Eichmeier);810 (Bouderka);811 (Striewski);812 (Großner);813 (Lütje);814 (Munk);815 (Krieg);816 (Siegert);817 (Lindenthal);818 (Maas);819 (Pleitner);820 (Schärtl);821 (Schmidt-Behounek);822 (Haag);823 (Weyh);824 (Ottinger);825 (Huppertz)
STIMMBEZIRK;091751350001;496;278;0;219;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;23;18;15;15;12;12;12;14;12;13;13;12;12;12;12;12;12;8;4;4;4;5;4;5;5
STIMMBEZIRK;091751350002;451;303;0;0;210;0;URNE;ERFASSUNGSEINHEIT;Die Linke;31;24;24;24;24;24;24;24;24;24;26;21;21;21;21;21;21;14;7;7;7;7;7;7;7
STIMMBEZIRK;091751350003;555;264;0;195;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;28;24;24;27;24;24;18;24;18;21;18;18;18;21;18;21;18;12;6;6;6;9;6;9;6
STIMMBEZIRK;091751350004;555;272;0;186;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;22;21;21;21;21;21;21;22;21;21;19;18;18;18;18;18;18;12;6;6;6;6;6;6;6
STIMMBEZIRK;091751350005;474;301;0;206;3;0;URNE;ERFASSUNGSEINHEIT;Die Linke;30;27;26;24;24;24;24;27;24;27;24;25;24;25;25;27;25;16;8;8;8;8;8;8;8
STIMMBEZIRK;091751350006;507;251;0;194;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;25;16;17;16;16;22;16;25;17;23;16;25;16;22;16;22;17;12;6;6;6;6;6;12;6
STIMMBEZIRK;091751350007;495;244;0;196;1;0;URNE;ERFASSUNGSEINHEIT;Die Linke;31;27;24;21;19;21;18;21;18;22;22;18;18;18;21;21;18;12;9;6;6;10;6;10;10
STIMMBEZIRK;091751350008;618;270;0;234;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;42;36;36;36;36;36;36;37;36;36;39;36;36;36;36;36;36;24;12;12;12;12;11;14;11
STIMMBEZIRK;091751350009;491;276;0;184;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;37;27;27;27;27;27;27;28;27;28;27;28;27;27;27;28;27;18;9;9;9;9;9;10;9
STIMMBEZIRK;091751350010;465;293;0;221;0;0;URNE;ERFASSUNGSEINHEIT;Die Linke;30;30;30;30;30;30;30;30;30;30;29;27;27;27;26;27;27;18;11;9;9;11;9;10;10
