Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;601 (Zitzelsberger);602 (Markmiller);603 (Spieth);604 (Hagen);605 (Harrison);606 (Dünckelmeyer);607 (Müller);608 (Schmidt);609 (Voll);610 (Pernsteiner);611 (Spötzl);612 (Schaffenroth);613 (Vogl);614 (Florek);615 (Abdin-Bey);616 (Ziethmann);617 (Hildebrandt);618 (Ebertowski);619 (Reisbeck);620 (Decsei);621 (Willenberg);622 (Will);623 (Schwarz);624 (Samborska);625 (Sterner);626 (Marcon);627 (Höher-Schwarz);628 (Birnstiel);629 (Gar);630 (Bell);631 (Wolfram);632 (Seuchter);633 (Silberhorn);634 (Schaffenroth);635 (Rawe);636 (Diekmann);637 (Pelzer);638 (Hörgstetter);639 (Reinold);640 (Zissel);641 (Zschaubitz);642 (Kirschneck);643 (Garms);644 (Hansen);645 (Nette);646 (Stranak);647 (Zitzelsberger);648 (Paech);649 (Thomas);650 (Schmidt-Reisbeck);651 (Delonge);652 (Lenkitsch);653 (Reiß);654 (Reisbeck);655 (Weber);656 (Pernsteiner);657 (Sieber);658 (Wagner);659 (Wellmann);660 (Ansari Pir Seraei)
STIMMBEZIRK;091751350001;496;278;0;219;0;0;URNE;ERFASSUNGSEINHEIT;FDP;12;12;33;11;14;12;8;12;8;8;8;8;9;8;8;14;8;8;8;9;8;8;8;8;8;8;8;9;8;8;8;8;14;9;8;8;8;8;8;8;8;8;8;8;8;9;8;8;9;8;8;8;8;8;8;9;8;8;8;8
STIMMBEZIRK;091751350002;451;303;0;0;210;0;URNE;ERFASSUNGSEINHEIT;FDP;12;10;29;16;10;10;10;13;10;11;13;10;10;10;10;15;11;9;9;9;6;9;7;7;6;6;6;6;6;6;5;5;14;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;7;5;5;5;5;5
STIMMBEZIRK;091751350003;555;264;0;195;1;0;URNE;ERFASSUNGSEINHEIT;FDP;4;4;15;7;3;3;3;4;3;3;3;3;3;4;4;7;3;3;3;3;4;3;3;5;3;3;4;3;4;4;3;3;3;4;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
STIMMBEZIRK;091751350004;555;272;0;186;0;0;URNE;ERFASSUNGSEINHEIT;FDP;5;5;6;3;4;3;3;4;4;3;3;3;4;3;3;5;3;3;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2
STIMMBEZIRK;091751350005;474;301;0;206;3;0;URNE;ERFASSUNGSEINHEIT;FDP;3;3;20;5;2;2;2;5;2;2;2;2;2;2;2;8;2;3;2;2;2;2;2;5;2;2;2;2;2;2;2;2;8;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;2;1;1
STIMMBEZIRK;091751350006;507;251;0;194;1;0;URNE;ERFASSUNGSEINHEIT;FDP;6;10;15;7;10;6;6;6;6;6;7;6;7;6;6;10;7;6;7;6;8;6;8;6;6;6;7;6;6;7;6;8;9;6;7;6;6;7;6;6;7;6;6;6;6;6;6;6;6;6;6;6;7;6;9;7;6;7;7;7
STIMMBEZIRK;091751350007;495;244;0;196;1;0;URNE;ERFASSUNGSEINHEIT;FDP;8;9;10;7;5;5;5;6;5;5;5;5;5;5;5;7;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4
STIMMBEZIRK;091751350008;618;270;0;234;0;0;URNE;ERFASSUNGSEINHEIT;FDP;13;12;20;13;12;15;15;12;12;15;12;15;16;12;12;19;10;13;13;10;9;9;9;14;13;9;9;13;9;9;9;9;15;12;10;12;8;11;12;12;8;8;9;8;8;8;8;8;7;7;10;7;7;7;14;7;7;7;7;8
STIMMBEZIRK;091751350009;491;276;0;184;0;0;URNE;ERFASSUNGSEINHEIT;FDP;3;3;10;3;3;3;3;3;3;3;3;3;3;3;3;9;3;3;3;3;3;3;3;6;3;3;3;3;3;3;3;3;9;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;6;3;3;3;3;3
STIMMBEZIRK;091751350010;465;293;0;221;0;0;URNE;ERFASSUNGSEINHEIT;FDP;15;12;22;14;12;12;14;12;12;12;13;12;12;12;12;14;12;12;12;12;12;12;12;12;12;14;12;12;12;12;12;12;12;12;12;12;12;12;12;13;12;12;12;12;12;12;12;11;11;11;11;11;11;11;10;10;8;8;8;8
