Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;201 (Färber);202 (Scherzl);203 (Maurer);204 (Kiran);205 (Mágori);206 (Lechner);207 (Streu-Schütze);208 (Dusi-Färber);209 (Ried);210 (Kampouridis);211 (Einhellig);212 (Meier);213 (Feuchter);214 (Ebbinghaus-Guschke);215 (Reiser);216 (Dieminger);217 (Götz-Einhellig);218 (Sandmann);219 (Röhrich);220 (Klinger);221 (Reischenbeck);222 (Meier);223 (Blecher);224 (Kaiser-Röhrich);225 (Steinbacher);226 (Rothmoser);227 (Reith);228 (Martl);229 (Daimer);230 (Reith);231 (Richter);232 (Reitsberger)
STIMMBEZIRK;091751350001;496;278;0;219;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;52;65;46;48;57;42;39;42;38;45;22;22;22;25;24;25;20;21;26;11;11;11;11;20;13;13;16;10;10;10;13;17
STIMMBEZIRK;091751350002;451;303;0;0;210;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;42;98;49;42;66;48;42;42;45;62;28;31;28;35;31;35;28;33;27;14;14;14;13;19;13;14;13;19;13;12;24;17
STIMMBEZIRK;091751350003;555;264;0;195;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;33;55;35;37;40;33;30;34;31;34;25;24;20;23;23;25;20;20;16;10;10;10;10;20;10;10;10;14;10;9;10;9
STIMMBEZIRK;091751350004;555;272;0;186;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;25;36;21;22;34;22;23;22;19;27;15;12;12;15;13;15;12;12;10;5;5;5;5;7;6;5;5;7;5;5;10;5
STIMMBEZIRK;091751350005;474;301;0;206;3;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;54;100;69;57;66;55;51;51;48;48;33;30;30;45;33;39;30;30;33;15;15;15;15;21;15;15;14;26;14;14;26;14
STIMMBEZIRK;091751350006;507;251;0;194;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;30;58;36;37;33;36;34;30;28;27;23;18;18;21;18;26;21;18;10;9;10;9;9;12;10;9;9;14;9;10;9;12
STIMMBEZIRK;091751350007;495;244;0;196;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;30;45;34;37;40;31;34;37;34;35;21;21;21;25;23;26;21;25;18;11;11;11;11;16;11;10;11;14;11;14;12;11
STIMMBEZIRK;091751350008;618;270;0;234;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;62;61;58;60;51;49;45;46;46;51;31;34;31;31;32;34;30;29;16;14;14;15;14;17;14;14;14;14;14;13;12;14
STIMMBEZIRK;091751350009;491;276;0;184;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;47;33;33;39;37;31;37;36;25;17;17;17;27;17;20;17;19;18;9;6;6;6;13;6;7;6;12;6;6;9;6
STIMMBEZIRK;091751350010;465;293;0;221;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;57;46;52;48;50;43;36;36;41;23;26;22;30;22;25;22;23;10;14;11;10;10;14;10;10;10;10;10;10;13;11
STIMMBEZIRK;091751350011;459;357;0;269;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;24;50;24;21;47;27;21;24;21;24;12;15;12;21;12;33;12;12;23;6;6;6;6;28;6;6;6;22;6;9;19;9
STIMMBEZIRK;091751350012;243;1;0;243;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;49;69;60;47;57;46;41;41;42;46;27;28;30;38;27;39;27;27;24;14;13;14;13;17;14;13;15;24;13;12;18;12
STIMMBEZIRK;091751350013;432;290;0;247;2;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;33;51;33;36;42;33;38;36;33;30;23;20;21;26;29;25;23;20;19;10;13;13;10;28;10;10;11;14;10;16;18;10
STIMMBEZIRK;091751350014;459;338;0;224;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;53;73;52;47;61;40;44;44;44;48;30;30;29;37;29;34;29;30;20;14;13;13;13;19;13;13;12;15;12;12;15;12
STIMMBEZIRK;091751350015;530;344;0;274;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;61;66;57;50;61;45;52;52;48;58;31;31;31;44;36;38;29;32;28;15;18;15;14;19;14;14;15;23;15;14;16;14
STIMMBEZIRK;091751110001;476;385;0;243;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;64;63;89;57;54;84;57;58;57;77;36;39;36;37;37;37;36;36;24;18;18;18;18;20;17;20;17;17;17;13;13;31
STIMMBEZIRK;091751110002;498;378;0;219;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;36;36;36;36;33;33;30;43;33;61;18;27;18;18;20;16;16;16;11;7;8;7;7;11;7;7;10;7;7;7;7;16
STIMMBEZIRK;091751110003;476;400;0;194;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;46;49;61;39;46;43;36;49;36;67;31;27;27;22;22;25;19;19;15;8;14;8;8;11;8;14;8;11;8;10;13;10
STIMMBEZIRK;091751110004;445;448;0;216;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;33;43;22;18;30;18;16;15;38;7;8;4;4;11;7;4;7;7;4;11;5;2;3;8;5;2;3;2;2;4;12
STIMMBEZIRK;091751150001;428;453;0;216;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;7;4;3;4;4;4;4;4;7;7;6;2;2;2;2;2;2;2;1;1;1;1;1;1;1;4;1;1;1;1;1;1
STIMMBEZIRK;091751150002;549;378;0;267;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;31;34;31;24;31;31;32;24;35;25;16;14;13;13;12;19;16;6;13;6;7;9;5;5;12;6;5;6;5;6;9
STIMMBEZIRK;091751150003;534;406;0;228;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;40;33;37;31;30;36;27;30;44;28;19;18;16;16;16;16;19;16;12;13;8;8;8;8;9;9;12;8;8;8;8;9
STIMMBEZIRK;091751150004;503;462;0;237;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;21;21;27;21;24;24;21;24;28;21;14;14;14;17;16;14;14;14;7;7;8;7;7;7;7;7;7;7;7;7;8;7
STIMMBEZIRK;091751150005;477;491;0;278;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;42;41;59;44;43;61;40;43;58;43;29;34;28;27;28;27;27;28;14;13;13;17;14;13;14;14;14;13;14;12;12;12
STIMMBEZIRK;091751150006;516;440;0;256;1;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;37;38;28;28;36;29;33;37;38;28;20;20;21;21;20;19;20;10;10;10;10;10;9;9;12;9;9;9;9;9;9
STIMMBEZIRK;091751150007;572;414;0;223;2;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;36;41;44;43;37;42;35;36;36;35;24;21;23;20;25;21;21;20;10;11;10;10;10;11;10;14;11;11;11;10;13;15
STIMMBEZIRK;091751150008;515;440;0;292;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;33;32;34;33;31;32;36;33;33;32;21;19;22;20;19;21;20;20;10;10;9;9;9;9;9;10;8;8;8;8;8;9
STIMMBEZIRK;091751150009;614;404;0;250;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;23;16;20;16;13;23;16;19;28;18;11;9;10;9;9;9;9;14;6;5;5;6;5;5;5;5;5;5;5;5;5;5
STIMMBEZIRK;091751150010;393;439;0;211;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;30;21;40;23;24;66;26;21;28;18;19;14;13;11;16;14;11;10;5;6;6;5;6;9;6;6;5;7;8;4;5;11
STIMMBEZIRK;091751180001;787;630;0;412;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;102;103;129;96;84;99;97;93;85;108;53;63;58;56;73;54;52;60;32;29;29;28;25;27;26;24;28;28;28;25;27;26
STIMMBEZIRK;091751180002;762;745;0;385;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;91;93;102;90;87;96;90;84;90;92;59;59;56;56;60;57;54;59;33;27;37;27;27;27;30;27;27;28;26;24;26;34
STIMMBEZIRK;0001;478;423;0;218;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;50;49;49;52;49;52;52;46;51;51;54;35;40;33;34;31;44;30;15;36;20;16;15;15;15;38;15;15;14;14;14;16
STIMMBEZIRK;0002;440;424;0;195;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;39;37;36;40;36;44;33;34;37;37;50;25;32;24;20;21;33;20;11;32;10;10;12;10;10;19;10;10;10;12;10;13
STIMMBEZIRK;0003;413;422;0;198;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;34;34;31;29;29;46;34;32;36;34;59;18;23;21;21;18;33;18;9;30;9;9;8;8;8;37;11;8;8;9;8;14
STIMMBEZIRK;0004;486;408;0;201;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;55;47;47;48;48;75;54;50;51;63;69;36;34;32;30;31;43;29;21;26;15;15;14;17;14;24;16;13;13;13;15;21
STIMMBEZIRK;0005;514;437;0;208;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;41;42;45;37;39;42;39;37;36;43;33;30;24;24;26;25;25;24;14;24;12;12;12;12;12;22;12;12;12;12;11;11
STIMMBEZIRK;0006;429;457;0;188;3;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;43;33;44;36;30;44;38;32;34;31;47;20;27;20;20;20;27;20;10;34;10;10;11;10;10;25;11;10;10;9;9;9
STIMMBEZIRK;0007;449;363;0;205;0;0;URNE;ERFASSUNGSEINHEIT;FREIE WÄHLER;33;36;33;33;33;45;48;33;44;38;67;24;29;22;23;22;37;20;10;31;10;9;9;9;9;29;9;9;9;8;8;11
