Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;701 (Glaser);702 (Bockler);703 (Reindl);704 (Hartthaler);705 (Baumgartner);706 (Gräf);707 (Germeier);708 (Gell);709 (Trischler);710 (Störkle);711 (Weigl-Mühlfeld);712 (Reismann);713 (Bockler);714 (Pelz);715 (Rüggeberg);716 (Pelz);717 (Renner);718 (Baumgartner);719 (Pudelko);720 (Daschner);721 (Galleneder);722 (Reismann);723 (Englbrecht);724 (Hartthaler);725 (Salzberger);726 (Kirchlechner);727 (Gabel-Obermaier);728 (Wolf);729 (Kranner);730 (Ismair);731 (Ismair);732 (Schweisfurth)
STIMMBEZIRK;091751350001;496;278;0;219;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;18;12;10;8;8;8;14;8;8;8;8;8;8;9;8;8;8;8;8;8;8;8;8;8;8;6;4;3;3;3;3;3
STIMMBEZIRK;091751350002;451;303;0;0;210;0;URNE;ERFASSUNGSEINHEIT;ÖDP;3;3;2;3;2;3;7;2;3;2;2;4;2;2;2;2;2;2;2;2;2;4;2;2;2;2;1;1;1;1;1;1
STIMMBEZIRK;091751350003;555;264;0;195;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;1;0;3;5;0;0;12;0;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
STIMMBEZIRK;091751350004;555;272;0;186;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;7;7;5;2;3;6;4;2;2;5;2;4;2;2;2;2;2;2;4;2;2;4;2;2;2;2;1;1;1;1;1;1
STIMMBEZIRK;091751350005;474;301;0;206;3;0;URNE;ERFASSUNGSEINHEIT;ÖDP;15;12;8;7;7;7;13;4;6;7;4;7;9;9;4;4;4;4;7;4;5;7;7;4;4;3;2;1;1;1;1;1
STIMMBEZIRK;091751350006;507;251;0;194;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;22;21;17;14;14;14;25;14;16;14;14;17;18;16;14;14;14;16;16;13;12;12;13;12;12;12;5;5;5;5;4;4
STIMMBEZIRK;091751350007;495;244;0;196;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;10;12;7;6;12;6;6;6;9;6;6;11;8;9;6;6;6;9;8;6;6;6;9;6;6;6;3;3;3;2;2;2
STIMMBEZIRK;091751350008;618;270;0;234;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;10;9;10;7;4;4;7;4;5;4;4;7;5;5;4;4;4;5;8;4;4;7;6;4;4;6;2;2;2;3;2;2
STIMMBEZIRK;091751350009;491;276;0;184;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;3;3;2;2;2;2;11;4;2;2;2;8;2;2;2;2;2;5;2;2;2;2;2;2;2;2;1;1;1;1;1;1
STIMMBEZIRK;091751350010;465;293;0;221;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;6;3;3;0;3;0;6;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
STIMMBEZIRK;091751350011;459;357;0;269;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;12;9;7;6;7;6;15;6;7;6;6;8;9;5;4;4;4;7;9;4;4;6;4;4;4;4;2;2;2;2;2;2
STIMMBEZIRK;091751350012;243;1;0;243;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;10;9;6;8;6;9;12;9;6;9;6;14;7;6;6;6;9;7;10;6;6;7;6;6;6;6;3;3;3;3;3;3
STIMMBEZIRK;091751350013;432;290;0;247;2;0;URNE;ERFASSUNGSEINHEIT;ÖDP;12;9;6;6;6;9;8;6;4;7;4;4;7;7;4;4;4;4;4;4;4;6;4;4;4;4;2;2;2;2;2;1
STIMMBEZIRK;091751350014;459;338;0;224;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;14;15;6;6;7;6;6;6;6;6;6;9;6;6;6;6;6;6;6;6;6;6;6;6;6;6;3;3;3;3;3;3
STIMMBEZIRK;091751350015;530;344;0;274;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;6;6;4;4;7;4;10;7;4;7;7;11;5;7;4;4;7;4;10;4;4;10;5;4;4;7;2;2;2;1;1;1
STIMMBEZIRK;091751110001;476;385;0;243;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;10;6;3;2;2;4;4;7;3;2;2;5;2;5;3;2;2;3;2;5;2;2;8;2;2;2;1;4;1;1;1;0
STIMMBEZIRK;091751110002;498;378;0;219;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;37;27;12;17;12;15;17;14;11;12;10;14;11;10;10;10;10;11;10;16;10;10;20;18;10;10;5;6;5;5;8;5
STIMMBEZIRK;091751110003;476;400;0;194;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;5;2;5;2;2;6;3;0;3;0;0;3;0;3;1;0;0;0;0;3;3;0;3;0;0;0;3;3;0;0;0;0
STIMMBEZIRK;091751110004;445;448;0;216;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;24;9;6;6;6;9;9;6;6;6;6;6;6;6;6;6;6;6;6;7;6;6;12;6;6;6;3;3;3;3;2;5
STIMMBEZIRK;091751150001;428;453;0;216;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;30;46;20;16;30;19;21;15;17;18;14;17;26;14;14;14;12;16;12;12;12;12;12;10;8;6;3;2;2;2;2;2
STIMMBEZIRK;091751150002;549;378;0;267;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;18;30;17;13;13;10;8;10;8;12;11;8;11;8;8;10;10;8;9;8;8;11;9;8;9;9;3;3;4;4;3;3
STIMMBEZIRK;091751150003;534;406;0;228;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;3;12;2;2;2;3;5;2;2;2;2;2;8;2;2;2;2;5;2;2;2;2;2;2;2;2;1;1;1;1;1;1
STIMMBEZIRK;091751150004;503;462;0;237;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;16;17;5;4;10;4;7;4;4;7;4;4;10;4;4;4;4;9;4;4;4;6;4;4;4;4;2;2;2;2;2;3
STIMMBEZIRK;091751150005;477;491;0;278;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;31;39;21;13;14;13;11;13;10;12;13;13;18;10;10;10;9;16;8;11;11;8;8;8;8;8;4;4;4;3;3;6
STIMMBEZIRK;091751150006;516;440;0;256;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;19;26;10;7;10;13;6;10;9;20;6;6;22;9;6;8;11;9;6;9;9;9;13;6;6;9;3;3;6;7;4;9
STIMMBEZIRK;091751150007;572;414;0;223;2;0;URNE;ERFASSUNGSEINHEIT;ÖDP;19;24;9;11;9;8;12;8;11;8;8;11;12;11;11;8;12;9;8;11;8;8;9;8;8;8;4;4;5;4;4;5
STIMMBEZIRK;091751150008;515;440;0;292;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;6;15;4;4;7;4;6;4;4;4;4;4;10;4;4;4;4;7;4;4;4;4;4;7;4;4;2;2;2;2;2;2
STIMMBEZIRK;091751150009;614;404;0;250;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;20;21;12;8;14;12;8;9;11;9;8;11;14;13;8;7;7;10;9;6;9;6;6;4;4;4;5;2;2;1;1;1
STIMMBEZIRK;091751150010;393;439;0;211;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;12;9;8;2;4;2;2;2;2;2;5;2;5;4;2;3;2;2;2;2;2;2;6;2;2;3;1;1;1;1;1;4
STIMMBEZIRK;091751180001;787;630;0;412;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;45;43;29;26;28;25;24;42;21;24;22;21;23;27;21;21;23;21;24;29;18;20;18;18;18;18;9;9;10;9;9;10
STIMMBEZIRK;091751180002;762;745;0;385;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;25;21;18;12;12;17;13;18;12;12;10;11;10;11;10;11;10;10;13;26;10;10;10;10;10;10;5;5;5;7;7;4
STIMMBEZIRK;0001;478;423;0;218;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;15;15;11;11;11;12;12;11;9;6;6;9;9;10;6;6;6;10;6;5;4;7;4;4;4;7;2;5;2;2;2;8
STIMMBEZIRK;0002;440;424;0;195;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;20;18;12;11;14;11;9;9;6;11;6;6;8;8;6;7;6;9;6;6;6;6;9;6;6;6;3;3;3;3;3;4
STIMMBEZIRK;0003;413;422;0;198;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;4;5;4;1;0;3;0;6;0;0;0;0;6;0;0;0;3;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1
STIMMBEZIRK;0004;486;408;0;201;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;20;15;7;4;7;10;6;4;8;5;11;4;4;8;4;4;4;6;5;7;4;4;7;10;7;7;2;2;2;2;2;7
STIMMBEZIRK;0005;514;437;0;208;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;31;21;19;15;12;21;15;15;16;15;13;10;10;13;10;12;8;13;8;6;12;6;8;6;6;9;3;3;3;3;3;12
STIMMBEZIRK;0006;429;457;0;188;3;0;URNE;ERFASSUNGSEINHEIT;ÖDP;7;6;11;8;5;6;5;5;6;5;2;2;2;2;3;2;2;3;2;2;3;2;2;2;2;3;1;1;1;2;1;1
STIMMBEZIRK;0007;449;363;0;205;0;0;URNE;ERFASSUNGSEINHEIT;ÖDP;18;15;20;8;8;11;8;8;8;11;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;4;4;4;4;4;7
STIMMBEZIRK;0008;463;403;0;192;1;0;URNE;ERFASSUNGSEINHEIT;ÖDP;34;29;23;13;13;13;13;13;13;15;12;12;12;15;12;12;12;14;12;12;12;12;17;12;12;13;6;6;5;5;5;5
