Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Stimmabgabeart;Zeilenart;Gruppe-Schluessel;501 (Rauscher);502 (Proske);503 (Wirnitzer);504 (Böhm);505 (Poschenrieder);506 (Melcher);507 (Tarnikas);508 (Kerschner);509 (Lacour);510 (Haubelt);511 (Offenwanger);512 (Machenschalk);513 (Thalhammer);514 (Gfüllner);515 (Koch);516 (Nowosad);517 (Weininger);518 (Hasukić);519 (Thalmeier);520 (Kalteis);521 (Karakaş);522 (de Marné);523 (Brückmann);524 (Mühlfenzl);525 (Wagner);526 (Kroll);527 (Pitsch);528 (Pfaller);529 (Wilken);530 (Spielberger);531 (Pauthner);532 (Hansen);533 (Reichl-Gumz);534 (Vogt);535 (Schrenk);536 (Wagner);537 (Elsner);538 (Wirnitzer);539 (Platzer);540 (Burger);541 (Czech);542 (Mittermeier);543 (Piller);544 (Mörbt);545 (Schött);546 (Sturm);547 (Künzel);548 (Wintermann);549 (Lauterbach-Sendrowski);550 (Seitz);551 (Gräf);552 (Raabe);553 (Gladitsch);554 (Münch);555 (Mellinger);556 (Narnhammer);557 (Elsner);558 (Martl);559 (Lechner);560 (Ruppert-Karakaş)
STIMMBEZIRK;091751350001;496;278;0;219;0;0;URNE;ERFASSUNGSEINHEIT;SPD;42;26;24;26;23;26;34;23;34;23;23;26;23;24;23;26;24;24;23;20;20;20;20;24;19;19;19;19;20;19;18;21;18;18;18;18;21;18;21;18;19;18;19;18;18;18;18;19;18;18;22;18;18;18;18;18;27;27;21;18
STIMMBEZIRK;091751350002;451;303;0;0;210;0;URNE;ERFASSUNGSEINHEIT;SPD;48;32;28;31;23;24;40;21;40;20;22;24;20;21;20;23;21;20;21;20;21;21;20;21;20;20;20;20;20;20;19;23;20;20;19;19;22;19;19;19;22;19;20;19;20;18;18;19;17;17;17;17;17;16;16;20;21;23;15;15
STIMMBEZIRK;091751350003;555;264;0;195;1;0;URNE;ERFASSUNGSEINHEIT;SPD;52;36;42;40;39;38;54;38;41;36;42;36;38;36;39;33;32;36;32;32;30;27;32;29;28;28;26;26;26;26;26;26;28;26;26;25;26;25;29;25;27;25;30;25;25;25;29;26;28;24;23;23;23;23;24;24;23;29;23;22
STIMMBEZIRK;091751350004;555;272;0;186;0;0;URNE;ERFASSUNGSEINHEIT;SPD;25;23;23;17;24;17;22;17;20;18;20;17;17;17;19;17;19;17;17;17;17;17;19;21;18;17;17;17;18;17;17;18;17;17;17;17;19;17;17;17;19;17;19;17;17;17;17;17;19;17;17;17;19;16;16;16;18;19;17;16
STIMMBEZIRK;091751350005;474;301;0;206;3;0;URNE;ERFASSUNGSEINHEIT;SPD;37;27;23;21;23;20;34;20;30;17;18;24;16;18;16;17;19;18;16;14;14;14;15;14;15;15;15;14;16;14;13;21;13;13;18;13;16;12;15;12;13;12;16;12;12;12;12;12;12;12;12;12;12;12;12;12;17;17;15;12
STIMMBEZIRK;091751350006;507;251;0;194;1;0;URNE;ERFASSUNGSEINHEIT;SPD;53;36;35;33;35;32;46;30;41;31;32;32;32;30;33;34;33;30;31;29;26;25;29;26;26;32;25;25;27;28;25;29;27;25;26;25;26;25;26;25;26;25;26;25;25;25;24;24;25;24;25;24;25;25;23;23;26;28;25;23
STIMMBEZIRK;091751350007;495;244;0;196;1;0;URNE;ERFASSUNGSEINHEIT;SPD;33;29;31;27;29;23;33;23;30;23;20;21;23;23;23;21;25;20;24;20;21;20;20;23;20;25;20;20;23;23;20;29;20;20;23;20;21;23;20;20;20;20;22;20;23;20;20;20;22;20;20;20;20;20;23;20;28;31;21;23
STIMMBEZIRK;091751350008;618;270;0;234;0;0;URNE;ERFASSUNGSEINHEIT;SPD;46;42;43;38;41;37;52;37;47;34;31;34;30;32;30;32;29;31;31;27;28;27;31;28;28;31;27;29;31;27;27;45;27;27;34;27;36;30;30;27;27;27;32;28;28;27;27;26;26;26;29;26;26;27;26;26;32;41;28;25
STIMMBEZIRK;091751350009;491;276;0;184;0;0;URNE;ERFASSUNGSEINHEIT;SPD;30;23;22;20;22;19;35;21;32;18;18;17;16;16;16;16;16;17;16;16;17;19;16;16;16;17;16;16;16;17;16;28;15;15;15;15;18;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;14;15;14;14;19;18;14;14
STIMMBEZIRK;091751350010;465;293;0;221;0;0;URNE;ERFASSUNGSEINHEIT;SPD;42;34;42;34;36;31;41;29;35;29;33;31;33;34;33;30;33;32;35;29;31;29;31;30;34;29;31;29;32;28;31;33;31;27;31;27;31;26;28;26;25;28;25;26;25;25;25;28;25;25;25;24;24;24;27;24;24;33;27;24
