Gemeinde;Gemeindename;Gebietsnummer;Gebietsart;Gebietsname;Bezirksnummer;Ausgezaehlt abweichend Gebiet;Ausgezaehlt abweichend AGS;Ausbleibend;Wahlberechtigte gesamt (A);Wahlberechtigte ohne Wahlschein (A1);Wahlberechtigte mit Wahlschein (A2);Wahlberechtigte nicht im WVZ (A3);Waehler gesamt (B);Waehler ohne Wahlschein;Waehler mit Wahlschein;Urnenwaehler mit Wahlschein in Urnenwahllokal;Briefwaehler mit Wahlschein in Urnenwahllokal;Stimmen ungueltige (C);Stimmen gueltige (D);D1;D3;D4;
;;09175000;KREIS;Landkreis Ebersberg;;;;N;110475;0;0;0;73859;29064;44795;0;0;1175;72684;41222;9349;22113;
09175135;Poing;09175135;GEMEINDE;Poing;;;;N;11832;0;0;0;7322;3311;4011;0;0;99;7223;4131;849;2243;
09175135;Poing;091751350001;STIMMBEZIRK;Grundschule a.d. Karl-Sittler-Straße;0001;;;N;773;0;0;0;219;219;0;0;0;0;219;137;29;53;
09175135;Poing;091751350002;STIMMBEZIRK;Grundschule a.d. Karl-Sittler-Straße;0002;;;N;754;0;0;0;210;210;0;0;0;8;202;128;23;51;
09175135;Poing;091751350003;STIMMBEZIRK;Grundschule an der Karl-Sittler-Straße;0003;;;N;819;0;0;0;196;196;0;0;0;3;193;97;36;60;
09175135;Poing;091751350004;STIMMBEZIRK;Grundschule an der Karl-Sittler-Straße;0004;;;N;827;0;0;0;186;186;0;0;0;2;184;107;32;45;
09175135;Poing;091751350005;STIMMBEZIRK;Grundschule an der Karl-Sittler-Straße;0005;;;N;775;0;0;0;209;209;0;0;0;4;205;121;28;56;
09175135;Poing;091751350006;STIMMBEZIRK;Grundschule an der Karl-Sittler-Straße;0006;;;N;758;0;0;0;195;195;0;0;0;1;194;106;26;62;
09175135;Poing;091751350007;STIMMBEZIRK;Grundschule an der Karl-Sittler-Straße;0007;;;N;739;0;0;0;197;197;0;0;0;2;195;97;37;61;
09175135;Poing;091751350008;STIMMBEZIRK;Anni-Pickert-Grund und Mittelschule;0008;;;N;888;0;0;0;234;234;0;0;0;7;227;117;35;75;
