Gebietsart;Gebietsnummer;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler ohne Wahlschein;Wähler mit Wahlschein;Briefwähler in Urnenwahlgebiet erfasst;Gültige Stimmen;Ungültige Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;Gruppenschlüssel;Stimmen;
STIMMBEZIRK;0001;0;0;0;218;0;0;217;1;CSU;86;AfD;35;GRÜNE;96;
STIMMBEZIRK;0002;0;0;0;195;0;0;193;2;CSU;72;AfD;33;GRÜNE;88;
STIMMBEZIRK;0003;0;0;0;198;0;0;197;1;CSU;97;AfD;22;GRÜNE;78;
STIMMBEZIRK;0004;0;0;0;201;0;0;199;2;CSU;80;AfD;36;GRÜNE;83;
STIMMBEZIRK;0005;0;0;0;208;0;0;205;3;CSU;85;AfD;32;GRÜNE;88;
STIMMBEZIRK;0006;0;0;0;191;0;0;188;3;CSU;86;AfD;21;GRÜNE;81;
STIMMBEZIRK;0007;0;0;0;205;0;0;204;1;CSU;90;AfD;24;GRÜNE;90;
STIMMBEZIRK;0008;0;0;0;193;0;0;188;5;CSU;69;AfD;37;GRÜNE;82;
STIMMBEZIRK;0009;0;0;0;220;0;0;220;0;CSU;98;AfD;30;GRÜNE;92;
STIMMBEZIRK;0010;0;0;0;237;0;0;234;3;CSU;101;AfD;27;GRÜNE;106;
STIMMBEZIRK;0011;0;0;0;197;0;0;196;1;CSU;111;AfD;32;GRÜNE;53;
STIMMBEZIRK;0012;0;0;0;200;0;0;197;3;CSU;77;AfD;24;GRÜNE;96;
STIMMBEZIRK;0013;0;0;0;175;0;0;170;5;CSU;89;AfD;29;GRÜNE;52;
BRIEFWAHLBEZIRK;0101;0;0;0;0;253;0;251;2;CSU;126;AfD;31;GRÜNE;94;
BRIEFWAHLBEZIRK;0102;0;0;0;0;245;0;238;7;CSU;148;AfD;36;GRÜNE;54;
BRIEFWAHLBEZIRK;0103;0;0;0;0;265;0;257;8;CSU;134;AfD;33;GRÜNE;90;
BRIEFWAHLBEZIRK;0104;0;0;0;0;239;0;236;3;CSU;133;AfD;16;GRÜNE;87;
BRIEFWAHLBEZIRK;0105;0;0;0;0;247;0;242;5;CSU;132;AfD;17;GRÜNE;93;
BRIEFWAHLBEZIRK;0106;0;0;0;0;248;0;243;5;CSU;121;AfD;28;GRÜNE;94;
BRIEFWAHLBEZIRK;0107;0;0;0;0;253;0;251;2;CSU;135;AfD;26;GRÜNE;90;
BRIEFWAHLBEZIRK;0108;0;0;0;0;247;0;238;9;CSU;128;AfD;23;GRÜNE;87;
BRIEFWAHLBEZIRK;0109;0;0;0;0;248;0;244;4;CSU;142;AfD;22;GRÜNE;80;
BRIEFWAHLBEZIRK;0110;0;0;0;0;243;0;241;2;CSU;137;AfD;24;GRÜNE;80;
BRIEFWAHLBEZIRK;0111;0;0;0;0;257;0;251;6;CSU;121;AfD;33;GRÜNE;97;
BRIEFWAHLBEZIRK;0112;0;0;0;0;237;0;236;1;CSU;154;AfD;13;GRÜNE;69;
BRIEFWAHLBEZIRK;0113;0;0;0;0;237;0;234;3;CSU;124;AfD;28;GRÜNE;82;
BRIEFWAHLBEZIRK;0114;0;0;0;0;229;0;225;4;CSU;122;AfD;22;GRÜNE;81;
BRIEFWAHLBEZIRK;0115;0;0;0;0;228;0;219;9;CSU;114;AfD;16;GRÜNE;89;
BRIEFWAHLBEZIRK;0116;0;0;0;0;227;0;223;4;CSU;111;AfD;19;GRÜNE;93;
BRIEFWAHLBEZIRK;0117;0;0;0;0;232;0;226;6;CSU;125;AfD;15;GRÜNE;86;
BRIEFWAHLBEZIRK;0118;0;0;0;0;236;0;231;5;CSU;136;AfD;25;GRÜNE;70;
BRIEFWAHLBEZIRK;0119;0;0;0;0;229;0;226;3;CSU;108;AfD;28;GRÜNE;90;
BRIEFWAHLBEZIRK;0120;0;0;0;0;236;0;235;1;CSU;109;AfD;23;GRÜNE;103;
STIMMBEZIRK;091751110001;0;0;0;243;0;0;237;6;CSU;127;AfD;50;GRÜNE;60;
STIMMBEZIRK;091751110002;0;0;0;219;0;0;214;5;CSU;116;AfD;37;GRÜNE;61;
STIMMBEZIRK;091751110003;0;0;0;194;0;0;188;6;CSU;91;AfD;48;GRÜNE;49;
