Stimmbezirk,Wahlberechtigte,Waehler,UngueltigeStimmen,GueltigeStimmen
Gesamt,17200,13625,144,13481
Stimmbezirk 1,1458,514,8,506
Stimmbezirk 2,908,362,6,356
Stimmbezirk 3,1061,419,6,413
Stimmbezirk 4,1044,359,10,349
Stimmbezirk 5,1098,284,2,282
Stimmbezirk 6,1356,455,8,447
Stimmbezirk 7,1242,456,5,451
Stimmbezirk 8,1288,431,7,424
Stimmbezirk 9,1167,401,3,398
Stimmbezirk 10,956,292,7,285
Stimmbezirk 11,1046,350,5,345
Stimmbezirk 12,1046,338,3,335
Stimmbezirk 13,1164,408,13,395
Stimmbezirk 14,1006,326,5,321
Stimmbezirk 15,1360,498,6,492
Stimmbezirk 31,0,609,6,603
Stimmbezirk 32,0,381,3,378
Stimmbezirk 33,0,442,3,439
Stimmbezirk 34,0,493,2,491
Stimmbezirk 35,0,476,2,474
Stimmbezirk 36,0,617,2,615
Stimmbezirk 37,0,559,4,555
Stimmbezirk 38,0,577,7,570
Stimmbezirk 39,0,536,1,535
Stimmbezirk 40,0,445,1,444
Stimmbezirk 41,0,492,4,488
Stimmbezirk 42,0,518,7,511
Stimmbezirk 43,0,554,1,553
Stimmbezirk 44,0,480,2,478
Stimmbezirk 45,0,553,5,548
