Stimmbezirk,ParteiKuerzel,Stimmen
Gesamt,CSU,5458
Gesamt,Grüne,2617
Gesamt,FW,1345
Gesamt,AfD,980
Gesamt,SPD,1514
Gesamt,FDP,769
Gesamt,Die Linke,122
Gesamt,BP,79
Gesamt,ÖDP,149
Gesamt,Die PARTEI,93
Gesamt,Tierschutzpartei,141
Gesamt,V-Partei³,24
Gesamt,dieBasis,84
Gesamt,Volt,106
Stimmbezirk 1,CSU,230
Stimmbezirk 1,Grüne,63
Stimmbezirk 1,FW,74
Stimmbezirk 1,AfD,54
Stimmbezirk 1,SPD,32
Stimmbezirk 1,FDP,14
Stimmbezirk 1,Die Linke,5
Stimmbezirk 1,BP,3
Stimmbezirk 1,ÖDP,4
Stimmbezirk 1,Die PARTEI,9
Stimmbezirk 1,Tierschutzpartei,7
Stimmbezirk 1,V-Partei³,3
Stimmbezirk 1,dieBasis,6
Stimmbezirk 1,Volt,2
Stimmbezirk 2,CSU,155
Stimmbezirk 2,Grüne,44
Stimmbezirk 2,FW,43
Stimmbezirk 2,AfD,51
Stimmbezirk 2,SPD,18
Stimmbezirk 2,FDP,22
Stimmbezirk 2,Die Linke,1
Stimmbezirk 2,BP,7
Stimmbezirk 2,ÖDP,4
Stimmbezirk 2,Die PARTEI,3
Stimmbezirk 2,Tierschutzpartei,3
Stimmbezirk 2,V-Partei³,0
Stimmbezirk 2,dieBasis,3
Stimmbezirk 2,Volt,2
Stimmbezirk 3,CSU,165
Stimmbezirk 3,Grüne,97
Stimmbezirk 3,FW,27
Stimmbezirk 3,AfD,26
Stimmbezirk 3,SPD,49
Stimmbezirk 3,FDP,18
Stimmbezirk 3,Die Linke,9
Stimmbezirk 3,BP,4
Stimmbezirk 3,ÖDP,12
Stimmbezirk 3,Die PARTEI,2
Stimmbezirk 3,Tierschutzpartei,0
Stimmbezirk 3,V-Partei³,0
Stimmbezirk 3,dieBasis,3
Stimmbezirk 3,Volt,1
Stimmbezirk 4,CSU,130
Stimmbezirk 4,Grüne,78
Stimmbezirk 4,FW,22
Stimmbezirk 4,AfD,34
Stimmbezirk 4,SPD,38
Stimmbezirk 4,FDP,20
Stimmbezirk 4,Die Linke,7
Stimmbezirk 4,BP,1
Stimmbezirk 4,ÖDP,5
Stimmbezirk 4,Die PARTEI,6
Stimmbezirk 4,Tierschutzpartei,5
Stimmbezirk 4,V-Partei³,0
Stimmbezirk 4,dieBasis,1
Stimmbezirk 4,Volt,2
Stimmbezirk 5,CSU,103
Stimmbezirk 5,Grüne,54
Stimmbezirk 5,FW,18
Stimmbezirk 5,AfD,40
Stimmbezirk 5,SPD,25
Stimmbezirk 5,FDP,19
Stimmbezirk 5,Die Linke,2
Stimmbezirk 5,BP,2
Stimmbezirk 5,ÖDP,2
Stimmbezirk 5,Die PARTEI,3
Stimmbezirk 5,Tierschutzpartei,6
Stimmbezirk 5,V-Partei³,0
Stimmbezirk 5,dieBasis,4
Stimmbezirk 5,Volt,4
Stimmbezirk 6,CSU,184
Stimmbezirk 6,Grüne,74
Stimmbezirk 6,FW,42
Stimmbezirk 6,AfD,50
Stimmbezirk 6,SPD,54
Stimmbezirk 6,FDP,14
Stimmbezirk 6,Die Linke,1
Stimmbezirk 6,BP,1
Stimmbezirk 6,ÖDP,6
Stimmbezirk 6,Die PARTEI,4
Stimmbezirk 6,Tierschutzpartei,7
Stimmbezirk 6,V-Partei³,1
Stimmbezirk 6,dieBasis,2
Stimmbezirk 6,Volt,7
Stimmbezirk 7,CSU,161
Stimmbezirk 7,Grüne,103
Stimmbezirk 7,FW,42
Stimmbezirk 7,AfD,46
Stimmbezirk 7,SPD,41
Stimmbezirk 7,FDP,29
Stimmbezirk 7,Die Linke,6
Stimmbezirk 7,BP,2
Stimmbezirk 7,ÖDP,1
Stimmbezirk 7,Die PARTEI,7
Stimmbezirk 7,Tierschutzpartei,5
Stimmbezirk 7,V-Partei³,0
Stimmbezirk 7,dieBasis,5
Stimmbezirk 7,Volt,3
Stimmbezirk 8,CSU,166
Stimmbezirk 8,Grüne,74
Stimmbezirk 8,FW,39
Stimmbezirk 8,AfD,41
Stimmbezirk 8,SPD,54
