Stimmbezirk,Wahlberechtigte,Waehler,UngueltigeStimmen,GueltigeStimmen
Gesamt,17200,13625,137,13488
Stimmbezirk 1,1458,514,11,503
Stimmbezirk 2,908,362,6,356
Stimmbezirk 3,1061,419,6,413
Stimmbezirk 4,1044,359,4,355
Stimmbezirk 5,1098,284,4,280
Stimmbezirk 6,1356,455,10,445
Stimmbezirk 7,1242,456,9,447
Stimmbezirk 8,1288,431,7,424
Stimmbezirk 9,1167,401,2,399
Stimmbezirk 10,956,292,3,289
Stimmbezirk 11,1046,350,8,342
Stimmbezirk 12,1046,338,7,331
Stimmbezirk 13,1164,408,9,399
Stimmbezirk 14,1006,326,2,324
Stimmbezirk 15,1360,498,6,492
Stimmbezirk 31,0,609,4,605
Stimmbezirk 32,0,381,5,376
Stimmbezirk 33,0,442,2,440
Stimmbezirk 34,0,493,1,492
Stimmbezirk 35,0,476,1,475
Stimmbezirk 36,0,617,2,615
Stimmbezirk 37,0,559,2,557
Stimmbezirk 38,0,577,6,571
Stimmbezirk 39,0,536,0,536
Stimmbezirk 40,0,445,1,444
Stimmbezirk 41,0,492,5,487
Stimmbezirk 42,0,518,3,515
Stimmbezirk 43,0,554,4,550
Stimmbezirk 44,0,480,3,477
Stimmbezirk 45,0,553,4,549
