Stimmbezirk,ParteiKuerzel,Stimmen
Gesamt,CSU,5415
Gesamt,Grüne,2761
Gesamt,FW,1326
Gesamt,AfD,1011
Gesamt,SPD,1156
Gesamt,FDP,961
Gesamt,Die Linke,141
Gesamt,BP,77
Gesamt,ÖDP,164
Gesamt,Die PARTEI,87
Gesamt,Tierschutzpartei,146
Gesamt,V-Partei³,17
Gesamt,PdH,35
Gesamt,dieBasis,81
Gesamt,Volt,110
Stimmbezirk 1,CSU,220
Stimmbezirk 1,Grüne,69
Stimmbezirk 1,FW,77
Stimmbezirk 1,AfD,52
Stimmbezirk 1,SPD,28
Stimmbezirk 1,FDP,14
Stimmbezirk 1,Die Linke,6
Stimmbezirk 1,BP,5
Stimmbezirk 1,ÖDP,4
Stimmbezirk 1,Die PARTEI,6
Stimmbezirk 1,Tierschutzpartei,10
Stimmbezirk 1,V-Partei³,1
Stimmbezirk 1,PdH,2
Stimmbezirk 1,dieBasis,6
Stimmbezirk 1,Volt,3
Stimmbezirk 2,CSU,152
Stimmbezirk 2,Grüne,45
Stimmbezirk 2,FW,49
Stimmbezirk 2,AfD,50
Stimmbezirk 2,SPD,15
Stimmbezirk 2,FDP,25
Stimmbezirk 2,Die Linke,2
Stimmbezirk 2,BP,8
Stimmbezirk 2,ÖDP,6
Stimmbezirk 2,Die PARTEI,2
Stimmbezirk 2,Tierschutzpartei,0
Stimmbezirk 2,V-Partei³,0
Stimmbezirk 2,PdH,0
Stimmbezirk 2,dieBasis,0
Stimmbezirk 2,Volt,2
Stimmbezirk 3,CSU,165
Stimmbezirk 3,Grüne,95
Stimmbezirk 3,FW,25
Stimmbezirk 3,AfD,25
Stimmbezirk 3,SPD,42
Stimmbezirk 3,FDP,31
Stimmbezirk 3,Die Linke,7
Stimmbezirk 3,BP,2
Stimmbezirk 3,ÖDP,10
Stimmbezirk 3,Die PARTEI,3
Stimmbezirk 3,Tierschutzpartei,2
Stimmbezirk 3,V-Partei³,2
Stimmbezirk 3,PdH,2
Stimmbezirk 3,dieBasis,1
Stimmbezirk 3,Volt,1
Stimmbezirk 4,CSU,127
