ParteiNr,ParteiKuerzel,ParteiName,ParteiFarbe
1,"CSU","Christlich-Soziale Union in Bayern e.V.",#000000
2,"Grüne","BÜNDNIS 90/DIE GRÜNEN",#00a13f
3,"FW","FREIE WÄHLER",#f29204
4,"AfD","Alternative für Deutschland",#1e90ff
5,"SPD","Sozialdemokratische Partei Deutschlands",#ff0000
6,"FDP","Freie Demokratische Partei",#ffe94c
7,"Die Linke","Die Linke",#8b0000
8,"BP","Bayernpartei",#003399
9,"ÖDP","Ökologisch-Demokratische Partei",#ffa338
10,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",#a91d20
11,"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ",#228b22
12,"V-Partei³","V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",#9acd32
13,"PdH","Partei der Humanisten",#da2f82
14,"dieBasis","Basisdemokratische Partei Deutschland",#66cdaa
15,"Volt","Volt Deutschland",#502379
