Wahl,Wahltag,Stimmbezirk,Wahlberechtigte,Waehler,Stimmentyp,GueltigeStimmen,UngueltigeStimmen
Bundestagswahl,1949-08-14,Gesamt,3052,2172,Zweitstimme,2127,45
Bundestagswahl,1953-09-06,Gesamt,3418,2648,Zweitstimme,2527,121
Bundestagswahl,1957-09-15,Gesamt,3880,3228,Zweitstimme,3113,115
Bundestagswahl,1961-09-17,Gesamt,4682,3917,Zweitstimme,3766,151
Bundestagswahl,1965-09-19,Gesamt,5681,4718,Zweitstimme,4623,95
Bundestagswahl,1969-09-28,Gesamt,6891,5832,Zweitstimme,5769,63
Bundestagswahl,1972-11-19,Gesamt,8782,7977,Zweitstimme,7941,36
Bundestagswahl,1976-10-03,Gesamt,10734,9932,Zweitstimme,9894,38
Bundestagswahl,1980-10-05,Gesamt,12321,11108,Zweitstimme,11065,43
Bundestagswahl,1983-03-06,Gesamt,12900,11697,Zweitstimme,11652,45
Bundestagswahl,1987-01-25,Gesamt,13962,12100,Zweitstimme,12060,40
Bundestagswahl,1990-12-02,Gesamt,14484,11869,Zweitstimme,11824,45
Bundestagswahl,1994-10-16,Gesamt,14311,12156,Zweitstimme,12115,41
Bundestagswahl,1998-09-27,Gesamt,14962,12898,Zweitstimme,12851,47
Bundestagswahl,2002-09-22,Gesamt,15331,13457,Zweitstimme,13399,58
Bundestagswahl,2005-09-18,Gesamt,15473,13253,Zweitstimme,13145,108
Bundestagswahl,2009-09-27,Gesamt,15797,12876,Zweitstimme,12810,66
Bundestagswahl,2013-09-22,Gesamt,16168,13213,Zweitstimme,13104,109
Bundestagswahl,2017-09-24,Gesamt,16494,14222,Zweitstimme,14175,47
Bundestagswahl,2021-09-26,Gesamt,17301,15018,Zweitstimme,14956,62
Europawahl,1979-06-10,Gesamt,11783,7308,,7280,28
Europawahl,1984-06-17,Gesamt,13133,6633,,6573,60
Europawahl,1989-06-18,Gesamt,14387,9673,,9649,24
Europawahl,1994-06-12,Gesamt,14301,9034,,8992,42
Europawahl,1999-06-13,Gesamt,15062,7873,,7853,20
Europawahl,2004-06-13,Gesamt,15426,7715,,7651,64
Europawahl,2009-06-07,Gesamt,15858,8735,,8687,48
Europawahl,2014-05-25,Gesamt,16248,8490,,8469,21
Europawahl,2019-05-26,Gesamt,16833,12327,,12308,19
Europawahl,2024-06-09,Gesamt,17845,13297,,13270,27
Landtagswahl,1946-12-01,Gesamt,1806,1185,Zweitstimme,1152,33
Landtagswahl,1950-11-26,Gesamt,3150,2120,Zweitstimme,1983,137
Landtagswahl,1954-11-28,Gesamt,3565,2602,Zweitstimme,2544,57
Landtagswahl,1958-11-23,Gesamt,4102,2759,Zweitstimme,2580,178
Landtagswahl,1962-11-25,Gesamt,4926,3489,Zweitstimme,3358,132
Landtagswahl,1966-11-20,Gesamt,5974,4654,Zweitstimme,4506,148
Landtagswahl,1970-11-22,Gesamt,7543,5968,Zweitstimme,5748,221
Landtagswahl,1974-10-27,Gesamt,10105,8326,Zweitstimme,8162,165
Landtagswahl,1978-10-15,Gesamt,11536,9392,Zweitstimme,9208,184
Landtagswahl,1982-10-10,Gesamt,12729,10686,Zweitstimme,10481,205
Landtagswahl,1986-10-12,Gesamt,13775,10490,Zweitstimme,10319,171
Landtagswahl,1990-10-14,Gesamt,14455,10567,Zweitstimme,10429,138
Landtagswahl,1994-09-25,Gesamt,14270,10669,Zweitstimme,10587,82
Landtagswahl,1998-09-13,Gesamt,14847,11511,Zweitstimme,11394,117
Landtagswahl,2003-09-21,Gesamt,15311,10290,Zweitstimme,10182,107
Landtagswahl,2008-09-28,Gesamt,15633,10811,Zweitstimme,10645,166
Landtagswahl,2013-09-15,Gesamt,16070,11851,Zweitstimme,11716,135
Landtagswahl,2018-10-14,Gesamt,16513,13490,Zweitstimme,13373,115
Landtagswahl,2023-10-08,Gesamt,17200,13625,Zweitstimme,13488,137
Gemeinderatswahl,1978-03-05,Gesamt,11195,8116,,7982,134
Gemeinderatswahl,1984-03-18,Gesamt,12937,9331,,9206,125
Gemeinderatswahl,1990-03-18,Gesamt,14152,10754,,10642,112
Gemeinderatswahl,1996-03-10,Gesamt,14566,9575,,9412,163
Gemeinderatswahl,2002-03-03,Gesamt,15805,10917,,10758,159
Gemeinderatswahl,2008-03-02,Gesamt,16425,10963,,10752,211
Gemeinderatswahl,2014-03-16,Gesamt,17433,8909,,8808,101
Gemeinderatswahl,2020-03-15,Gesamt,18883,12011,,11838,173
